"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
1725558390000,41721344000,3664162816,10268618752,27788562432,0
1725558420000,41721344000,3653984256,10268991488,27798368256,0
1725558450000,41721344000,3643461632,10269405184,27808477184,0
1725558480000,41721344000,3638026240,10269908992,27813408768,0
1725558510000,41721344000,3610087424,10270531584,27840724992,0
1725558540000,41721344000,3632377856,10270949376,27818016768,0
1725558570000,41721344000,3629821952,10271322112,27820199936,0
1725558600000,41721344000,3640877056,10271715328,27808751616,0
1725558630000,41721344000,3661647872,10272120832,27787575296,0
1725558660000,41721344000,3651727360,10272505856,27797110784,0
1725558690000,41721344000,3647664128,10272911360,27800768512,0
1725558720000,41721344000,3642494976,10273312768,27805536256,0
1725558750000,41721344000,3636838400,10273710080,27810795520,0
1725558780000,41721344000,3647451136,10274107392,27799785472,0
1725558810000,41721344000,3640893440,10274541568,27805908992,0
1725558840000,41721344000,3659558912,10274922496,27786862592,0
1725558870000,41721344000,3648307200,10275323904,27797712896,0
1725558900000,41721344000,3668512768,10275717120,27777114112,0
1725558930000,41721344000,3661234176,10276126720,27783983104,0
1725558960000,41721344000,3653275648,10276495360,27791572992,0
1725558990000,41721344000,3650539520,10276941824,27793862656,0
1725559020000,41721344000,3646951424,10277310464,27797082112,0
1725559050000,41721344000,3653738496,10277785600,27789819904,0
1725559080000,41721344000,3668889600,10278141952,27774312448,0
1725559110000,41721344000,3670036480,10278551552,27772755968,0
1725559140000,41721344000,3662794752,10278944768,27779604480,0
1725559170000,41721344000,3656470528,10279387136,27785486336,0
1725559200000,41721344000,3675320320,10279768064,27766255616,0
1725559230000,41721344000,3655294976,10280181760,27785867264,0
1725559260000,41721344000,3665854464,10280574976,27774914560,0
1725559290000,41721344000,3672973312,10289364992,27759005696,0
1725559320000,41721344000,3669659648,10289754112,27761930240,0
1725559350000,41721344000,3644411904,10290151424,27786780672,0
1725559380000,41721344000,3652497408,10290561024,27778285568,0
1725559410000,41721344000,3670323200,10290958336,27760062464,0
1725559440000,41721344000,3655987200,10291355648,27774001152,0
1725559470000,41721344000,3652354048,10291773440,27777216512,0
1725559500000,41721344000,3659431936,10292166656,27769745408,0
1725559530000,41721344000,3679207424,10292559872,27749576704,0
1725559560000,41721344000,3671355392,10292957184,27757031424,0
1725559590000,41721344000,3656933376,10293387264,27771023360,0
1725559620000,41721344000,3661357056,10293788672,27766198272,0
1725559650000,41721344000,3676266496,10294202368,27750875136,0
1725559680000,41721344000,3673743360,10294583296,27753017344,0
1725559710000,41721344000,3664584704,10294976512,27761782784,0
1725559740000,41721344000,3653787648,10295410688,27772145664,0
1725559770000,41721344000,3667308544,10295840768,27758194688,0
1725559800000,41721344000,3658465280,10296229888,27766648832,0
1725559830000,41721344000,3657396224,10300837888,27763109888,0
1725559860000,41721344000,3658149888,10301227008,27761967104,0
1725559890000,41721344000,3669946368,10301644800,27749752832,0
1725559920000,41721344000,3657596928,10302017536,27761729536,0
1725559950000,41721344000,3669114880,10302435328,27749793792,0
1725559980000,41721344000,3669442560,10302844928,27749056512,0
1725560010000,41721344000,3670007808,10303250432,27748085760,0
1725560040000,41721344000,3660374016,10303635456,27757334528,0
1725560070000,41721344000,3636154368,10304061440,27781128192,0
1725560100000,41721344000,3660660736,10304454656,27756228608,0
1725560130000,41721344000,3644674048,10304864256,27771805696,0
1725560160000,41721344000,3663851520,10305249280,27752243200,0
1725560190000,41721344000,3656179712,10305671168,27759493120,0
1725560220000,41721344000,3640205312,10306043904,27775094784,0
1725560250000,41721344000,3648217088,10306453504,27766673408,0
1725560280000,41721344000,3643101184,10306871296,27771371520,0
1725560310000,41721344000,3647782912,10307284992,27766276096,0
1725560340000,41721344000,3658043392,10307674112,27755626496,0
1725560370000,41721344000,3662061568,10308100096,27751182336,0
1725560400000,41721344000,3653758976,10308472832,27759112192,0
1725560430000,41721344000,3667099648,10308898816,27745345536,0
1725560460000,41721344000,3675021312,10309287936,27737034752,0
1725560490000,41721344000,3647057920,10309689344,27764596736,0
1725560520000,41721344000,3645788160,10310090752,27765465088,0
1725560550000,41721344000,3666792448,10310475776,27744075776,0
1725560580000,41721344000,3671781376,10310856704,27738705920,0
1725560610000,41721344000,3672965120,10311286784,27737092096,0
1725560640000,41721344000,3683766272,10311667712,27725910016,0
1725560670000,41721344000,3662061568,10312097792,27747184640,0
1725560700000,41721344000,3687043072,10312515584,27721785344,0
1725560730000,41721344000,3660955648,10312949760,27747438592,0
1725560760000,41721344000,3671429120,10313388032,27736526848,0
1725560790000,41721344000,3690823680,10313781248,27716739072,0
1725560820000,41721344000,3659329536,10314194944,27747819520,0
1725560850000,41721344000,3680686080,10314612736,27726045184,0
1725560880000,41721344000,3681718272,10315030528,27724595200,0
1725560910000,41721344000,3655802880,10315456512,27750084608,0
1725560940000,41721344000,3651719168,10315882496,27753742336,0
1725560970000,41721344000,3656253440,10316304384,27748786176,0
1725561000000,41721344000,3653988352,10316705792,27750649856,0
1725561030000,41721344000,3656491008,10317144064,27747708928,0
1725561060000,41721344000,3653849088,10317496320,27749998592,0
1725561090000,41721344000,3657265152,10317938688,27746140160,0
1725561120000,41721344000,3666927616,10318327808,27736088576,0
1725561150000,41721344000,3666083840,10318745600,27736514560,0
1725561180000,41721344000,3691917312,10319155200,27710271488,0
1725561210000,41721344000,3658141696,10319572992,27743629312,0
1725561240000,41721344000,3672858624,10319990784,27728494592,0
1725561270000,41721344000,3665707008,10320429056,27735207936,0
1725561300000,41721344000,3635380224,10320822272,27765141504,0
1725561330000,41721344000,3649011712,10321235968,27751096320,0
1725561360000,41721344000,3633713152,10321661952,27765968896,0
1725561390000,41721344000,3629223936,10322063360,27770056704,0
1725561420000,41721344000,3653238784,10322452480,27745652736,0
1725561450000,41721344000,3644346368,10322894848,27754102784,0
1725561480000,41721344000,3616968704,10323283968,27781091328,0
1725561510000,41721344000,3632017408,10323718144,27765608448,0
1725561540000,41721344000,3634135040,10324094976,27763113984,0
1725561570000,41721344000,3644256256,10324541440,27752546304,0
1725561600000,41721344000,3637493760,10324914176,27758936064,0
1725561630000,41721344000,3640156160,10325360640,27755827200,0
1725561660000,41721344000,3641585664,10325774336,27753984000,0
1725561690000,41721344000,3650027520,10326200320,27745116160,0
1725561720000,41721344000,3650899968,10326585344,27743858688,0
1725561750000,41721344000,3628830720,10327003136,27765510144,0
1725561780000,41721344000,3648507904,10327461888,27745374208,0
1725561810000,41721344000,3626262528,10327965696,27767115776,0
1725561840000,41721344000,3629109248,10328432640,27763802112,0
1725561870000,41721344000,3642073088,10328969216,27750301696,0
1725561900000,41721344000,3646091264,10329436160,27745816576,0
1725561930000,41721344000,3634298880,10329935872,27757109248,0
1725561960000,41721344000,3650002944,10330673152,27740667904,0
1725561990000,41721344000,3642855424,10331447296,27747041280,0
1725562020000,41721344000,3628441600,10332098560,27760803840,0
1725562050000,41721344000,3651002368,10332614656,27737726976,0
1725562080000,41721344000,3680260096,10333110272,27707973632,0
1725562110000,41721344000,3678670848,10333622272,27709050880,0
1725562140000,41721344000,3687833600,10334056448,27699453952,0
1725562170000,41721344000,3712380928,10334556160,27674406912,0
1725562200000,41721344000,3688902656,10335002624,27697438720,0
1725562230000,41721344000,3684155392,10335543296,27701645312,0
1725562260000,41721344000,3724881920,10336067584,27660394496,0
1725562290000,41721344000,3708960768,10336591872,27675791360,0
1725562320000,41721344000,3713351680,10337046528,27670945792,0
1725562350000,41721344000,3707453440,10337546240,27676344320,0
1725562380000,41721344000,3674472448,10338021376,27708850176,0
1725562410000,41721344000,3688103936,10338611200,27694628864,0
1725562440000,41721344000,3696996352,10339098624,27685249024,0
1725562470000,41721344000,3699372032,10339622912,27682349056,0
1725562500000,41721344000,3694211072,10340118528,27687014400,0
1725562530000,41721344000,3684052992,10340626432,27696664576,0
1725562560000,41721344000,3683606528,10341097472,27696640000,0
1725562590000,41721344000,3708018688,10341617664,27671707648,0
1725562620000,41721344000,3686174720,10342092800,27693076480,0
1725562650000,41721344000,3692806144,10342633472,27685904384,0
1725562680000,41721344000,3705327616,10343137280,27672879104,0
1725562710000,41721344000,3707228160,10343632896,27670482944,0
1725562740000,41721344000,3293667328,10066980864,28360695808,0
1725562770000,41721344000,3284455424,10067623936,28369264640,0
1725562800000,41721344000,3292606464,10068090880,28360646656,0
1725562830000,41721344000,3348480000,9990905856,28381958144,0
1725562860000,41721344000,3311001600,9991360512,28418981888,0
1725562890000,41721344000,3290574848,9991892992,28438876160,0
1725562920000,41721344000,3310432256,9992343552,28418568192,0
1725562950000,41721344000,3273277440,9992847360,28455219200,0
1725562980000,41721344000,3279822848,9993297920,28448223232,0
1725563010000,41721344000,3264024576,9993814016,28463505408,0
1725563040000,41721344000,3257798656,9994272768,28469272576,0
1725563070000,41721344000,3268435968,9994801152,28458106880,0
1725563100000,41721344000,3300425728,9995296768,28425621504,0
1725563130000,41721344000,3275694080,9995816960,28449832960,0
1725563160000,41721344000,3292655616,9996296192,28432392192,0
1725563190000,41721344000,3294449664,9996800000,28430094336,0
1725563220000,41721344000,3290791936,9997307904,28433244160,0
1725563250000,41721344000,3315994624,9997860864,28407488512,0
1725563280000,41721344000,3329351680,9998356480,28393635840,0
1725563310000,41721344000,3312312320,9998974976,28410056704,0
1725563340000,41721344000,3310919680,9999437824,28410986496,0
1725563370000,41721344000,3310592000,9999949824,28410802176,0
1725563400000,41721344000,3310927872,10000433152,28409982976,0
1725563430000,41721344000,3321618432,10000928768,28398796800,0
1725563460000,41721344000,3316301824,10001367040,28403675136,0
1725563490000,41721344000,3337682944,10001883136,28381777920,0
1725563520000,41721344000,3347443712,10002411520,28371488768,0
1725563550000,41721344000,3333107712,10002948096,28385288192,0
1725563580000,41721344000,3359563776,10003423232,28358356992,0
1725563610000,41721344000,3337441280,10003877888,28380024832,0
1725563640000,41721344000,3357532160,10004754432,28359057408,0
