"Time","recv enp3s0","recv tailscale0","trans enp3s0 ","trans tailscale0 "
1725561780000,9312,188.8,36467.2,1052.8
1725561810000,10216,0,35604.8,96
1725561840000,11582.4,0,37491.2,96
1725561870000,13204.8,0,35201.6,0
1725561900000,8062.4,0,35288,384
1725561930000,12190.4,0,35923.2,0
1725561960000,10788.8,0,37112,0
1725561990000,9326.4,0,35737.6,0
1725562020000,10473.6,0,36246.4,0
1725562050000,36137.6,0,131814.4,0
1725562080000,2492203.2,0,163323.2,0
1725562110000,9465.6,0,39336,0
1725562140000,6000,0,36676.8,0
1725562170000,6296,0,38291.2,0
1725562200000,9694.4,0,36376,0
1725562230000,11569.6,0,37884.8,0
1725562260000,9657.6,0,37251.2,0
1725562290000,11491.2,0,56492.8,96
1725562320000,14211.2,0,37044.8,0
1725562350000,20966.4,0,40380.8,0
1725562380000,12844.8,0,37059.2,0
1725562410000,46657.6,0,39779.2,0
1725562440000,12984,0,38742.4,0
1725562470000,10884.8,0,37739.2,0
1725562500000,11438.4,0,38632,0
1725562530000,12145.6,0,38152,0
1725562560000,12428.8,0,38440,0
1725562590000,153720,0,95140.8,96
1725562620000,12044.8,0,65616,0
1725562650000,32686.4,0,53249.6,0
1725562680000,6457.6,0,36289.6,0
1725562710000,6334.4,0,37913.6,0
1725562740000,12155.2,0,36209.6,0
1725562770000,15128,0,41176,0
1725562800000,29688,0,52022.4,0
1725562830000,16888,0,37331.2,0
1725562860000,14792,0,37928,0
1725562890000,18276.8,0,38193.6,96
1725562920000,17040,0,38460.8,0
1725562950000,15270.4,0,39196.8,0
1725562980000,10641.6,0,37134.4,0
1725563010000,15819.2,0,37680,0
1725563040000,17084.8,0,36616,0
1725563070000,15617.6,0,37144,0
1725563100000,16809.6,0,37288,0
1725563130000,16126.4,0,37048,0
1725563160000,17000,0,39640,0
1725563190000,23064,163.2,43624,294.4
1725563220000,8024156.8,0,376801.6,0
1725563250000,33452.8,0,61712,0
1725563280000,19755.2,0,46161.6,0
1725563310000,18705.6,0,37809.6,0
1725563340000,60740.8,0,108056,0
1725563370000,18436.8,0,64411.2,0
1725563400000,16606.4,0,39916.8,0
1725563430000,16075.2,0,41134.4,0
1725563460000,19966.4,0,38750.4,0
1725563490000,510022.4,0,126641.6,96
1725563520000,18424,0,45716.8,0
