"Time","recv br-12d023f77e6a","recv bri0","recv docker0","recv enp4s0","recv macvlan1","recv tailscale0","recv veth0d5c3b2","recv veth77ec78e","recv virbr0","trans br-12d023f77e6a ","trans bri0 ","trans docker0 ","trans enp4s0 ","trans macvlan1 ","trans tailscale0 ","trans veth0d5c3b2 ","trans veth77ec78e ","trans virbr0 "
1725558390000,0,12392,0,13736,undefined,0,undefined,0,0,0,38195.2,0,38387.2,undefined,0,undefined,0,0
1725558420000,0,1186952,0,1200168,undefined,0,undefined,0,0,0,81926.4,0,82118.4,undefined,0,undefined,0,0
1725558450000,0,7152,0,8160,undefined,0,undefined,0,0,0,38201.6,0,38393.6,undefined,0,undefined,0,0
1725558480000,0,3320,0,3947.2,undefined,0,undefined,0,0,0,38545.6,0,38737.6,undefined,0,undefined,0,0
1725558510000,0,8224,0,9187.2,undefined,0,undefined,0,0,0,38190.4,0,38382.4,undefined,0,undefined,0,0
1725558540000,0,6020.816653322658,0,6984.787830264211,undefined,0,undefined,0,0,0,38789.431545236184,0,39540.432345876696,undefined,0,undefined,0,0
1725558570000,0,4284.8,0,4934.4,undefined,0,undefined,0,0,0,38292.8,0,38484.8,undefined,0,undefined,0,0
1725558600000,0,19004.8,0,20057.6,undefined,0,undefined,0,0,0,38411.2,0,38603.2,undefined,0,undefined,0,0
1725558630000,0,8310.4,0,9408,undefined,0,undefined,0,0,0,38232,0,38424,undefined,0,undefined,0,0
1725558660000,0,8336,0,9142.4,undefined,0,undefined,0,0,0,40009.6,0,40201.6,undefined,0,undefined,0,0
1725558690000,0,8916.8,0,9700.8,undefined,0,undefined,0,0,0,38260.8,0,38452.8,undefined,0,undefined,0,0
1725558720000,0,8980.8,0,9832,undefined,0,undefined,0,0,0,40136,0,40328,undefined,0,undefined,0,0
1725558750000,0,8476.8,0,9801.6,undefined,0,undefined,0,0,0,38249.6,0,38441.6,undefined,0,undefined,0,0
1725558780000,0,9291.2,0,10164.8,undefined,0,undefined,0,0,0,43870.4,0,44062.4,undefined,0,undefined,0,0
1725558810000,0,14081.6,0,15403.2,undefined,0,undefined,0,0,0,39228.8,0,39420.8,undefined,0,undefined,0,0
1725558840000,0,10611.2,0,11641.6,undefined,0,undefined,0,0,0,44009.6,0,44201.6,undefined,0,undefined,0,0
1725558870000,0,9985.6,0,10881.6,undefined,0,undefined,0,0,0,38196.8,0,38388.8,undefined,0,undefined,0,0
1725558900000,0,13456,0,14822.4,undefined,0,undefined,0,0,0,44152,0,44344,undefined,0,undefined,0,0
1725558930000,0,9916.8,0,10857.6,undefined,0,undefined,0,0,0,38284.8,0,38476.8,undefined,0,undefined,0,0
1725558960000,0,12860.8,0,14204.8,undefined,0,undefined,0,0,0,44091.2,0,44305.6,undefined,0,undefined,0,0
1725558990000,0,14371.2,0,15670.4,undefined,0,undefined,0,0,0,38216,0,38966.4,undefined,0,undefined,0,0
1725559020000,0,16836.8,0,18158.4,undefined,0,undefined,0,0,0,42286.4,0,42478.4,undefined,0,undefined,0,0
1725559050000,0,11595.2,0,12625.6,undefined,0,undefined,0,0,0,38435.2,0,39185.6,undefined,0,undefined,0,0
1725559080000,0,13040,0,14339.2,undefined,0,undefined,0,0,0,42382.4,0,42574.4,undefined,0,undefined,0,0
1725559110000,0,10217.6,0,11203.2,undefined,0,undefined,0,0,0,38422.4,0,38614.4,undefined,0,undefined,0,0
1725559140000,0,9721.6,0,11203.2,undefined,0,undefined,0,0,0,38312,0,38504,undefined,0,undefined,0,0
1725559170000,0,10592,0,11555.2,undefined,0,undefined,0,0,0,38204.8,0,38396.8,undefined,0,undefined,0,0
1725559200000,0,9718.4,0,10681.6,undefined,0,undefined,0,0,0,38257.6,0,38449.6,undefined,0,undefined,0,0
1725559230000,0,10609.6,0,11640,undefined,0,undefined,0,0,0,38216,0,38408,undefined,0,undefined,0,0
1725559260000,0,13068.8,0,14278.4,undefined,0,undefined,0,0,0,38302.4,0,38494.4,undefined,0,undefined,0,0
1725559290000,0,10478.4,0,11374.4,undefined,0,undefined,0,0,0,38454.4,0,38646.4,undefined,0,undefined,0,0
1725559320000,0,11227.2,0,12190.4,undefined,0,undefined,0,0,0,38228.8,0,38420.8,undefined,0,undefined,0,0
1725559350000,0,8387.2,0,9104,undefined,0,undefined,0,0,0,38289.6,0,38481.6,undefined,0,undefined,0,0
1725559380000,0,10776,0,11828.8,undefined,0,undefined,0,0,0,38296,0,38488,undefined,0,undefined,0,0
1725559410000,0,11174.4,0,12316.8,undefined,0,undefined,0,0,0,40099.2,0,40291.2,undefined,0,undefined,0,0
1725559440000,0,12561.6,0,13681.6,undefined,0,undefined,0,0,0,38244.8,0,38436.8,undefined,0,undefined,0,0
1725559470000,0,17435.2,0,19585.6,undefined,0,undefined,0,0,0,40016,0,40208,undefined,0,undefined,0,0
1725559500000,0,11952,0,13049.6,undefined,0,undefined,0,0,0,38217.6,0,38968,undefined,0,undefined,0,0
1725559530000,0,10640,0,11670.4,undefined,0,undefined,0,0,0,44027.2,0,44219.2,undefined,0,undefined,0,0
1725559560000,0,10630.4,0,11660.8,undefined,0,undefined,0,0,0,38296,0,38488,undefined,0,undefined,0,0
1725559590000,0,10438.4,0,12009.6,undefined,0,undefined,0,0,0,43980.8,0,44195.2,undefined,0,undefined,0,0
1725559620000,0,10084.8,0,11137.6,undefined,0,undefined,0,0,0,38363.2,0,38555.2,undefined,0,undefined,0,0
1725559650000,0,10105.6,0,11068.8,undefined,0,undefined,0,0,0,44072,0,44264,undefined,0,undefined,0,0
1725559680000,0,10440,0,11403.2,undefined,0,undefined,0,0,0,38268.8,0,38460.8,undefined,0,undefined,0,0
1725559710000,0,14774.4,0,16166.4,undefined,0,undefined,0,0,0,44235.2,0,44449.6,undefined,0,undefined,0,0
1725559740000,0,13043.2,0,14230.4,undefined,0,undefined,0,0,0,38307.2,0,38499.2,undefined,0,undefined,0,0
1725559770000,0,3664,0,4425.6,undefined,0,undefined,0,0,0,42288,0,42480,undefined,0,undefined,0,0
1725559800000,0,4212.8,0,4929.6,undefined,0,undefined,0,0,0,38264,0,38456,undefined,0,undefined,0,0
1725559830000,0,3960,0,4632,undefined,0,undefined,0,0,0,42339.2,0,42531.2,undefined,0,undefined,0,0
1725559860000,0,5211.2,0,6107.2,undefined,0,undefined,0,0,0,38662.4,0,38854.4,undefined,0,undefined,0,0
1725559890000,0,5928,0,6868.8,undefined,0,undefined,0,0,0,42513.6,0,42705.6,undefined,0,undefined,0,0
1725559920000,0,980904,0,994779.2,undefined,0,undefined,0,0,0,117832,0,118168,undefined,0,undefined,0,0
1725559950000,0,3269384,0,3316107.2,undefined,0,undefined,0,0,0,377129.6,0,377321.6,undefined,0,undefined,0,0
1725559980000,0,6398.4,0,8104,undefined,0,undefined,0,0,0,39120,0,39312,undefined,0,undefined,0,0
1725560010000,0,6782.4,0,7944,undefined,0,undefined,0,0,0,39134.4,0,39884.8,undefined,0,undefined,0,0
1725560040000,0,5022.4,0,5739.2,undefined,0,undefined,0,0,0,38664,0,38856,undefined,0,undefined,0,0
1725560070000,0,5448,0,6276.8,undefined,0,undefined,0,0,0,38292.8,0,38484.8,undefined,0,undefined,0,0
1725560100000,0,5398.4,0,6361.6,undefined,0,undefined,0,0,0,38302.4,0,38494.4,undefined,0,undefined,0,0
1725560130000,0,5969.6,0,7086.4,undefined,0,undefined,0,0,0,38704,0,38896,undefined,0,undefined,0,0
1725560160000,0,9140.8,0,10686.4,undefined,0,undefined,0,0,0,64769.6,0,64961.6,undefined,0,undefined,0,0
1725560190000,0,7598.4,0,8606.4,undefined,0,undefined,0,0,0,38307.2,0,38499.2,undefined,0,undefined,0,0
1725560220000,0,1145675.2,0,1159476.8,undefined,0,undefined,0,0,0,112019.2,0,112211.2,undefined,0,undefined,0,0
1725560250000,0,7363.2,0,8528,undefined,0,undefined,0,0,0,38579.2,0,38771.2,undefined,0,undefined,0,0
1725560280000,0,8649.6,0,9948.8,undefined,0,undefined,0,0,0,41035.2,0,41227.2,undefined,0,undefined,0,0
1725560310000,0,4971.2,0,5777.6,undefined,0,undefined,0,0,0,38257.6,0,38449.6,undefined,0,undefined,0,0
1725560340000,0,7764.8,0,9131.2,undefined,0,undefined,0,0,0,45366.4,0,45580.8,undefined,0,undefined,0,0
1725560370000,0,7960,0,8990.4,undefined,0,undefined,0,0,0,38358.4,0,38550.4,undefined,0,undefined,0,0
1725560400000,0,10648,0,12036.8,undefined,0,undefined,0,0,0,44137.6,0,44329.6,undefined,0,undefined,0,0
1725560430000,0,3851.2,0,5064,undefined,0,undefined,0,0,0,38230.4,0,38422.4,undefined,0,undefined,0,0
