"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 18:29:00,0.190%,0.296%,0.0446%,0.00558%,0%,99.5%
2024-03-04 18:29:15,0.251%,0.268%,0.0390%,0.00558%,0%,99.4%
2024-03-04 18:29:30,0.296%,0.307%,0.0390%,0%,0%,99.4%
2024-03-04 18:29:45,0.234%,0.407%,0.0446%,0.00558%,0%,99.3%
2024-03-04 18:30:00,0.229%,0.363%,0.0446%,0.0112%,0%,99.4%
2024-03-04 18:30:15,0.262%,0.385%,0.0390%,0.0112%,0%,99.3%
2024-03-04 18:30:30,0.190%,0.279%,0.0391%,0.00558%,0%,99.5%
2024-03-04 18:30:45,0.223%,0.295%,0.0279%,0%,0%,99.5%
2024-03-04 18:31:00,0.206%,0.324%,0.0335%,0%,0%,99.4%
2024-03-04 18:31:15,0.223%,0.307%,0.0334%,0.00557%,0%,99.4%
2024-03-04 18:31:30,0.290%,0.346%,0.0446%,0.0223%,0%,99.3%
2024-03-04 18:31:45,0.245%,0.323%,0.0390%,0%,0%,99.4%
2024-03-04 18:32:00,0.257%,0.346%,0.0335%,0.0223%,0%,99.3%
2024-03-04 18:32:15,0.234%,0.368%,0.0335%,0.0112%,0%,99.4%
2024-03-04 18:32:30,0.184%,0.346%,0.0446%,0.0167%,0%,99.4%
2024-03-04 18:32:45,0.218%,0.313%,0.0391%,0.0279%,0%,99.4%
2024-03-04 18:33:00,0.213%,0.269%,0.0281%,0.0842%,0%,99.4%
2024-03-04 18:33:15,0.269%,0.303%,0.0337%,0.253%,0%,99.1%
2024-03-04 18:33:30,0.225%,0.303%,0.0281%,0.236%,0%,99.2%
2024-03-04 18:33:45,0.219%,0.343%,0.0337%,0.275%,0%,99.1%
2024-03-04 18:34:00,0.191%,0.286%,0.0449%,0.241%,0%,99.2%
2024-03-04 18:34:15,0.219%,0.337%,0.0449%,0.247%,0%,99.2%
2024-03-04 18:34:30,0.269%,0.258%,0.0449%,0.236%,0%,99.2%
2024-03-04 18:34:45,0.281%,0.309%,0.0449%,0.292%,0%,99.1%
2024-03-04 18:35:00,0.213%,0.320%,0.0337%,0.252%,0%,99.2%
2024-03-04 18:35:15,0.230%,0.292%,0.0337%,0.264%,0%,99.2%
2024-03-04 18:35:30,0.191%,0.253%,0.0393%,0.253%,0%,99.3%
2024-03-04 18:35:45,0.253%,0.309%,0.0393%,0.202%,0%,99.2%
2024-03-04 18:36:00,0.197%,0.286%,0.0225%,0.286%,0%,99.2%
2024-03-04 18:36:15,0.252%,0.387%,0.0393%,0.264%,0%,99.1%
2024-03-04 18:36:30,0.258%,0.292%,0.0337%,0.269%,0%,99.1%
2024-03-04 18:36:45,0.241%,0.780%,0.0337%,0.224%,0%,98.7%
2024-03-04 18:37:00,0.225%,0.253%,0.0337%,0.213%,0%,99.3%
2024-03-04 18:37:15,0.230%,0.281%,0.0225%,0.202%,0%,99.3%
2024-03-04 18:37:30,0.224%,0.331%,0.0393%,0.247%,0%,99.2%
2024-03-04 18:37:45,0.236%,0.342%,0.0337%,0.241%,0%,99.1%
2024-03-04 18:38:00,0.225%,0.281%,0.0393%,0.230%,0%,99.2%
2024-03-04 18:38:15,0.213%,0.275%,0.0337%,0.213%,0%,99.3%
2024-03-04 18:38:30,0.225%,0.253%,0.0337%,0.214%,0%,99.3%
2024-03-04 18:38:45,0.247%,0.303%,0.0337%,0.230%,0%,99.2%
2024-03-04 18:39:00,0.236%,0.275%,0.0281%,0.202%,0%,99.3%
2024-03-04 18:39:15,0.236%,0.298%,0.0281%,0.230%,0%,99.2%
2024-03-04 18:39:30,0.196%,0.325%,0.0393%,0.230%,0%,99.2%
2024-03-04 18:39:45,0.225%,0.326%,0.0449%,0.247%,0%,99.2%
2024-03-04 18:40:00,0.224%,0.342%,0.0617%,0.297%,0%,99.1%
2024-03-04 18:40:15,0.225%,0.253%,0.0337%,0.270%,0%,99.2%
2024-03-04 18:40:30,0.202%,0.247%,0.0393%,0.219%,0%,99.3%
2024-03-04 18:40:45,0.213%,0.337%,0.0393%,0.208%,0%,99.2%
2024-03-04 18:41:00,0.174%,0.225%,0.0337%,0.236%,0%,99.3%
2024-03-04 18:41:15,0.213%,0.303%,0.0393%,0.219%,0%,99.2%
2024-03-04 18:41:30,0.225%,0.286%,0.0281%,0.258%,0%,99.2%
2024-03-04 18:41:45,0.214%,0.298%,0.0449%,0.247%,0%,99.2%
2024-03-04 18:42:00,0.241%,0.326%,0.0337%,0.264%,0%,99.1%
2024-03-04 18:42:15,0.191%,0.281%,0.0337%,0.213%,0%,99.3%
2024-03-04 18:42:30,0.241%,0.348%,0.0393%,0.241%,0%,99.1%
2024-03-04 18:42:45,0.208%,0.247%,0.0337%,0.258%,0%,99.3%
2024-03-04 18:43:00,0.235%,0.280%,0.0392%,0.157%,0%,99.3%
2024-03-04 18:43:15,0.223%,0.296%,0.0390%,0.0167%,0%,99.4%
2024-03-04 18:43:30,0.223%,0.296%,0.0390%,0.0167%,0%,99.4%
2024-03-04 18:43:45,0.223%,0.296%,0.0390%,0.0167%,0%,99.4%
