"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 18:30:15,15.4 GiB,7.34 GiB,7.63 GiB,401 MiB,164 MiB
2024-03-04 18:30:30,15.4 GiB,7.35 GiB,7.64 GiB,383 MiB,164 MiB
2024-03-04 18:30:45,15.4 GiB,7.35 GiB,7.64 GiB,374 MiB,164 MiB
2024-03-04 18:31:00,15.4 GiB,2.26 GiB,7.69 GiB,5.41 GiB,163 MiB
2024-03-04 18:31:15,15.4 GiB,2.25 GiB,7.69 GiB,5.41 GiB,163 MiB
2024-03-04 18:31:30,15.4 GiB,2.26 GiB,7.69 GiB,5.41 GiB,162 MiB
2024-03-04 18:31:45,15.4 GiB,2.24 GiB,7.70 GiB,5.42 GiB,162 MiB
2024-03-04 18:32:00,15.4 GiB,2.25 GiB,7.69 GiB,5.41 GiB,161 MiB
2024-03-04 18:32:15,15.4 GiB,2.26 GiB,7.69 GiB,5.41 GiB,161 MiB
2024-03-04 18:32:30,15.4 GiB,2.26 GiB,7.69 GiB,5.41 GiB,161 MiB
2024-03-04 18:32:45,15.4 GiB,2.26 GiB,7.70 GiB,5.40 GiB,160 MiB
2024-03-04 18:33:00,15.4 GiB,2.27 GiB,7.70 GiB,5.39 GiB,160 MiB
2024-03-04 18:33:15,15.4 GiB,2.27 GiB,7.70 GiB,5.39 GiB,160 MiB
2024-03-04 18:33:30,15.4 GiB,2.28 GiB,7.70 GiB,5.38 GiB,159 MiB
2024-03-04 18:33:45,15.4 GiB,2.29 GiB,7.70 GiB,5.38 GiB,159 MiB
2024-03-04 18:34:00,15.4 GiB,2.34 GiB,7.70 GiB,5.32 GiB,158 MiB
2024-03-04 18:34:15,15.4 GiB,2.29 GiB,7.70 GiB,5.37 GiB,158 MiB
2024-03-04 18:34:30,15.4 GiB,2.30 GiB,7.70 GiB,5.37 GiB,158 MiB
2024-03-04 18:34:45,15.4 GiB,2.29 GiB,7.70 GiB,5.37 GiB,158 MiB
2024-03-04 18:35:00,15.4 GiB,2.30 GiB,7.70 GiB,5.37 GiB,158 MiB
2024-03-04 18:35:15,15.4 GiB,2.29 GiB,7.70 GiB,5.37 GiB,158 MiB
2024-03-04 18:35:30,15.4 GiB,2.30 GiB,7.70 GiB,5.36 GiB,158 MiB
2024-03-04 18:35:45,15.4 GiB,2.30 GiB,7.70 GiB,5.36 GiB,158 MiB
2024-03-04 18:36:00,15.4 GiB,2.30 GiB,7.70 GiB,5.36 GiB,158 MiB
2024-03-04 18:36:15,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:36:30,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:36:45,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:37:00,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:37:15,15.4 GiB,2.32 GiB,7.70 GiB,5.34 GiB,158 MiB
2024-03-04 18:37:30,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:37:45,15.4 GiB,2.32 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:38:00,15.4 GiB,2.32 GiB,7.70 GiB,5.34 GiB,158 MiB
2024-03-04 18:38:15,15.4 GiB,2.32 GiB,7.70 GiB,5.34 GiB,158 MiB
2024-03-04 18:38:30,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:38:45,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:39:00,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:39:15,15.4 GiB,2.34 GiB,7.70 GiB,5.32 GiB,158 MiB
2024-03-04 18:39:30,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:39:45,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:40:00,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:40:15,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:40:30,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:40:45,15.4 GiB,2.34 GiB,7.70 GiB,5.32 GiB,158 MiB
2024-03-04 18:41:00,15.4 GiB,2.34 GiB,7.70 GiB,5.32 GiB,158 MiB
2024-03-04 18:41:15,15.4 GiB,2.34 GiB,7.70 GiB,5.32 GiB,158 MiB
2024-03-04 18:41:30,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:41:45,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:42:00,15.4 GiB,2.31 GiB,7.70 GiB,5.34 GiB,158 MiB
2024-03-04 18:42:15,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:42:30,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:42:45,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:43:00,15.4 GiB,2.32 GiB,7.70 GiB,5.34 GiB,158 MiB
2024-03-04 18:43:15,15.4 GiB,2.35 GiB,7.70 GiB,5.31 GiB,158 MiB
2024-03-04 18:43:30,15.4 GiB,2.36 GiB,7.70 GiB,5.30 GiB,158 MiB
2024-03-04 18:43:45,15.4 GiB,2.36 GiB,7.70 GiB,5.30 GiB,158 MiB
2024-03-04 18:44:00,15.4 GiB,2.36 GiB,7.70 GiB,5.30 GiB,158 MiB
2024-03-04 18:44:15,15.4 GiB,2.37 GiB,7.70 GiB,5.29 GiB,158 MiB
2024-03-04 18:44:30,15.4 GiB,2.37 GiB,7.70 GiB,5.29 GiB,158 MiB
2024-03-04 18:44:45,15.4 GiB,2.37 GiB,7.70 GiB,5.29 GiB,158 MiB
2024-03-04 18:45:00,15.4 GiB,2.37 GiB,7.70 GiB,5.29 GiB,158 MiB
2024-03-04 18:45:15,15.4 GiB,2.37 GiB,7.70 GiB,5.29 GiB,158 MiB
