"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv ip_vti0","recv veth12dd5df","recv veth1c3c36b","recv veth3a1e070","recv veth5040e0e","recv veth56531bb","recv veth7a6539b","recv veth846a426","recv veth9202ca9","recv vetha7cb358","recv vethb5e236d","recv vethc2d84b4","recv vethf152619","recv vethfead0d0","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans ip_vti0 ","trans veth12dd5df ","trans veth1c3c36b ","trans veth3a1e070 ","trans veth5040e0e ","trans veth56531bb ","trans veth7a6539b ","trans veth846a426 ","trans veth9202ca9 ","trans vetha7cb358 ","trans vethb5e236d ","trans vethc2d84b4 ","trans vethf152619 ","trans vethfead0d0 ","trans wlp0s20f3 "
2024-03-04 18:29:00,540 b/s,0 b/s,8.20 kb/s,0 b/s,0 b/s,209 b/s,735 b/s,455 b/s,113 b/s,0 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,267 b/s,368 b/s,0 b/s,18.4 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,904 b/s,113 b/s,368 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:29:15,506 b/s,0 b/s,6.70 kb/s,0 b/s,0 b/s,277 b/s,565 b/s,524 b/s,0 b/s,22.4 b/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,135 b/s,304 b/s,0 b/s,18.5 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,904 b/s,0 b/s,191 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:29:30,491 b/s,0 b/s,19.3 kb/s,0 b/s,0 b/s,209 b/s,678 b/s,455 b/s,113 b/s,0 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,45.9 b/s,1.41 kb/s,0 b/s,18.5 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,904 b/s,113 b/s,1.41 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:29:45,604 b/s,0 b/s,7.02 kb/s,0 b/s,0 b/s,277 b/s,701 b/s,524 b/s,0 b/s,0 b/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,223 b/s,1.51 kb/s,0 b/s,18.5 kb/s,0 b/s,0 b/s,658 b/s,135 b/s,904 b/s,0 b/s,1.37 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:30:00,407 b/s,0 b/s,10.2 kb/s,0 b/s,0 b/s,209 b/s,565 b/s,455 b/s,113 b/s,22.4 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,45.9 b/s,1.29 kb/s,0 b/s,18.5 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,904 b/s,113 b/s,1.29 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:30:15,589 b/s,0 b/s,6.24 kb/s,0 b/s,0 b/s,277 b/s,678 b/s,524 b/s,0 b/s,0 b/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,1.69 kb/s,260 b/s,0 b/s,18.5 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,904 b/s,0 b/s,147 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:30:30,589 b/s,0 b/s,7.94 kb/s,0 b/s,0 b/s,209 b/s,791 b/s,455 b/s,113 b/s,0 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,2.67 kb/s,1.63 kb/s,0 b/s,18.8 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,904 b/s,113 b/s,1.63 kb/s,0 b/s,695 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:30:45,653 b/s,0 b/s,15.9 kb/s,0 b/s,0 b/s,277 b/s,735 b/s,770 b/s,0 b/s,22.4 b/s,0 b/s,313 b/s,0 b/s,0 b/s,277 b/s,3.16 kb/s,0 b/s,310 b/s,1.86 kb/s,0 b/s,18.7 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,1.15 kb/s,0 b/s,1.75 kb/s,0 b/s,693 b/s,0 b/s,0 b/s,658 b/s,1.64 kb/s,0 b/s,0 b/s
2024-03-04 18:31:00,525 b/s,0 b/s,10.1 kb/s,0 b/s,0 b/s,209 b/s,728 b/s,455 b/s,113 b/s,0 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,138 b/s,1.51 kb/s,0 b/s,19.2 kb/s,0 b/s,0 b/s,658 b/s,191 b/s,904 b/s,113 b/s,1.43 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:31:15,791 b/s,0 b/s,7.48 kb/s,0 b/s,0 b/s,277 b/s,903 b/s,524 b/s,0 b/s,0 b/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,223 b/s,1.54 kb/s,0 b/s,20.8 kb/s,0 b/s,0 b/s,658 b/s,288 b/s,904 b/s,0 b/s,1.25 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,695 b/s,1.36 kb/s,0 b/s,0 b/s
