"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-04 18:29:45,0 b/s,0 b/s,0 b/s,0 b/s,18.0 kb/s,0 b/s,18.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,1.46 kb/s,0 b/s,1.68 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:30:00,0 b/s,0 b/s,0 b/s,0 b/s,28.1 kb/s,0 b/s,31.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,1.15 kb/s,0 b/s,1.59 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:30:15,0 b/s,0 b/s,0 b/s,0 b/s,18.8 kb/s,0 b/s,19.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,1.68 kb/s,0 b/s,1.92 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:30:30,0 b/s,0 b/s,0 b/s,0 b/s,29.1 kb/s,0 b/s,31.4 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,1.44 kb/s,0 b/s,1.70 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:30:45,0 b/s,0 b/s,0 b/s,0 b/s,23.7 kb/s,0 b/s,24.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,1.64 kb/s,0 b/s,1.86 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:31:00,0 b/s,0 b/s,0 b/s,0 b/s,24.4 kb/s,0 b/s,26.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,1.75 kb/s,0 b/s,2.22 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:31:15,0 b/s,0 b/s,0 b/s,0 b/s,20.1 kb/s,0 b/s,21.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,1.67 kb/s,0 b/s,1.89 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:31:30,0 b/s,0 b/s,0 b/s,0 b/s,32.9 kb/s,0 b/s,35.4 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.48 kb/s,0 b/s,2.75 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:31:45,0 b/s,0 b/s,0 b/s,0 b/s,78.1 kb/s,0 b/s,81.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,195 kb/s,0 b/s,196 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:32:00,0 b/s,0 b/s,0 b/s,0 b/s,64.4 kb/s,0 b/s,67.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,89.1 kb/s,0 b/s,89.5 kb/s,0 b/s,0 b/s,0 b/s
