"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 18:41:00,1.11%,0.451%,0.0138%,0.0241%,0%,98.4%
2024-03-04 18:41:15,1.23%,0.686%,0.0103%,0.0411%,0%,98.0%
2024-03-04 18:41:30,1.38%,0.847%,0.00683%,0.0615%,0%,97.7%
2024-03-04 18:41:45,1.47%,3.06%,0.00667%,0.0367%,0%,95.4%
2024-03-04 18:42:00,1.79%,6.07%,0.0161%,0.138%,0.00322%,92.0%
2024-03-04 18:42:15,1.97%,4.04%,0.00983%,0.262%,0.00328%,93.7%
2024-03-04 18:42:30,1.77%,1.34%,0.00677%,0.0643%,0%,96.8%
2024-03-04 18:42:45,0.468%,0.305%,0.0104%,0.0312%,0%,99.2%
2024-03-04 18:43:00,0.152%,0.227%,0.0138%,0.0138%,0%,99.6%
2024-03-04 18:43:15,0.664%,0.828%,0.0136%,0.00341%,0%,98.5%
2024-03-04 18:43:30,1.12%,2.45%,0.01000%,0.00667%,0%,96.4%
2024-03-04 18:43:45,2.82%,5.53%,0.00315%,0.448%,0%,91.2%
2024-03-04 18:44:00,2.27%,1.70%,0.0199%,0.0730%,0%,95.9%
2024-03-04 18:44:15,0.651%,0.777%,0.00681%,0.00681%,0%,98.6%
2024-03-04 18:44:30,0.819%,0.471%,0.0102%,0.0136%,0%,98.7%
2024-03-04 18:44:45,0.507%,0.366%,0.0171%,0.0137%,0%,99.1%
2024-03-04 18:45:00,0.997%,0.487%,0.0136%,0.0102%,0%,98.5%
2024-03-04 18:45:15,1.32%,1.85%,0.00669%,0.00669%,0%,96.8%
2024-03-04 18:45:30,2.24%,5.46%,0.00637%,0.156%,0%,92.1%
2024-03-04 18:45:45,2.65%,2.02%,0.00988%,0.0790%,0.00329%,95.2%
2024-03-04 18:46:00,0.791%,0.447%,0.0102%,0.0136%,0%,98.7%
2024-03-04 18:46:15,0.823%,0.592%,0.0170%,0.0170%,0%,98.6%
2024-03-04 18:46:30,0.714%,0.270%,0.0103%,0.00684%,0%,99.0%
2024-03-04 18:46:45,1.17%,0.667%,0%,0.0136%,0%,98.2%
2024-03-04 18:47:00,1.07%,1.02%,0.0135%,0.00676%,0%,97.9%
2024-03-04 18:47:15,1.87%,5.65%,0.0127%,0.194%,0%,92.3%
2024-03-04 18:47:30,2.96%,2.92%,0.00649%,0.117%,0%,94.0%
2024-03-04 18:47:45,1.25%,0.912%,0.0101%,0.0101%,0%,97.8%
2024-03-04 18:48:00,1.19%,0.664%,0.0136%,0.0102%,0%,98.1%
2024-03-04 18:48:15,1.03%,0.736%,0.0102%,0.0102%,0%,98.2%
2024-03-04 18:48:30,0.680%,0.355%,0.0102%,0.0239%,0%,98.9%
2024-03-04 18:48:45,0.493%,0.284%,0.0103%,0.0103%,0%,99.2%
2024-03-04 18:49:00,1.58%,4.65%,0.0129%,0.277%,0%,93.5%
2024-03-04 18:49:15,4.21%,3.87%,0.00957%,0.00638%,0%,91.9%
2024-03-04 18:49:30,1.15%,0.832%,0.00677%,0.00677%,0%,98.0%
2024-03-04 18:49:45,1.49%,0.926%,0.0101%,0.0168%,0%,97.6%
2024-03-04 18:50:00,0.755%,0.680%,0.0238%,0.0102%,0%,98.5%
2024-03-04 18:50:15,0.724%,0.341%,0.00683%,0.0239%,0%,98.9%
2024-03-04 18:50:30,1.38%,0.632%,0.00676%,0.0237%,0%,98.0%
2024-03-04 18:50:45,1.47%,3.83%,0.00979%,0.144%,0%,94.5%
2024-03-04 18:51:00,3.45%,4.84%,0.00948%,0.158%,0%,91.5%
2024-03-04 18:51:15,1.74%,1.00%,0.0101%,0.0235%,0%,97.2%
2024-03-04 18:51:30,0.967%,0.709%,0.00678%,0.0237%,0%,98.3%
2024-03-04 18:51:45,1.07%,0.594%,0.0102%,0.00679%,0%,98.3%
2024-03-04 18:52:00,1.27%,0.596%,0.0169%,0.00677%,0%,98.1%
2024-03-04 18:52:15,0.439%,0.209%,0.0103%,0.0206%,0%,99.3%
2024-03-04 18:52:30,1.37%,2.74%,0.00993%,0.0496%,0%,95.8%
2024-03-04 18:52:45,3.13%,4.93%,0.00951%,0.127%,0.00317%,91.8%
2024-03-04 18:53:00,1.63%,0.998%,0.0235%,0.00672%,0%,97.3%
2024-03-04 18:53:15,1.21%,1.02%,0.0135%,0.0236%,0%,97.7%
2024-03-04 18:53:30,0.972%,0.557%,0.00340%,0.0136%,0%,98.5%
2024-03-04 18:53:45,0.916%,0.446%,0.00681%,0.00681%,0%,98.6%
2024-03-04 18:54:00,1.08%,0.465%,0.0136%,0.0170%,0%,98.4%
2024-03-04 18:54:15,0.729%,1.92%,0.0101%,0.00672%,0%,97.3%
2024-03-04 18:54:30,2.26%,5.68%,0.00634%,0.238%,0%,91.8%
2024-03-04 18:54:45,3.12%,2.62%,0.00975%,0.0715%,0%,94.2%
2024-03-04 18:55:00,1.000%,0.803%,0.0203%,0.0237%,0%,98.2%
2024-03-04 18:55:15,0.878%,0.653%,0.0102%,0.0102%,0%,98.4%
2024-03-04 18:55:30,0.878%,0.653%,0.0102%,0.0102%,0%,98.4%
2024-03-04 18:55:45,0.878%,0.653%,0.0102%,0.0102%,0%,98.4%
