"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 18:41:15,15.4 GiB,2.34 GiB,7.70 GiB,5.32 GiB,158 MiB
2024-03-04 18:41:30,15.4 GiB,2.33 GiB,7.70 GiB,5.33 GiB,158 MiB
2024-03-04 18:41:45,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:42:00,15.4 GiB,2.31 GiB,7.70 GiB,5.34 GiB,158 MiB
2024-03-04 18:42:15,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:42:30,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:42:45,15.4 GiB,2.31 GiB,7.70 GiB,5.35 GiB,158 MiB
2024-03-04 18:43:00,15.4 GiB,2.32 GiB,7.70 GiB,5.34 GiB,158 MiB
2024-03-04 18:43:15,15.4 GiB,2.35 GiB,7.70 GiB,5.31 GiB,158 MiB
2024-03-04 18:43:30,15.4 GiB,2.36 GiB,7.70 GiB,5.30 GiB,158 MiB
2024-03-04 18:43:45,15.4 GiB,2.36 GiB,7.70 GiB,5.30 GiB,158 MiB
2024-03-04 18:44:00,15.4 GiB,2.36 GiB,7.70 GiB,5.30 GiB,158 MiB
2024-03-04 18:44:15,15.4 GiB,2.37 GiB,7.70 GiB,5.29 GiB,158 MiB
2024-03-04 18:44:30,15.4 GiB,2.37 GiB,7.70 GiB,5.29 GiB,158 MiB
2024-03-04 18:44:45,15.4 GiB,2.37 GiB,7.70 GiB,5.29 GiB,158 MiB
2024-03-04 18:45:00,15.4 GiB,2.38 GiB,7.70 GiB,5.28 GiB,158 MiB
2024-03-04 18:45:15,15.4 GiB,2.38 GiB,7.70 GiB,5.28 GiB,158 MiB
2024-03-04 18:45:30,15.4 GiB,2.38 GiB,7.70 GiB,5.28 GiB,158 MiB
2024-03-04 18:45:45,15.4 GiB,2.39 GiB,7.70 GiB,5.27 GiB,158 MiB
2024-03-04 18:46:00,15.4 GiB,2.39 GiB,7.70 GiB,5.27 GiB,158 MiB
2024-03-04 18:46:15,15.4 GiB,2.39 GiB,7.70 GiB,5.27 GiB,158 MiB
2024-03-04 18:46:30,15.4 GiB,2.39 GiB,7.70 GiB,5.26 GiB,158 MiB
2024-03-04 18:46:45,15.4 GiB,2.40 GiB,7.70 GiB,5.26 GiB,158 MiB
2024-03-04 18:47:00,15.4 GiB,2.40 GiB,7.70 GiB,5.26 GiB,158 MiB
2024-03-04 18:47:15,15.4 GiB,2.40 GiB,7.70 GiB,5.26 GiB,158 MiB
