"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-04 18:41:00,0 b/s,0 b/s,0 b/s,0 b/s,108 Mb/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,148 kb/s,0 b/s,149 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:41:15,0 b/s,0 b/s,0 b/s,0 b/s,108 Mb/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,146 kb/s,0 b/s,146 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:41:30,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,149 kb/s,0 b/s,149 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:41:45,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,205 kb/s,0 b/s,205 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:42:00,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,161 kb/s,0 b/s,161 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:42:15,0 b/s,0 b/s,0 b/s,0 b/s,105 Mb/s,0 b/s,106 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,185 kb/s,0 b/s,185 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:42:30,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,163 kb/s,0 b/s,163 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:42:45,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,154 kb/s,0 b/s,154 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:43:00,0 b/s,0 b/s,0 b/s,0 b/s,18.8 Mb/s,0 b/s,18.9 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,29.7 kb/s,0 b/s,30.0 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:43:15,0 b/s,0 b/s,0 b/s,0 b/s,90.6 kb/s,0 b/s,95.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,258 kb/s,0 b/s,258 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:43:30,0 b/s,0 b/s,0 b/s,0 b/s,77.6 kb/s,0 b/s,82.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,198 kb/s,0 b/s,198 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:43:45,0 b/s,0 b/s,0 b/s,0 b/s,131 kb/s,0 b/s,136 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,241 kb/s,0 b/s,242 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:44:00,0 b/s,0 b/s,0 b/s,0 b/s,134 kb/s,0 b/s,140 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,170 kb/s,0 b/s,170 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:44:15,0 b/s,0 b/s,0 b/s,0 b/s,243 kb/s,0 b/s,249 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,175 kb/s,0 b/s,175 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:44:30,0 b/s,0 b/s,0 b/s,0 b/s,87.9 kb/s,0 b/s,93.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,147 kb/s,0 b/s,147 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:44:45,0 b/s,0 b/s,0 b/s,0 b/s,71.0 kb/s,0 b/s,74.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:45:00,0 b/s,0 b/s,0 b/s,0 b/s,74.0 kb/s,0 b/s,78.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:45:15,0 b/s,0 b/s,0 b/s,0 b/s,78.3 kb/s,0 b/s,82.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,144 kb/s,0 b/s,144 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:45:30,0 b/s,0 b/s,0 b/s,0 b/s,109 kb/s,0 b/s,115 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,147 kb/s,0 b/s,147 kb/s,0 b/s,0 b/s,0 b/s
