"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-05 15:38:15,0.323%,0.566%,0.0462%,0.00577%,0%,99.1%
2024-03-05 15:38:30,0.421%,0.603%,0.0512%,0.0114%,0%,98.9%
2024-03-05 15:38:45,0.301%,0.478%,0.0512%,0.00569%,0%,99.2%
2024-03-05 15:39:00,0.432%,0.580%,0.0512%,0.00569%,0%,98.9%
2024-03-05 15:39:15,0.381%,0.449%,0.0512%,0.00568%,0%,99.1%
2024-03-05 15:39:30,0.404%,0.637%,0.0455%,0.00569%,0%,98.9%
2024-03-05 15:39:45,0.313%,0.409%,0.0625%,0.0114%,0%,99.2%
2024-03-05 15:40:00,0.415%,0.569%,0.0512%,0.0284%,0%,98.9%
2024-03-05 15:40:15,0.341%,0.393%,0.0569%,0.00569%,0%,99.2%
2024-03-05 15:40:30,0.449%,0.619%,0.0455%,0.0114%,0%,98.9%
2024-03-05 15:40:45,0.313%,0.404%,0.0568%,0.0114%,0%,99.2%
2024-03-05 15:41:00,0.512%,0.541%,0.0683%,0.0228%,0%,98.9%
2024-03-05 15:41:15,0.450%,0.564%,0.0512%,0.148%,0%,98.8%
2024-03-05 15:41:30,1.03%,1.37%,0.0457%,0.686%,0%,96.9%
2024-03-05 15:41:45,0.847%,1.14%,0.0458%,0.629%,0%,97.3%
2024-03-05 15:42:00,1.26%,1.46%,0.0514%,0.971%,0%,96.3%
2024-03-05 15:42:15,0.978%,1.18%,0.0686%,0.709%,0%,97.1%
2024-03-05 15:42:30,1.19%,1.48%,0.0458%,0.762%,0%,96.5%
2024-03-05 15:42:45,0.990%,1.12%,0.0343%,0.772%,0%,97.1%
2024-03-05 15:43:00,1.04%,1.13%,0.0458%,0.784%,0%,97.0%
2024-03-05 15:43:15,1.00%,1.14%,0.0458%,0.801%,0%,97.0%
2024-03-05 15:43:30,1.22%,1.40%,0.0573%,0.796%,0%,96.5%
2024-03-05 15:43:45,1.16%,1.10%,0.0515%,0.876%,0%,96.8%
2024-03-05 15:44:00,1.21%,1.26%,0.0573%,0.739%,0%,96.7%
2024-03-05 15:44:15,1.18%,1.09%,0.0459%,0.752%,0%,96.9%
2024-03-05 15:44:30,1.05%,1.22%,0.0459%,0.781%,0%,96.9%
2024-03-05 15:44:45,0.902%,1.06%,0.0459%,0.632%,0%,97.4%
2024-03-05 15:45:00,1.07%,1.18%,0.0575%,0.753%,0%,96.9%
2024-03-05 15:45:15,0.911%,1.11%,0.0573%,0.882%,0%,97.0%
2024-03-05 15:45:30,1.22%,1.15%,0.0516%,0.849%,0%,96.7%
2024-03-05 15:45:45,1.03%,1.11%,0.0458%,0.774%,0%,97.0%
2024-03-05 15:46:00,1.58%,1.29%,0.0456%,0.774%,0%,96.3%
2024-03-05 15:46:15,1.05%,1.11%,0.0512%,0.888%,0%,96.9%
2024-03-05 15:46:30,1.22%,1.25%,0.0516%,0.981%,0%,96.5%
2024-03-05 15:46:45,0.979%,1.05%,0.0458%,0.761%,0%,97.2%
2024-03-05 15:47:00,1.01%,1.35%,0.0457%,0.788%,0%,96.8%
2024-03-05 15:47:15,0.967%,1.10%,0.0458%,0.778%,0%,97.1%
2024-03-05 15:47:30,1.33%,1.80%,0.0400%,0.966%,0%,95.9%
2024-03-05 15:47:45,1.06%,1.13%,0.0400%,0.759%,0%,97.0%
2024-03-05 15:48:00,1.06%,1.31%,0.0628%,0.839%,0%,96.7%
2024-03-05 15:48:15,1.11%,1.17%,0.0457%,0.743%,0%,96.9%
2024-03-05 15:48:30,1.33%,1.41%,0.0570%,1.03%,0%,96.2%
2024-03-05 15:48:45,0.938%,1.01%,0.0400%,0.777%,0%,97.2%
2024-03-05 15:49:00,0.938%,1.22%,0.0515%,0.635%,0%,97.2%
2024-03-05 15:49:15,1.34%,1.40%,0.0343%,0.937%,0%,96.3%
2024-03-05 15:49:30,0.893%,1.09%,0.0572%,0.687%,0%,97.3%
2024-03-05 15:49:45,0.978%,1.15%,0.0515%,0.732%,0%,97.1%
2024-03-05 15:50:00,0.892%,1.22%,0.0515%,0.641%,0%,97.2%
2024-03-05 15:50:15,0.951%,1.04%,0.0286%,0.733%,0%,97.2%
2024-03-05 15:50:30,0.893%,1.18%,0.0572%,0.675%,0%,97.2%
2024-03-05 15:50:45,0.950%,1.15%,0.0458%,0.578%,0%,97.3%
2024-03-05 15:51:00,1.01%,1.18%,0.0516%,0.717%,0%,97.0%
2024-03-05 15:51:15,1.24%,1.13%,0.0514%,0.680%,0%,96.9%
2024-03-05 15:51:30,0.302%,0.410%,0.0512%,0%,0%,99.2%
2024-03-05 15:51:45,0.341%,0.682%,0.0455%,0.0114%,0%,98.9%
2024-03-05 15:52:00,0.358%,0.489%,0.0569%,0%,0%,99.1%
2024-03-05 15:52:15,0.415%,0.546%,0.0569%,0.00569%,0%,99.0%
2024-03-05 15:52:30,0.347%,0.478%,0.0512%,0.00569%,0%,99.1%
2024-03-05 15:52:45,0.347%,0.478%,0.0512%,0.00569%,0%,99.1%
2024-03-05 15:53:00,0.347%,0.478%,0.0512%,0.00569%,0%,99.1%
