"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-05 15:38:15,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:38:30,38.9 GiB,1.26 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:38:45,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:39:00,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:39:15,38.9 GiB,1.26 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:39:30,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:39:45,38.9 GiB,1.26 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:40:00,38.9 GiB,1.26 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:40:15,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:40:30,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:40:45,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:41:00,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:41:15,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:41:30,38.9 GiB,1.28 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:41:45,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:42:00,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:42:15,38.9 GiB,1.28 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:42:30,38.9 GiB,1.26 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:42:45,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:43:00,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:43:15,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:43:30,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:43:45,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:44:00,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:44:15,38.9 GiB,1.28 GiB,1.37 GiB,36.2 GiB,0 B
2024-03-05 15:44:30,38.9 GiB,1.27 GiB,1.37 GiB,36.2 GiB,0 B
