"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth06dac42","recv veth5003763","recv veth5bea449","recv veth6bd4b4b","recv veth93dd1f0","recv veth959d830","recv veth9661569","recv veth9ebb4af","recv vethb8cd11d","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth06dac42 ","trans veth5003763 ","trans veth5bea449 ","trans veth6bd4b4b ","trans veth93dd1f0 ","trans veth959d830 ","trans veth9661569 ","trans veth9ebb4af ","trans vethb8cd11d ","trans wlp0s20f3 "
2024-03-05 15:38:15,0 b/s,0 b/s,7.71 kb/s,323 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,848 b/s,0 b/s,1.12 kb/s,0 b/s,0 b/s,248 b/s,0 b/s,0 b/s,16.2 kb/s,243 b/s,3.11 kb/s,197 b/s,393 b/s,393 b/s,478 b/s,0 b/s,721 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:38:30,0 b/s,0 b/s,8.84 kb/s,1.26 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,435 b/s,0 b/s,1.74 kb/s,0 b/s,0 b/s,297 b/s,0 b/s,0 b/s,17.0 kb/s,1.16 kb/s,2.06 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,0 b/s,1.41 kb/s,0 b/s,0 b/s,48 b/s
2024-03-05 15:38:45,0 b/s,0 b/s,10.5 kb/s,601 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,826 b/s,0 b/s,1.42 kb/s,0 b/s,0 b/s,477 b/s,0 b/s,0 b/s,16.3 kb/s,425 b/s,3.12 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,0 b/s,880 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:39:00,0 b/s,0 b/s,8.58 kb/s,51.7 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,435 b/s,0 b/s,449 b/s,0 b/s,0 b/s,284 b/s,0 b/s,0 b/s,16.1 kb/s,35.7 b/s,2.06 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,0 b/s,286 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:39:15,0 b/s,0 b/s,12.3 kb/s,3.20 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,826 b/s,0 b/s,4.33 kb/s,0 b/s,0 b/s,97.1 b/s,0 b/s,0 b/s,19.3 kb/s,2.42 kb/s,3.12 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,0 b/s,2.87 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:39:30,0 b/s,0 b/s,14.1 kb/s,2.97 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,458 b/s,0 b/s,3.68 kb/s,0 b/s,0 b/s,440 b/s,0 b/s,0 b/s,19.1 kb/s,2.33 kb/s,2.06 kb/s,394 b/s,197 b/s,197 b/s,273 b/s,0 b/s,2.60 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:39:45,0 b/s,0 b/s,12.4 kb/s,1.55 kb/s,1.77 kb/s,469 b/s,672 b/s,672 b/s,826 b/s,0 b/s,2.45 kb/s,101 b/s,0 b/s,766 b/s,0 b/s,0 b/s,17.7 kb/s,1.22 kb/s,3.12 kb/s,298 b/s,394 b/s,394 b/s,455 b/s,0 b/s,1.68 kb/s,133 b/s,0 b/s,0 b/s
2024-03-05 15:40:00,0 b/s,0 b/s,7.53 kb/s,1.42 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,413 b/s,0 b/s,1.93 kb/s,0 b/s,0 b/s,368 b/s,0 b/s,0 b/s,17.3 kb/s,1.12 kb/s,2.06 kb/s,394 b/s,197 b/s,197 b/s,228 b/s,0 b/s,1.35 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:40:15,0 b/s,0 b/s,11.8 kb/s,844 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,870 b/s,0 b/s,1.71 kb/s,0 b/s,0 b/s,191 b/s,0 b/s,0 b/s,16.8 kb/s,668 b/s,3.12 kb/s,197 b/s,394 b/s,394 b/s,500 b/s,0 b/s,1.17 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:40:30,0 b/s,0 b/s,6.62 kb/s,357 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,413 b/s,0 b/s,762 b/s,0 b/s,0 b/s,442 b/s,0 b/s,0 b/s,16.0 kb/s,301 b/s,2.06 kb/s,394 b/s,197 b/s,197 b/s,228 b/s,0 b/s,529 b/s,0 b/s,0 b/s,0 b/s
