"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-05 15:38:00,0.703%,4.52%,0.0833%,0%,0.00333%,94.7%
2024-03-05 15:38:15,0.883%,1.23%,0.0298%,0%,0.0132%,97.8%
2024-03-05 15:38:30,0.0333%,0.0633%,0.01000%,0%,0%,99.9%
2024-03-05 15:38:45,0.0200%,0.107%,0.0367%,0%,0%,99.8%
2024-03-05 15:39:00,0.0567%,0.0767%,0.0233%,0%,0.0100%,99.8%
2024-03-05 15:39:15,0.463%,2.13%,0.00993%,0.00331%,0.0166%,97.4%
2024-03-05 15:39:30,0.203%,0.353%,0.683%,0%,0.00333%,98.8%
2024-03-05 15:39:45,0.0200%,0.0567%,0.00667%,0%,0.00333%,99.9%
2024-03-05 15:40:00,0.0300%,0.0733%,0.01000%,0%,0%,99.9%
2024-03-05 15:40:15,0.0200%,0.0700%,0.00666%,0%,0%,99.9%
2024-03-05 15:40:30,0.0300%,0.0733%,0.0233%,0%,0%,99.9%
2024-03-05 15:40:45,0.823%,0.264%,0.0134%,0%,0%,98.9%
2024-03-05 15:41:00,1.12%,1.08%,0.00672%,0.0202%,0.00672%,97.8%
2024-03-05 15:41:15,3.61%,5.01%,0.00946%,0.0851%,0%,91.3%
2024-03-05 15:41:30,1.89%,3.63%,0.00985%,0.213%,0.00328%,94.3%
2024-03-05 15:41:45,1.42%,0.680%,0.0102%,0.235%,0.00340%,97.7%
2024-03-05 15:42:00,0.957%,0.360%,0.0103%,0.233%,0.00343%,98.4%
2024-03-05 15:42:15,1.55%,0.354%,0.0136%,0.222%,0.00341%,97.9%
2024-03-05 15:42:30,1.05%,0.781%,0.0102%,0.218%,0%,97.9%
2024-03-05 15:42:45,2.64%,4.39%,0.0291%,0.223%,0.00647%,92.7%
2024-03-05 15:43:00,2.67%,4.69%,0.00967%,0.238%,0.00322%,92.4%
2024-03-05 15:43:15,1.55%,1.28%,0.00676%,0.220%,0.00338%,96.9%
2024-03-05 15:43:30,1.37%,0.722%,0.0136%,0.245%,0.00341%,97.6%
2024-03-05 15:43:45,0.847%,0.669%,0.00343%,0.206%,0.00686%,98.3%
2024-03-05 15:44:00,1.46%,0.617%,0.00681%,0.235%,0%,97.7%
2024-03-05 15:44:15,1.43%,3.23%,0.00995%,0.245%,0.00332%,95.1%
2024-03-05 15:44:30,3.66%,5.79%,0.00945%,0.214%,0.00630%,90.3%
2024-03-05 15:44:45,2.37%,2.06%,0.00998%,0.219%,0%,95.3%
2024-03-05 15:45:00,0.767%,0.399%,0.0103%,0.179%,0.00344%,98.6%
2024-03-05 15:45:15,2.05%,0.835%,0.0135%,0.203%,0.00338%,96.9%
2024-03-05 15:45:30,2.92%,1.31%,0.0100%,0.197%,0.00333%,95.6%
2024-03-05 15:45:45,0.710%,3.05%,0.00670%,0.214%,0.00335%,96.0%
2024-03-05 15:46:00,2.26%,5.94%,0.0128%,0.220%,0.00958%,91.6%
2024-03-05 15:46:15,2.07%,2.77%,0.00662%,0.215%,0.00331%,94.9%
2024-03-05 15:46:30,1.46%,1.14%,0.0102%,0.207%,0.00678%,97.2%
2024-03-05 15:46:45,0.681%,0.385%,0.0103%,0.244%,0.00344%,98.7%
2024-03-05 15:47:00,0.863%,0.289%,0.0103%,0.203%,0.00344%,98.6%
2024-03-05 15:47:15,1.71%,1.60%,0.0101%,0.202%,0%,96.5%
2024-03-05 15:47:30,2.46%,5.77%,0.0160%,0.224%,0.00319%,91.5%
2024-03-05 15:47:45,2.99%,3.60%,0.00650%,0.211%,0.00650%,93.2%
2024-03-05 15:48:00,0.950%,0.429%,0.0103%,0.220%,0.00343%,98.4%
2024-03-05 15:48:15,0.976%,0.569%,0.00685%,0.216%,0.00343%,98.2%
2024-03-05 15:48:30,1.92%,0.775%,0.0135%,0.220%,0.00338%,97.1%
2024-03-05 15:48:45,1.11%,1.27%,0.00679%,0.258%,0%,97.4%
2024-03-05 15:49:00,2.33%,6.17%,0.00955%,0.207%,0.00637%,91.3%
2024-03-05 15:49:15,3.13%,3.92%,0.00970%,0.191%,0.00323%,92.7%
2024-03-05 15:49:30,2.02%,1.37%,0.0135%,0.209%,0.00673%,96.4%
2024-03-05 15:49:45,0.895%,0.953%,0.00683%,0.219%,0.00342%,97.9%
2024-03-05 15:50:00,1.64%,1.07%,0.00339%,0.213%,0.00339%,97.1%
2024-03-05 15:50:15,0.780%,0.560%,0.0172%,0.199%,0%,98.4%
2024-03-05 15:50:30,2.27%,4.67%,0.0129%,0.240%,0%,92.8%
2024-03-05 15:50:45,1.90%,4.33%,0.0130%,0.222%,0.00652%,93.5%
2024-03-05 15:51:00,2.37%,1.05%,0.0101%,0.182%,0%,96.4%
2024-03-05 15:51:15,1.25%,0.643%,0.00680%,0.184%,0.00340%,97.9%
2024-03-05 15:51:30,1.46%,1.09%,0.0134%,0.0201%,0.00671%,97.4%
2024-03-05 15:51:45,0.710%,0.578%,0.0136%,0%,0.00340%,98.7%
2024-03-05 15:52:00,0.710%,0.578%,0.0136%,0%,0.00340%,98.7%
2024-03-05 15:52:15,0.710%,0.578%,0.0136%,0%,0.00340%,98.7%
