"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-05 15:50:30,2.27%,4.67%,0.0129%,0.240%,0%,92.8%
2024-03-05 15:50:45,1.90%,4.33%,0.0130%,0.222%,0.00652%,93.5%
2024-03-05 15:51:00,2.37%,1.05%,0.0101%,0.182%,0%,96.4%
2024-03-05 15:51:15,1.25%,0.643%,0.00680%,0.184%,0.00340%,97.9%
2024-03-05 15:51:30,1.46%,1.09%,0.0134%,0.0201%,0.00671%,97.4%
2024-03-05 15:51:45,0.710%,0.578%,0.0136%,0%,0.00340%,98.7%
2024-03-05 15:52:00,2.27%,4.45%,0.00963%,0.0257%,0%,93.3%
2024-03-05 15:52:15,1.71%,1.29%,0.0134%,0.0234%,0.00668%,97.0%
2024-03-05 15:52:30,1.68%,1.65%,0.0234%,0%,0.00334%,96.6%
2024-03-05 15:52:45,2.01%,1.19%,0.00999%,0.0366%,0.00666%,96.8%
2024-03-05 15:53:00,0.995%,0.340%,0.0102%,0.0136%,0%,98.6%
2024-03-05 15:53:15,1.10%,0.491%,0.00677%,0.0372%,0.00339%,98.4%
2024-03-05 15:53:30,1.72%,3.22%,0.00982%,0.00982%,0%,95.0%
2024-03-05 15:53:45,3.31%,1.94%,0.00652%,0.0293%,0.00326%,94.7%
2024-03-05 15:54:00,0.897%,1.45%,0.00672%,0.0168%,0.00336%,97.6%
2024-03-05 15:54:15,0.565%,0.460%,0.0102%,0.0307%,0%,98.9%
2024-03-05 15:54:30,0.831%,0.624%,0.0170%,0.0237%,0.00339%,98.5%
2024-03-05 15:54:45,0.374%,0.674%,0.0102%,0.0477%,0.00340%,98.9%
2024-03-05 15:55:00,1.57%,3.35%,0.00982%,0.0229%,0%,95.0%
2024-03-05 15:55:15,3.09%,3.03%,0.00323%,0.00647%,0.00647%,93.9%
2024-03-05 15:55:30,1.26%,0.788%,0.0168%,0.0505%,0.00674%,97.9%
2024-03-05 15:55:45,1.06%,0.457%,0.0136%,0.0271%,0.00339%,98.4%
2024-03-05 15:56:00,0.819%,0.859%,0.00338%,0.0677%,0.00338%,98.2%
2024-03-05 15:56:15,0.438%,0.209%,0.0103%,0.0479%,0%,99.3%
2024-03-05 15:56:30,1.41%,2.31%,0.0132%,0.0530%,0%,96.2%
2024-03-05 15:56:45,2.91%,2.98%,0.00971%,0.0324%,0.00324%,94.1%
2024-03-05 15:57:00,1.22%,0.514%,0.0101%,0.0372%,0.00338%,98.2%
2024-03-05 15:57:15,1.16%,0.481%,0.0102%,0.0372%,0.00338%,98.3%
2024-03-05 15:57:30,0.876%,0.805%,0.0169%,0.0237%,0.00338%,98.3%
2024-03-05 15:57:45,0.280%,0.617%,0.00682%,0.0273%,0%,99.1%
2024-03-05 15:58:00,0.771%,1.32%,0.00674%,0.0472%,0.00674%,97.8%
2024-03-05 15:58:15,3.24%,4.27%,0.00637%,0%,0.00318%,92.5%
2024-03-05 15:58:30,1.63%,0.862%,0.0101%,0.0403%,0%,97.5%
2024-03-05 15:58:45,0.872%,0.539%,0.0136%,0.00679%,0.00339%,98.6%
2024-03-05 15:59:00,0.651%,0.276%,0.00682%,0%,0.00682%,99.1%
2024-03-05 15:59:15,1.09%,0.555%,0.0102%,0.0372%,0%,98.3%
2024-03-05 15:59:30,2.00%,1.32%,0.0166%,0.0466%,0%,96.6%
2024-03-05 15:59:45,3.35%,3.78%,0.00959%,0.0415%,0%,92.8%
2024-03-05 16:00:00,1.56%,0.833%,0.00336%,0.0806%,0.0101%,97.5%
2024-03-05 16:00:15,0.493%,0.768%,0.0136%,0.0238%,0.00340%,98.7%
2024-03-05 16:00:30,0.325%,0.338%,0.0103%,0.0205%,0.00342%,99.3%
2024-03-05 16:00:45,1.30%,0.888%,0.0101%,0.0202%,0.00337%,97.8%
2024-03-05 16:01:00,1.40%,1.41%,0.0100%,0.0134%,0.00669%,97.2%
2024-03-05 16:01:15,2.47%,4.51%,0.0128%,0.0384%,0%,93.0%
2024-03-05 16:01:30,2.06%,1.29%,0.0133%,0.0433%,0.00333%,96.6%
2024-03-05 16:01:45,1.36%,1.39%,0.0100%,0.00335%,0.00669%,97.2%
2024-03-05 16:02:00,0.616%,0.429%,0.0136%,0.0409%,0.00340%,98.9%
2024-03-05 16:02:15,0.943%,0.434%,0.00679%,0.00679%,0%,98.6%
2024-03-05 16:02:30,1.69%,0.357%,0.0135%,0.0505%,0%,97.9%
2024-03-05 16:02:45,2.41%,4.37%,0.00642%,0.0160%,0%,93.2%
2024-03-05 16:03:00,1.91%,1.21%,0.01000%,0.0633%,0.00667%,96.8%
2024-03-05 16:03:15,0.410%,0.277%,0.0137%,0.0137%,0.00342%,99.3%
2024-03-05 16:03:30,1.26%,1.33%,0.0101%,0.0134%,0.00335%,97.4%
2024-03-05 16:03:45,0.874%,0.262%,0.00340%,0.0204%,0.00340%,98.8%
2024-03-05 16:04:00,1.53%,1.52%,0.00667%,0.0334%,0.00334%,96.9%
2024-03-05 16:04:15,1.42%,3.28%,0.00984%,0.0262%,0.00328%,95.3%
2024-03-05 16:04:30,2.65%,2.65%,0.0130%,0.0489%,0%,94.6%
2024-03-05 16:04:45,1.38%,0.573%,0.00675%,0.0371%,0.00675%,98.0%
2024-03-05 16:05:00,0.864%,0.695%,0.00678%,0.0136%,0.00339%,98.4%
2024-03-05 16:05:15,0.864%,0.695%,0.00678%,0.0136%,0.00339%,98.4%
2024-03-05 16:05:30,0.864%,0.695%,0.00678%,0.0136%,0.00339%,98.4%
