"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth06dac42","recv veth5003763","recv veth5bea449","recv veth6bd4b4b","recv veth93dd1f0","recv veth959d830","recv veth9661569","recv veth9ebb4af","recv vethb8cd11d","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth06dac42 ","trans veth5003763 ","trans veth5bea449 ","trans veth6bd4b4b ","trans veth93dd1f0 ","trans veth959d830 ","trans veth9661569 ","trans veth9ebb4af ","trans vethb8cd11d ","trans wlp0s20f3 "
2024-03-05 15:50:15,0 b/s,0 b/s,106 Mb/s,108 Mb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,56.5 b/s,111 Mb/s,0 b/s,0 b/s,177 b/s,0 b/s,0 b/s,112 Mb/s,102 Mb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,56.5 b/s,102 Mb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:50:30,0 b/s,0 b/s,105 Mb/s,107 Mb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,101 b/s,110 Mb/s,0 b/s,0 b/s,661 b/s,0 b/s,0 b/s,111 Mb/s,101 Mb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,101 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:50:45,0 b/s,0 b/s,104 Mb/s,105 Mb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,908 b/s,56.5 b/s,108 Mb/s,0 b/s,0 b/s,308 b/s,0 b/s,0 b/s,109 Mb/s,99.6 Mb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,478 b/s,56.5 b/s,99.6 Mb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:51:00,0 b/s,0 b/s,105 Mb/s,107 Mb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,443 b/s,78.9 b/s,110 Mb/s,0 b/s,0 b/s,264 b/s,0 b/s,0 b/s,110 Mb/s,101 Mb/s,2.09 kb/s,393 b/s,197 b/s,197 b/s,228 b/s,78.9 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:51:15,0 b/s,0 b/s,88.3 Mb/s,89.8 Mb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,908 b/s,56.5 b/s,92.6 Mb/s,0 b/s,0 b/s,316 b/s,0 b/s,0 b/s,93.1 Mb/s,85.0 Mb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,478 b/s,56.5 b/s,85.0 Mb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:51:30,0 b/s,0 b/s,8.59 kb/s,3.91 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,443 b/s,101 b/s,4.31 kb/s,0 b/s,0 b/s,261 b/s,0 b/s,0 b/s,19.7 kb/s,3.97 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,228 b/s,101 b/s,4.10 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:51:45,0 b/s,0 b/s,8.34 kb/s,0 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,908 b/s,0 b/s,756 b/s,0 b/s,0 b/s,87.5 b/s,0 b/s,0 b/s,15.6 kb/s,0 b/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,478 b/s,0 b/s,478 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:52:00,0 b/s,0 b/s,7.47 kb/s,659 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,78.9 b/s,1.09 kb/s,0 b/s,0 b/s,131 b/s,0 b/s,0 b/s,16.4 kb/s,778 b/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,78.9 b/s,949 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:52:15,0 b/s,0 b/s,10.9 kb/s,1.49 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,56.5 b/s,2.43 kb/s,0 b/s,0 b/s,43.7 b/s,0 b/s,0 b/s,17.4 kb/s,1.73 kb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,56.5 b/s,2.12 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:52:30,0 b/s,0 b/s,7.44 kb/s,584 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,487 b/s,101 b/s,1.02 kb/s,0 b/s,0 b/s,131 b/s,0 b/s,0 b/s,16.3 kb/s,782 b/s,2.09 kb/s,394 b/s,234 b/s,197 b/s,273 b/s,101 b/s,953 b/s,0 b/s,37.3 b/s,0 b/s
2024-03-05 15:52:45,0 b/s,0 b/s,12.9 kb/s,49.1 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,56.5 b/s,734 b/s,0 b/s,0 b/s,306 b/s,0 b/s,0 b/s,15.7 kb/s,56.5 b/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,56.5 b/s,455 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:53:00,0 b/s,0 b/s,8.34 kb/s,367 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,443 b/s,78.9 b/s,722 b/s,0 b/s,0 b/s,221 b/s,0 b/s,0 b/s,16.1 kb/s,434 b/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,228 b/s,78.9 b/s,583 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:53:15,0 b/s,0 b/s,8.00 kb/s,64.0 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,908 b/s,78.9 b/s,756 b/s,0 b/s,0 b/s,1.23 kb/s,0 b/s,0 b/s,15.7 kb/s,78.9 b/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,478 b/s,78.9 b/s,478 b/s,0 b/s,0 b/s,0 b/s
