"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-05 15:50:45,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,110 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,283 kb/s,0 b/s,283 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:51:00,0 b/s,0 b/s,0 b/s,0 b/s,105 Mb/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,300 kb/s,0 b/s,301 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:51:15,0 b/s,0 b/s,0 b/s,0 b/s,67.8 Mb/s,0 b/s,70.0 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,250 kb/s,0 b/s,250 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:51:30,0 b/s,0 b/s,0 b/s,0 b/s,72.4 kb/s,0 b/s,75.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,133 kb/s,0 b/s,133 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:51:45,0 b/s,0 b/s,0 b/s,0 b/s,77.7 kb/s,0 b/s,82.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,132 kb/s,0 b/s,132 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:52:00,0 b/s,0 b/s,0 b/s,0 b/s,73.2 kb/s,0 b/s,77.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,132 kb/s,0 b/s,133 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:52:15,0 b/s,0 b/s,0 b/s,0 b/s,97.5 kb/s,0 b/s,103 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,210 kb/s,0 b/s,210 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:52:30,0 b/s,0 b/s,0 b/s,0 b/s,72.2 kb/s,0 b/s,75.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,167 kb/s,0 b/s,167 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:52:45,0 b/s,0 b/s,0 b/s,0 b/s,82.6 kb/s,0 b/s,88.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,168 kb/s,0 b/s,168 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:53:00,0 b/s,0 b/s,0 b/s,0 b/s,74.8 kb/s,0 b/s,79.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,169 kb/s,0 b/s,170 kb/s,0 b/s,0 b/s,0 b/s
