"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-05 16:06:00,0.370%,0.609%,0.0455%,0.0114%,0%,99.0%
2024-03-05 16:06:15,0.353%,0.427%,0.0569%,0.0114%,0%,99.2%
2024-03-05 16:06:30,0.410%,0.461%,0.0512%,0%,0%,99.1%
2024-03-05 16:06:45,0.307%,0.535%,0.0455%,0.0114%,0%,99.1%
2024-03-05 16:07:00,0.353%,0.558%,0.0456%,0.00569%,0%,99.0%
2024-03-05 16:07:15,0.387%,0.432%,0.0455%,0.00569%,0%,99.1%
2024-03-05 16:07:30,0.387%,0.501%,0.0455%,0%,0%,99.1%
2024-03-05 16:07:45,0.690%,0.769%,0.0674%,0.0168%,0%,98.5%
2024-03-05 16:08:00,0.167%,0.211%,0.0445%,0%,0%,99.6%
2024-03-05 16:08:15,0.195%,0.340%,0.0501%,0.0111%,0%,99.4%
2024-03-05 16:08:30,1.53%,2.84%,0.308%,0.0280%,0.448%,94.8%
2024-03-05 16:08:45,0.993%,2.24%,0.285%,0.0223%,0%,96.5%
2024-03-05 16:09:00,0.413%,0.492%,0.0391%,0%,0%,99.1%
2024-03-05 16:09:15,0.430%,0.541%,0.0558%,0.0335%,0%,98.9%
2024-03-05 16:09:30,0.463%,0.648%,0.0447%,0.0391%,0%,98.8%
2024-03-05 16:09:45,0.970%,0.858%,0.0280%,0.577%,0%,97.6%
2024-03-05 16:10:00,0.938%,0.832%,0.0335%,0.564%,0%,97.6%
2024-03-05 16:10:15,0.959%,0.881%,0.0334%,0.591%,0%,97.5%
2024-03-05 16:10:30,0.889%,0.839%,0.0391%,0.542%,0%,97.7%
2024-03-05 16:10:45,0.795%,0.688%,0.0336%,0.526%,0%,98.0%
2024-03-05 16:11:00,0.774%,0.780%,0.0393%,0.471%,0%,97.9%
2024-03-05 16:11:15,0.690%,0.718%,0.0281%,0.438%,0%,98.1%
2024-03-05 16:11:30,0.797%,0.820%,0.0449%,0.528%,0%,97.8%
2024-03-05 16:11:45,0.679%,0.713%,0.0449%,0.477%,0%,98.1%
2024-03-05 16:12:00,0.808%,0.808%,0.0337%,0.556%,0%,97.8%
2024-03-05 16:12:15,0.763%,0.718%,0.0280%,0.460%,0%,98.0%
2024-03-05 16:12:30,0.697%,0.719%,0.0506%,0.427%,0%,98.1%
2024-03-05 16:12:45,0.724%,0.651%,0.0281%,0.404%,0%,98.2%
2024-03-05 16:13:00,0.657%,0.792%,0.0281%,0.399%,0%,98.1%
2024-03-05 16:13:15,0.684%,0.690%,0.0280%,0.460%,0%,98.1%
2024-03-05 16:13:30,0.707%,0.640%,0.0561%,0.488%,0%,98.1%
2024-03-05 16:13:45,0.657%,0.612%,0.0281%,0.404%,0%,98.3%
2024-03-05 16:14:00,0.769%,0.758%,0.0337%,0.505%,0%,97.9%
2024-03-05 16:14:15,0.774%,0.869%,0.0392%,0.499%,0%,97.8%
2024-03-05 16:14:30,0.690%,0.780%,0.0449%,0.483%,0%,98.0%
2024-03-05 16:14:45,0.860%,0.877%,0.0281%,0.551%,0%,97.7%
2024-03-05 16:15:00,0.779%,0.779%,0.0392%,0.420%,0%,98.0%
2024-03-05 16:15:15,0.812%,0.751%,0.0336%,0.521%,0%,97.9%
2024-03-05 16:15:30,0.931%,0.836%,0.0449%,0.600%,0%,97.6%
2024-03-05 16:15:45,0.785%,0.684%,0.0280%,0.432%,0%,98.1%
2024-03-05 16:16:00,0.679%,0.730%,0.0337%,0.421%,0%,98.1%
2024-03-05 16:16:15,0.656%,0.650%,0.0336%,0.510%,0%,98.1%
2024-03-05 16:16:30,0.712%,0.762%,0.0448%,0.471%,0%,98.0%
2024-03-05 16:16:45,0.790%,0.740%,0.0336%,0.504%,0%,97.9%
2024-03-05 16:17:00,0.993%,0.893%,0.0391%,0.446%,0%,97.6%
2024-03-05 16:17:15,1.08%,0.876%,0.0335%,0.619%,0%,97.4%
2024-03-05 16:17:30,0.957%,1.30%,0.0392%,0.688%,0%,97.0%
2024-03-05 16:17:45,0.790%,0.683%,0.0280%,0.493%,0%,98.0%
2024-03-05 16:18:00,0.773%,0.863%,0.0280%,0.426%,0%,97.9%
2024-03-05 16:18:15,0.777%,0.839%,0.0338%,0.518%,0%,97.8%
2024-03-05 16:18:30,0.852%,0.819%,0.0449%,0.516%,0%,97.8%
2024-03-05 16:18:45,0.707%,0.740%,0.0505%,0.415%,0%,98.1%
2024-03-05 16:19:00,0.794%,0.855%,0.0280%,0.447%,0%,97.9%
2024-03-05 16:19:15,0.723%,0.779%,0.0336%,0.482%,0%,98.0%
2024-03-05 16:19:30,0.919%,0.958%,0.0392%,0.555%,0%,97.5%
2024-03-05 16:19:45,0.430%,0.503%,0.0447%,0.0558%,0%,99.0%
2024-03-05 16:20:00,0.474%,0.491%,0.0335%,0.00558%,0%,99.0%
2024-03-05 16:20:15,0.419%,0.580%,0.0391%,0.0167%,0%,98.9%
2024-03-05 16:20:30,0.419%,0.474%,0.0446%,0.0112%,0%,99.1%
2024-03-05 16:20:45,0.419%,0.474%,0.0446%,0.0112%,0%,99.1%
2024-03-05 16:21:00,0.419%,0.474%,0.0446%,0.0112%,0%,99.1%
