"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-05 16:06:15,38.9 GiB,1.27 GiB,1.40 GiB,36.2 GiB,0 B
2024-03-05 16:06:30,38.9 GiB,1.27 GiB,1.40 GiB,36.2 GiB,0 B
2024-03-05 16:06:45,38.9 GiB,1.27 GiB,1.40 GiB,36.2 GiB,0 B
2024-03-05 16:07:00,38.9 GiB,1.27 GiB,1.40 GiB,36.2 GiB,0 B
2024-03-05 16:07:15,38.9 GiB,1.27 GiB,1.40 GiB,36.2 GiB,0 B
2024-03-05 16:07:30,38.9 GiB,1.28 GiB,1.40 GiB,36.2 GiB,0 B
2024-03-05 16:07:45,38.9 GiB,893 MiB,1.39 GiB,36.6 GiB,0 B
2024-03-05 16:08:00,38.9 GiB,890 MiB,1.39 GiB,36.6 GiB,0 B
2024-03-05 16:08:15,38.9 GiB,894 MiB,1.39 GiB,36.6 GiB,0 B
2024-03-05 16:08:30,38.9 GiB,1.14 GiB,1.97 GiB,35.7 GiB,0 B
2024-03-05 16:08:45,38.9 GiB,1.28 GiB,2.09 GiB,35.5 GiB,0 B
2024-03-05 16:09:00,38.9 GiB,1.28 GiB,2.09 GiB,35.5 GiB,0 B
2024-03-05 16:09:15,38.9 GiB,1.29 GiB,2.09 GiB,35.5 GiB,0 B
2024-03-05 16:09:30,38.9 GiB,1.29 GiB,2.09 GiB,35.5 GiB,0 B
2024-03-05 16:09:45,38.9 GiB,1.31 GiB,2.09 GiB,35.5 GiB,0 B
2024-03-05 16:10:00,38.9 GiB,1.32 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:10:15,38.9 GiB,1.32 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:10:30,38.9 GiB,1.32 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:10:45,38.9 GiB,1.33 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:11:00,38.9 GiB,1.33 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:11:15,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:11:30,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:11:45,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:12:00,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:12:15,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:12:30,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:12:45,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:13:00,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:13:15,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:13:30,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:13:45,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:14:00,38.9 GiB,1.33 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:14:15,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:14:30,38.9 GiB,1.35 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:14:45,38.9 GiB,1.35 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:15:00,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:15:15,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:15:30,38.9 GiB,1.35 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:15:45,38.9 GiB,1.35 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:16:00,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:16:15,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:16:30,38.9 GiB,1.35 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:16:45,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:17:00,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:17:15,38.9 GiB,1.34 GiB,2.09 GiB,35.4 GiB,0 B
2024-03-05 16:17:30,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:17:45,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:18:00,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:18:15,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:18:30,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:18:45,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:19:00,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:19:15,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:19:30,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:19:45,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:20:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:20:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:20:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:20:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:21:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:21:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
