"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-05 16:05:45,0 b/s,0 b/s,0 b/s,0 b/s,83.6 kb/s,0 b/s,89.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,136 kb/s,0 b/s,136 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:06:00,0 b/s,0 b/s,0 b/s,0 b/s,78.1 kb/s,0 b/s,82.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:06:15,0 b/s,0 b/s,0 b/s,0 b/s,91.0 kb/s,0 b/s,97.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,140 kb/s,0 b/s,141 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:06:30,0 b/s,0 b/s,0 b/s,0 b/s,74.9 kb/s,0 b/s,79.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,136 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:06:45,0 b/s,0 b/s,0 b/s,0 b/s,103 kb/s,0 b/s,109 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,145 kb/s,0 b/s,145 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:07:00,0 b/s,0 b/s,0 b/s,0 b/s,127 kb/s,0 b/s,132 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,152 kb/s,0 b/s,152 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:07:15,0 b/s,0 b/s,0 b/s,0 b/s,83.5 kb/s,0 b/s,89.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,136 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:07:30,0 b/s,0 b/s,0 b/s,0 b/s,72.7 kb/s,0 b/s,76.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,136 kb/s,0 b/s,136 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:07:45,0 b/s,0 b/s,0 b/s,0 b/s,76.7 kb/s,0 b/s,81.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,136 kb/s,0 b/s,136 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:08:00,0 b/s,0 b/s,0 b/s,0 b/s,74.4 kb/s,0 b/s,78.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,160 kb/s,0 b/s,160 kb/s,0 b/s,0 b/s,0 b/s
