"Time","recv br-822f36fcf659","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth06dac42","recv veth0ea5b73","recv veth47af021","recv veth4d4ac81","recv veth4eb156c","recv veth5003763","recv veth53bb57b","recv veth5bea449","recv veth6bd4b4b","recv veth760ea54","recv veth785abe4","recv veth840f604","recv veth93dd1f0","recv veth959d830","recv veth9661569","recv veth9ebb4af","recv vethb4d7470","recv vethb55b5aa","recv vethb8cd11d","recv vethb8fbd92","recv vethc2eba3d","recv vethc7fa34c","recv vethe86bb89","recv vethf785d04","recv vethfa5b96c","recv wlp0s20f3","trans br-822f36fcf659 ","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth06dac42 ","trans veth0ea5b73 ","trans veth47af021 ","trans veth4d4ac81 ","trans veth4eb156c ","trans veth5003763 ","trans veth53bb57b ","trans veth5bea449 ","trans veth6bd4b4b ","trans veth760ea54 ","trans veth785abe4 ","trans veth840f604 ","trans veth93dd1f0 ","trans veth959d830 ","trans veth9661569 ","trans veth9ebb4af ","trans vethb4d7470 ","trans vethb55b5aa ","trans vethb8cd11d ","trans vethb8fbd92 ","trans vethc2eba3d ","trans vethc7fa34c ","trans vethe86bb89 ","trans vethf785d04 ","trans vethfa5b96c ","trans wlp0s20f3 "
2024-03-05 16:06:00,,0 b/s,0 b/s,13.4 kb/s,2.45 kb/s,1.18 kb/s,,,,,672 b/s,,336 b/s,336 b/s,,,,465 b/s,135 b/s,3.07 kb/s,0 b/s,,,0 b/s,,,,,,,308 b/s,,0 b/s,0 b/s,18.5 kb/s,2.88 kb/s,2.09 kb/s,,,,,394 b/s,,197 b/s,197 b/s,,,,250 b/s,135 b/s,3.00 kb/s,0 b/s,,,0 b/s,,,,,,,0 b/s
2024-03-05 16:06:15,,0 b/s,0 b/s,26.5 kb/s,12.1 kb/s,1.77 kb/s,,,,,336 b/s,,672 b/s,672 b/s,,,,908 b/s,22.4 b/s,13.4 kb/s,0 b/s,,,0 b/s,,,,,,,127 b/s,,0 b/s,0 b/s,28.4 kb/s,12.5 kb/s,3.18 kb/s,,,,,197 b/s,,394 b/s,394 b/s,,,,478 b/s,22.4 b/s,13.0 kb/s,0 b/s,,,0 b/s,,,,,,,0 b/s
2024-03-05 16:06:30,,0 b/s,0 b/s,8.27 kb/s,658 b/s,1.18 kb/s,,,,,672 b/s,,336 b/s,336 b/s,,,,443 b/s,78.9 b/s,1.03 kb/s,0 b/s,,,0 b/s,,,,,,,278 b/s,,0 b/s,0 b/s,16.3 kb/s,693 b/s,2.09 kb/s,,,,,394 b/s,,197 b/s,197 b/s,,,,228 b/s,78.9 b/s,842 b/s,0 b/s,,,0 b/s,,,,,,,0 b/s
2024-03-05 16:06:45,,0 b/s,0 b/s,24.9 kb/s,13.2 kb/s,1.77 kb/s,,,,,336 b/s,,672 b/s,672 b/s,,,,930 b/s,78.9 b/s,14.3 kb/s,0 b/s,,,0 b/s,,,,,,,989 b/s,,0 b/s,0 b/s,29.3 kb/s,13.3 kb/s,3.18 kb/s,,,,,197 b/s,,394 b/s,394 b/s,,,,500 b/s,78.9 b/s,13.8 kb/s,0 b/s,,,0 b/s,,,,,,,0 b/s
2024-03-05 16:07:00,,0 b/s,0 b/s,93.6 kb/s,84.4 kb/s,1.18 kb/s,,,,,672 b/s,,336 b/s,336 b/s,,,,443 b/s,78.9 b/s,87.2 kb/s,0 b/s,,,0 b/s,,,,,,,887 b/s,,0 b/s,0 b/s,103 kb/s,85.7 kb/s,2.09 kb/s,,,,,394 b/s,,197 b/s,197 b/s,,,,228 b/s,78.9 b/s,85.8 kb/s,0 b/s,,,0 b/s,,,,,,,145 b/s
2024-03-05 16:07:15,,0 b/s,0 b/s,14.3 kb/s,661 b/s,1.77 kb/s,,,,,336 b/s,,672 b/s,672 b/s,,,,908 b/s,78.9 b/s,1.47 kb/s,0 b/s,,,0 b/s,,,,,,,147 b/s,,0 b/s,0 b/s,16.5 kb/s,858 b/s,3.17 kb/s,,,,,197 b/s,,394 b/s,394 b/s,,,,478 b/s,78.9 b/s,1.26 kb/s,0 b/s,,,0 b/s,,,,,,,0 b/s
2024-03-05 16:07:30,,0 b/s,0 b/s,8.98 kb/s,371 b/s,1.18 kb/s,,,,,672 b/s,,336 b/s,336 b/s,,,,465 b/s,78.9 b/s,741 b/s,0 b/s,,,0 b/s,,,,,,,43.7 b/s,,0 b/s,0 b/s,16.8 kb/s,431 b/s,2.09 kb/s,,,,,394 b/s,,197 b/s,197 b/s,,,,250 b/s,78.9 b/s,602 b/s,0 b/s,,,0 b/s,,,,,,,0 b/s
2024-03-05 16:07:45,,0 b/s,0 b/s,13.2 kb/s,371 b/s,1.18 kb/s,,,,,672 b/s,,336 b/s,336 b/s,,,,465 b/s,78.9 b/s,741 b/s,0 b/s,,,0 b/s,,,,,,,650 b/s,,0 b/s,0 b/s,21.0 kb/s,431 b/s,2.09 kb/s,,,,,394 b/s,,197 b/s,197 b/s,,,,250 b/s,78.9 b/s,602 b/s,0 b/s,,,0 b/s,,,,,,,145 b/s
2024-03-05 16:08:00,,0 b/s,0 b/s,32.0 kb/s,371 b/s,1.18 kb/s,,,,,672 b/s,,336 b/s,336 b/s,,,,465 b/s,78.9 b/s,741 b/s,0 b/s,,,0 b/s,,,,,,,293 b/s,,0 b/s,0 b/s,39.1 kb/s,431 b/s,2.09 kb/s,,,,,394 b/s,,197 b/s,197 b/s,,,,250 b/s,78.9 b/s,602 b/s,0 b/s,,,0 b/s,,,,,,,0 b/s
2024-03-05 16:08:15,,0 b/s,0 b/s,87.6 kb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,933 b/s,,0 b/s,0 b/s,26.2 kb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,524 b/s
