"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-05 16:05:30,0.532%,0.311%,0.0171%,0.0171%,0%,99.1%
2024-03-05 16:05:45,1.75%,3.15%,0.00654%,0.0229%,0%,95.1%
2024-03-05 16:06:00,3.29%,2.92%,0.00646%,0.0194%,0%,93.8%
2024-03-05 16:06:15,1.41%,0.473%,0.0135%,0.0101%,0.00338%,98.1%
2024-03-05 16:06:30,1.07%,0.457%,0.0136%,0.0271%,0.00678%,98.4%
2024-03-05 16:06:45,0.195%,0.165%,0.0103%,0.0583%,0.00343%,99.6%
2024-03-05 16:07:00,0.729%,0.742%,0.0102%,0.0203%,0.00339%,98.5%
2024-03-05 16:07:15,1.22%,1.97%,0%,0.0167%,0.00333%,96.8%
2024-03-05 16:07:30,2.57%,4.21%,0.0193%,0.0709%,0.00322%,93.1%
2024-03-05 16:07:45,0.725%,0.735%,0.0169%,0.0407%,0.00678%,98.5%
2024-03-05 16:08:00,1.54%,1.26%,0.0134%,0.0134%,0.00334%,97.2%
2024-03-05 16:08:15,0.0412%,0.137%,0.0103%,0.0343%,0.00343%,99.8%
2024-03-05 16:08:30,0.691%,0.847%,0.0498%,0.00996%,0.00664%,98.4%
2024-03-05 16:08:45,0.0467%,0.147%,0.0434%,0%,0.0200%,99.7%
2024-03-05 16:09:00,0.134%,0.211%,0.0168%,0.00335%,0%,99.6%
2024-03-05 16:09:15,1.37%,1.13%,0%,0.0403%,0.00671%,97.5%
2024-03-05 16:09:30,0.712%,0.450%,0.0170%,0.0239%,0.00341%,98.8%
2024-03-05 16:09:45,1.77%,4.81%,0.00977%,0.0912%,0%,93.3%
2024-03-05 16:10:00,1.91%,4.95%,0.0130%,0.152%,0.00324%,93.0%
2024-03-05 16:10:15,1.88%,1.77%,0.0134%,0.0101%,0%,96.3%
2024-03-05 16:10:30,1.16%,0.759%,0.0103%,0.0479%,0.00684%,98.0%
2024-03-05 16:10:45,1.31%,0.981%,0.00682%,0.0136%,0.00341%,97.7%
2024-03-05 16:11:00,0.909%,0.686%,0.0137%,0.0857%,0.00343%,98.3%
2024-03-05 16:11:15,1.79%,3.02%,0.00995%,0.0531%,0.00332%,95.1%
2024-03-05 16:11:30,2.66%,5.52%,0.00961%,0.0416%,0.00320%,91.8%
2024-03-05 16:11:45,2.07%,2.23%,0.0133%,0.120%,0%,95.6%
2024-03-05 16:12:00,1.96%,1.01%,0.0102%,0.0372%,0.00677%,97.0%
2024-03-05 16:12:15,1.11%,0.542%,0.0103%,0.0686%,0.00686%,98.3%
2024-03-05 16:12:30,0.384%,0.456%,0.0104%,0.0415%,0%,99.1%
2024-03-05 16:12:45,1.96%,2.31%,0.0167%,0.0534%,0%,95.7%
2024-03-05 16:13:00,2.79%,5.79%,0.00638%,0.0510%,0.00319%,91.4%
2024-03-05 16:13:15,2.44%,2.60%,0.00663%,0.0464%,0.00663%,94.9%
2024-03-05 16:13:30,1.01%,0.863%,0.0171%,0.0137%,0.00342%,98.1%
2024-03-05 16:13:45,0.963%,0.863%,0.00685%,0.0377%,0.00343%,98.1%
2024-03-05 16:14:00,0.720%,0.578%,0.00344%,0.0448%,0.00344%,98.7%
2024-03-05 16:14:15,1.73%,2.04%,0.0101%,0.0805%,0.00336%,96.1%
2024-03-05 16:14:30,1.73%,5.40%,0.00969%,0.333%,0.00646%,92.5%
2024-03-05 16:14:45,2.33%,2.96%,0.00990%,0.155%,0.00330%,94.5%
2024-03-05 16:15:00,1.20%,0.939%,0.00341%,0.0785%,0.00341%,97.8%
2024-03-05 16:15:15,1.10%,0.764%,0.0103%,0.0377%,0%,98.1%
2024-03-05 16:15:30,1.14%,0.787%,0.0103%,0.0513%,0.00342%,98.0%
2024-03-05 16:15:45,2.19%,1.76%,0.0134%,0.0268%,0.00335%,96.0%
2024-03-05 16:16:00,2.06%,5.85%,0.00964%,0.119%,0.00321%,92.0%
2024-03-05 16:16:15,1.73%,3.22%,0.00995%,0.0763%,0.00332%,95.0%
2024-03-05 16:16:30,0.803%,0.776%,0.0137%,0.0549%,0.00687%,98.3%
2024-03-05 16:16:45,1.67%,0.968%,0.0136%,0.0340%,0.00340%,97.3%
2024-03-05 16:17:00,0.719%,0.613%,0.0103%,0.0620%,0.00344%,98.6%
2024-03-05 16:17:15,1.83%,1.47%,0.00675%,0.0776%,0.00337%,96.6%
2024-03-05 16:17:30,1.85%,6.16%,0.0256%,0.192%,0.00321%,91.8%
2024-03-05 16:17:45,2.31%,3.46%,0.00985%,0.148%,0.00328%,94.1%
2024-03-05 16:18:00,0.943%,1.13%,0.00342%,0.0581%,0%,97.9%
2024-03-05 16:18:15,1.42%,0.653%,0.00342%,0.0478%,0%,97.9%
2024-03-05 16:18:30,1.57%,0.841%,0.0170%,0.0170%,0%,97.6%
2024-03-05 16:18:45,1.73%,1.05%,0.0102%,0.0509%,0%,97.2%
2024-03-05 16:19:00,2.19%,5.88%,0.00641%,0.0513%,0%,91.9%
2024-03-05 16:19:15,1.76%,3.69%,0.00660%,0.0429%,0.00330%,94.5%
2024-03-05 16:19:30,0.965%,0.539%,0.0103%,0.0137%,0.0103%,98.5%
2024-03-05 16:19:45,0.827%,0.405%,0.0136%,0.0136%,0%,98.7%
2024-03-05 16:20:00,0.0413%,0.155%,0.00344%,0%,0.00344%,99.8%
2024-03-05 16:20:15,0.0413%,0.155%,0.00344%,0%,0.00344%,99.8%
2024-03-05 16:20:30,0.0413%,0.155%,0.00344%,0%,0.00344%,99.8%
