"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-05 16:19:30,0.919%,0.958%,0.0392%,0.555%,0%,97.5%
2024-03-05 16:19:45,0.430%,0.503%,0.0447%,0.0558%,0%,99.0%
2024-03-05 16:20:00,0.474%,0.491%,0.0335%,0.00558%,0%,99.0%
2024-03-05 16:20:15,0.419%,0.580%,0.0391%,0.0167%,0%,98.9%
2024-03-05 16:20:30,0.419%,0.474%,0.0446%,0.0112%,0%,99.1%
2024-03-05 16:20:45,0.407%,0.468%,0.0335%,0.00558%,0%,99.1%
2024-03-05 16:21:00,0.385%,0.458%,0.0391%,0.00558%,0%,99.1%
2024-03-05 16:21:15,0.452%,0.424%,0.0335%,0.00558%,0%,99.1%
2024-03-05 16:21:30,0.474%,0.558%,0.0335%,0.0223%,0%,98.9%
2024-03-05 16:21:45,0.430%,0.385%,0.0335%,0.0223%,0%,99.1%
2024-03-05 16:22:00,0.407%,0.664%,0.0335%,0.0112%,0%,98.9%
2024-03-05 16:22:15,0.352%,0.441%,0.0279%,0.0167%,0%,99.2%
2024-03-05 16:22:30,0.391%,0.547%,0.0558%,0.0112%,0%,99.0%
2024-03-05 16:22:45,0.329%,0.463%,0.0335%,0.0112%,0%,99.2%
2024-03-05 16:23:00,0.407%,0.530%,0.0446%,0%,0%,99.0%
2024-03-05 16:23:15,0.380%,0.452%,0.0391%,0.0223%,0%,99.1%
2024-03-05 16:23:30,0.436%,0.547%,0.0447%,0.00558%,0%,99.0%
2024-03-05 16:23:45,0.419%,0.519%,0.0391%,0.0167%,0%,99.0%
2024-03-05 16:24:00,0.452%,0.613%,0.0390%,0.00558%,0%,98.9%
2024-03-05 16:24:15,0.413%,0.552%,0.0391%,0%,0%,99.0%
2024-03-05 16:24:30,0.407%,0.591%,0.0502%,0.0112%,0%,98.9%
2024-03-05 16:24:45,0.474%,0.435%,0.0335%,0.0167%,0%,99.0%
2024-03-05 16:25:00,0.407%,0.502%,0.0391%,0.0167%,0%,99.0%
2024-03-05 16:25:15,0.446%,0.485%,0.0335%,0.0279%,0%,99.0%
2024-03-05 16:25:30,0.452%,0.497%,0.0335%,0%,0%,99.0%
2024-03-05 16:25:45,0.318%,0.475%,0.0335%,0.0112%,0%,99.2%
2024-03-05 16:26:00,0.391%,0.486%,0.0391%,0.0168%,0%,99.1%
2024-03-05 16:26:15,0.407%,0.468%,0.0390%,0.0223%,0%,99.1%
2024-03-05 16:26:30,0.368%,0.625%,0.0391%,0.00558%,0%,99.0%
2024-03-05 16:26:45,0.391%,0.452%,0.0558%,0.0167%,0%,99.1%
2024-03-05 16:27:00,0.425%,0.452%,0.0335%,0.0112%,0%,99.1%
2024-03-05 16:27:15,0.352%,0.513%,0.0335%,0.00558%,0%,99.1%
2024-03-05 16:27:30,0.396%,0.519%,0.0446%,0.00558%,0%,99.0%
2024-03-05 16:27:45,0.374%,0.457%,0.0335%,0.0335%,0%,99.1%
2024-03-05 16:28:00,0.346%,0.547%,0.0391%,0.00558%,0%,99.1%
2024-03-05 16:28:15,0.396%,0.552%,0.0335%,0.0112%,0%,99.0%
2024-03-05 16:28:30,0.391%,0.586%,0.0446%,0.00558%,0%,99.0%
2024-03-05 16:28:45,0.424%,0.463%,0.0335%,0.0223%,0%,99.1%
2024-03-05 16:29:00,0.396%,0.469%,0.0446%,0.00558%,0%,99.1%
2024-03-05 16:29:15,0.413%,0.502%,0.0390%,0.0167%,0%,99.0%
2024-03-05 16:29:30,0.374%,0.469%,0.0446%,0.0167%,0%,99.1%
2024-03-05 16:29:45,0.374%,0.496%,0.0390%,0.00558%,0%,99.1%
2024-03-05 16:30:00,0.419%,0.564%,0.0502%,0.0279%,0%,98.9%
2024-03-05 16:30:15,0.346%,0.474%,0.0391%,0.0112%,0%,99.1%
2024-03-05 16:30:30,0.385%,0.553%,0.0391%,0.0223%,0%,99.0%
2024-03-05 16:30:45,0.396%,0.491%,0.0335%,0.0112%,0%,99.1%
2024-03-05 16:31:00,0.396%,0.513%,0.0502%,0.0112%,0%,99.0%
2024-03-05 16:31:15,0.368%,0.497%,0.0279%,0.0112%,0%,99.1%
2024-03-05 16:31:30,0.396%,0.452%,0.0447%,0.0112%,0%,99.1%
2024-03-05 16:31:45,0.407%,0.485%,0.0390%,0.0390%,0%,99.0%
2024-03-05 16:32:00,0.396%,0.530%,0.0447%,0.0391%,0%,99.0%
2024-03-05 16:32:15,0.452%,0.530%,0.0502%,0.0447%,0%,98.9%
2024-03-05 16:32:30,0.463%,1.12%,0.0447%,0.00558%,0%,98.4%
2024-03-05 16:32:45,0.424%,0.435%,0.0446%,0.0112%,0%,99.1%
2024-03-05 16:33:00,0.419%,0.564%,0.0279%,0.0223%,0%,99.0%
2024-03-05 16:33:15,0.386%,0.397%,0.0447%,0%,0%,99.2%
2024-03-05 16:33:30,0.452%,0.497%,0.0447%,0.0112%,0%,99.0%
2024-03-05 16:33:45,0.418%,0.463%,0.0335%,0.0112%,0%,99.1%
2024-03-05 16:34:00,0.418%,0.463%,0.0335%,0.0112%,0%,99.1%
2024-03-05 16:34:15,0.418%,0.463%,0.0335%,0.0112%,0%,99.1%
