"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-05 16:19:45,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:20:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:20:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:20:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:20:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:21:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:21:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:21:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:21:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:22:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:22:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:22:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:22:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:23:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:23:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:23:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:23:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:24:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:24:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:24:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:24:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:25:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:25:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:25:30,38.9 GiB,1.33 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:25:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:26:00,38.9 GiB,1.33 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:26:15,38.9 GiB,1.33 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:26:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:26:45,38.9 GiB,1.33 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:27:00,38.9 GiB,1.33 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:27:15,38.9 GiB,1.33 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:27:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:27:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:28:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:28:15,38.9 GiB,1.33 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:28:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:28:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:29:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:29:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:29:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:29:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:30:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:30:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:30:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:30:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:31:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:31:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:31:30,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:31:45,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:32:00,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:32:15,38.9 GiB,1.34 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:32:30,38.9 GiB,1.39 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:32:45,38.9 GiB,1.39 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:33:00,38.9 GiB,1.39 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:33:15,38.9 GiB,1.39 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:33:30,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:33:45,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:34:00,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:34:15,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:34:30,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
2024-03-05 16:34:45,38.9 GiB,1.35 GiB,2.10 GiB,35.4 GiB,0 B
