"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-05 16:19:15,0 b/s,0 b/s,0 b/s,0 b/s,105 Mb/s,0 b/s,106 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,388 kb/s,0 b/s,388 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:19:30,0 b/s,0 b/s,0 b/s,0 b/s,95.2 Mb/s,0 b/s,96.1 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,280 kb/s,0 b/s,280 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:19:45,0 b/s,0 b/s,0 b/s,0 b/s,82.6 kb/s,0 b/s,87.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:20:00,0 b/s,0 b/s,0 b/s,0 b/s,218 kb/s,0 b/s,224 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,173 kb/s,0 b/s,174 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:20:15,0 b/s,0 b/s,0 b/s,0 b/s,87.2 kb/s,0 b/s,93.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,141 kb/s,0 b/s,141 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:20:30,0 b/s,0 b/s,0 b/s,0 b/s,92.9 kb/s,0 b/s,97.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,249 kb/s,0 b/s,249 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:20:45,0 b/s,0 b/s,0 b/s,0 b/s,80.7 kb/s,0 b/s,85.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,233 kb/s,0 b/s,234 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:21:00,0 b/s,0 b/s,0 b/s,0 b/s,75.2 kb/s,0 b/s,79.4 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,234 kb/s,0 b/s,234 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:21:15,0 b/s,0 b/s,0 b/s,0 b/s,83.2 kb/s,0 b/s,89.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,234 kb/s,0 b/s,234 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:21:30,0 b/s,0 b/s,0 b/s,0 b/s,78.0 kb/s,0 b/s,82.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,246 kb/s,0 b/s,246 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:21:45,0 b/s,0 b/s,0 b/s,0 b/s,162 kb/s,0 b/s,176 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,311 kb/s,0 b/s,311 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:22:00,0 b/s,0 b/s,0 b/s,0 b/s,94.0 kb/s,0 b/s,98.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,221 kb/s,0 b/s,222 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:22:15,0 b/s,0 b/s,0 b/s,0 b/s,84.3 kb/s,0 b/s,88.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,146 kb/s,0 b/s,147 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:22:30,0 b/s,0 b/s,0 b/s,0 b/s,74.0 kb/s,0 b/s,77.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,139 kb/s,0 b/s,139 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:22:45,0 b/s,0 b/s,0 b/s,0 b/s,82.7 kb/s,0 b/s,88.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,139 kb/s,0 b/s,139 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:23:00,0 b/s,0 b/s,0 b/s,0 b/s,74.4 kb/s,0 b/s,78.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,139 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:23:15,0 b/s,0 b/s,0 b/s,0 b/s,78.2 kb/s,0 b/s,82.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:23:30,0 b/s,0 b/s,0 b/s,0 b/s,73.2 kb/s,0 b/s,76.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:23:45,0 b/s,0 b/s,0 b/s,0 b/s,82.3 kb/s,0 b/s,88.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:24:00,0 b/s,0 b/s,0 b/s,0 b/s,85.0 kb/s,0 b/s,89.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,143 kb/s,0 b/s,144 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:24:15,0 b/s,0 b/s,0 b/s,0 b/s,82.5 kb/s,0 b/s,88.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:24:30,0 b/s,0 b/s,0 b/s,0 b/s,73.5 kb/s,0 b/s,77.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:24:45,0 b/s,0 b/s,0 b/s,0 b/s,81.5 kb/s,0 b/s,87.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
