"Time","recv br-822f36fcf659","recv br-free5gc","recv docker0","recv enp0s31f6","recv veth0ea5b73","recv veth47af021","recv veth4d4ac81","recv veth4eb156c","recv veth53bb57b","recv veth760ea54","recv veth785abe4","recv veth840f604","recv vethb4d7470","recv vethb55b5aa","recv vethb8fbd92","recv vethc2eba3d","recv vethc7fa34c","recv vethe86bb89","recv vethf785d04","recv vethfa5b96c","recv wlp0s20f3","trans br-822f36fcf659 ","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans veth0ea5b73 ","trans veth47af021 ","trans veth4d4ac81 ","trans veth4eb156c ","trans veth53bb57b ","trans veth760ea54 ","trans veth785abe4 ","trans veth840f604 ","trans vethb4d7470 ","trans vethb55b5aa ","trans vethb8fbd92 ","trans vethc2eba3d ","trans vethc7fa34c ","trans vethe86bb89 ","trans vethf785d04 ","trans vethfa5b96c ","trans wlp0s20f3 "
2024-03-05 16:19:30,107 Mb/s,0 b/s,0 b/s,105 Mb/s,0 b/s,804 b/s,108 Mb/s,231 b/s,3.50 kb/s,231 b/s,8.98 kb/s,230 b/s,3.84 kb/s,716 b/s,230 b/s,0 b/s,2.73 kb/s,231 b/s,8.65 kb/s,270 b/s,604 b/s,101 Mb/s,0 b/s,0 b/s,108 Mb/s,291 b/s,561 b/s,101 Mb/s,380 b/s,25.3 kb/s,380 b/s,1.41 kb/s,380 b/s,1.15 kb/s,2.31 kb/s,380 b/s,291 b/s,2.85 kb/s,380 b/s,1.38 kb/s,1.10 kb/s,0 b/s
2024-03-05 16:19:45,9.74 Mb/s,0 b/s,0 b/s,9.59 Mb/s,0 b/s,1.77 kb/s,9.84 Mb/s,462 b/s,3.53 kb/s,542 b/s,9.21 kb/s,461 b/s,4.22 kb/s,1.40 kb/s,461 b/s,0 b/s,5.42 kb/s,483 b/s,8.79 kb/s,540 b/s,382 b/s,9.18 Mb/s,0 b/s,0 b/s,9.88 Mb/s,314 b/s,1.01 kb/s,9.18 Mb/s,492 b/s,25.3 kb/s,572 b/s,1.39 kb/s,492 b/s,1.35 kb/s,4.31 kb/s,492 b/s,314 b/s,5.49 kb/s,492 b/s,1.40 kb/s,1.92 kb/s,0 b/s
2024-03-05 16:20:00,173 kb/s,0 b/s,0 b/s,182 kb/s,0 b/s,945 b/s,181 kb/s,231 b/s,3.50 kb/s,231 b/s,9.16 kb/s,230 b/s,3.85 kb/s,681 b/s,230 b/s,0 b/s,2.71 kb/s,234 b/s,8.65 kb/s,411 b/s,179 b/s,174 kb/s,0 b/s,0 b/s,194 kb/s,493 b/s,903 b/s,176 kb/s,582 b/s,25.5 kb/s,582 b/s,1.26 kb/s,582 b/s,1.36 kb/s,2.49 kb/s,582 b/s,493 b/s,3.03 kb/s,582 b/s,1.58 kb/s,1.44 kb/s,0 b/s
2024-03-05 16:20:15,6.61 kb/s,0 b/s,0 b/s,18.8 kb/s,0 b/s,1.40 kb/s,11.5 kb/s,462 b/s,3.53 kb/s,462 b/s,9.15 kb/s,461 b/s,4.07 kb/s,1.36 kb/s,461 b/s,0 b/s,5.54 kb/s,461 b/s,8.77 kb/s,505 b/s,645 b/s,6.76 kb/s,0 b/s,0 b/s,23.3 kb/s,314 b/s,818 b/s,7.91 kb/s,492 b/s,25.3 kb/s,492 b/s,1.33 kb/s,492 b/s,1.27 kb/s,4.43 kb/s,492 b/s,314 b/s,5.37 kb/s,492 b/s,1.38 kb/s,1.71 kb/s,0 b/s
2024-03-05 16:20:30,4.57 kb/s,0 b/s,0 b/s,11.0 kb/s,0 b/s,1.01 kb/s,9.27 kb/s,231 b/s,3.50 kb/s,231 b/s,9.04 kb/s,230 b/s,3.84 kb/s,716 b/s,230 b/s,0 b/s,2.71 kb/s,230 b/s,8.67 kb/s,305 b/s,226 b/s,4.59 kb/s,0 b/s,0 b/s,21.0 kb/s,336 b/s,641 b/s,5.72 kb/s,425 b/s,25.3 kb/s,425 b/s,1.30 kb/s,425 b/s,1.20 kb/s,2.33 kb/s,425 b/s,336 b/s,2.90 kb/s,425 b/s,1.45 kb/s,1.35 kb/s,0 b/s
2024-03-05 16:20:45,1.25 kb/s,0 b/s,0 b/s,12.3 kb/s,0 b/s,1.20 kb/s,5.98 kb/s,489 b/s,3.53 kb/s,462 b/s,9.26 kb/s,461 b/s,4.07 kb/s,1.43 kb/s,461 b/s,0 b/s,5.45 kb/s,461 b/s,8.77 kb/s,469 b/s,229 b/s,1.16 kb/s,0 b/s,0 b/s,17.7 kb/s,403 b/s,873 b/s,2.43 kb/s,581 b/s,25.4 kb/s,581 b/s,1.35 kb/s,581 b/s,1.36 kb/s,4.43 kb/s,581 b/s,403 b/s,5.55 kb/s,581 b/s,1.47 kb/s,1.60 kb/s,0 b/s
2024-03-05 16:21:00,1.66 kb/s,0 b/s,0 b/s,7.63 kb/s,0 b/s,1.35 kb/s,6.44 kb/s,275 b/s,3.50 kb/s,231 b/s,8.94 kb/s,230 b/s,3.84 kb/s,716 b/s,230 b/s,0 b/s,2.73 kb/s,230 b/s,8.61 kb/s,481 b/s,439 b/s,1.73 kb/s,0 b/s,0 b/s,18.2 kb/s,291 b/s,772 b/s,2.80 kb/s,380 b/s,25.3 kb/s,380 b/s,1.24 kb/s,380 b/s,1.15 kb/s,2.30 kb/s,380 b/s,291 b/s,2.89 kb/s,380 b/s,1.35 kb/s,1.65 kb/s,0 b/s
2024-03-05 16:21:15,760 b/s,0 b/s,0 b/s,12.4 kb/s,0 b/s,1.20 kb/s,5.32 kb/s,477 b/s,3.53 kb/s,462 b/s,9.43 kb/s,461 b/s,4.07 kb/s,1.44 kb/s,461 b/s,0 b/s,5.45 kb/s,461 b/s,8.82 kb/s,469 b/s,99.2 b/s,453 b/s,0 b/s,0 b/s,17.0 kb/s,515 b/s,985 b/s,1.84 kb/s,693 b/s,25.5 kb/s,693 b/s,1.41 kb/s,693 b/s,1.47 kb/s,4.55 kb/s,693 b/s,515 b/s,5.66 kb/s,693 b/s,1.64 kb/s,1.71 kb/s,0 b/s
2024-03-05 16:21:30,10.3 kb/s,0 b/s,0 b/s,18.1 kb/s,0 b/s,1.21 kb/s,15.5 kb/s,231 b/s,3.50 kb/s,231 b/s,8.94 kb/s,230 b/s,3.84 kb/s,716 b/s,230 b/s,0 b/s,2.72 kb/s,230 b/s,8.62 kb/s,340 b/s,644 b/s,11.1 kb/s,0 b/s,0 b/s,27.4 kb/s,291 b/s,632 b/s,12.2 kb/s,380 b/s,25.3 kb/s,380 b/s,1.24 kb/s,380 b/s,1.15 kb/s,2.30 kb/s,380 b/s,291 b/s,2.85 kb/s,380 b/s,1.35 kb/s,1.51 kb/s,0 b/s
2024-03-05 16:21:45,50.9 kb/s,0 b/s,0 b/s,83.6 kb/s,0 b/s,1.20 kb/s,63.4 kb/s,462 b/s,3.53 kb/s,462 b/s,9.17 kb/s,461 b/s,4.07 kb/s,1.43 kb/s,461 b/s,0 b/s,5.48 kb/s,461 b/s,8.83 kb/s,469 b/s,45.9 b/s,69.8 kb/s,0 b/s,0 b/s,77.5 kb/s,314 b/s,783 b/s,70.9 kb/s,492 b/s,25.3 kb/s,492 b/s,1.35 kb/s,492 b/s,1.27 kb/s,4.37 kb/s,492 b/s,314 b/s,5.44 kb/s,492 b/s,1.44 kb/s,1.51 kb/s,0 b/s
2024-03-05 16:22:00,47.7 kb/s,0 b/s,0 b/s,55.6 kb/s,0 b/s,1.35 kb/s,53.6 kb/s,231 b/s,3.50 kb/s,231 b/s,9.18 kb/s,238 b/s,3.84 kb/s,716 b/s,230 b/s,0 b/s,2.71 kb/s,230 b/s,8.55 kb/s,481 b/s,350 b/s,48.7 kb/s,0 b/s,0 b/s,65.6 kb/s,493 b/s,974 b/s,50.1 kb/s,582 b/s,25.5 kb/s,582 b/s,1.28 kb/s,582 b/s,1.36 kb/s,2.49 kb/s,582 b/s,493 b/s,3.07 kb/s,582 b/s,1.47 kb/s,1.85 kb/s,0 b/s
2024-03-05 16:22:15,15.5 kb/s,0 b/s,0 b/s,24.8 kb/s,0 b/s,1.20 kb/s,20.7 kb/s,462 b/s,3.53 kb/s,498 b/s,9.17 kb/s,535 b/s,4.07 kb/s,1.40 kb/s,502 b/s,0 b/s,5.51 kb/s,461 b/s,8.92 kb/s,469 b/s,738 b/s,16.2 kb/s,0 b/s,0 b/s,32.7 kb/s,314 b/s,783 b/s,17.2 kb/s,492 b/s,25.3 kb/s,492 b/s,1.35 kb/s,492 b/s,1.27 kb/s,4.40 kb/s,492 b/s,314 b/s,5.57 kb/s,492 b/s,1.51 kb/s,1.51 kb/s,0 b/s
2024-03-05 16:22:30,2.62 kb/s,0 b/s,0 b/s,8.69 kb/s,0 b/s,1.21 kb/s,7.50 kb/s,231 b/s,3.50 kb/s,234 b/s,9.09 kb/s,234 b/s,3.84 kb/s,716 b/s,273 b/s,0 b/s,2.74 kb/s,230 b/s,8.55 kb/s,340 b/s,117 b/s,2.62 kb/s,0 b/s,0 b/s,19.2 kb/s,381 b/s,721 b/s,3.92 kb/s,470 b/s,25.4 kb/s,470 b/s,1.30 kb/s,470 b/s,1.24 kb/s,2.41 kb/s,470 b/s,381 b/s,3.01 kb/s,470 b/s,1.36 kb/s,1.59 kb/s,0 b/s
2024-03-05 16:22:45,2.31 kb/s,0 b/s,0 b/s,13.6 kb/s,0 b/s,1.20 kb/s,7.11 kb/s,462 b/s,3.53 kb/s,509 b/s,9.28 kb/s,461 b/s,4.07 kb/s,1.43 kb/s,461 b/s,0 b/s,5.51 kb/s,461 b/s,8.86 kb/s,469 b/s,267 b/s,2.56 kb/s,0 b/s,0 b/s,18.9 kb/s,426 b/s,895 b/s,3.77 kb/s,604 b/s,25.4 kb/s,604 b/s,1.35 kb/s,604 b/s,1.38 kb/s,4.51 kb/s,604 b/s,426 b/s,5.61 kb/s,604 b/s,1.57 kb/s,1.62 kb/s,0 b/s
2024-03-05 16:23:00,2.38 kb/s,0 b/s,0 b/s,9.19 kb/s,0 b/s,1.35 kb/s,7.28 kb/s,231 b/s,3.50 kb/s,231 b/s,8.94 kb/s,230 b/s,3.84 kb/s,716 b/s,230 b/s,0 b/s,2.75 kb/s,230 b/s,8.59 kb/s,481 b/s,177 b/s,2.54 kb/s,0 b/s,0 b/s,19.1 kb/s,291 b/s,772 b/s,3.64 kb/s,380 b/s,25.3 kb/s,380 b/s,1.24 kb/s,380 b/s,1.15 kb/s,2.33 kb/s,380 b/s,291 b/s,2.85 kb/s,380 b/s,1.32 kb/s,1.65 kb/s,0 b/s
