"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-05 16:19:00,2.19%,5.88%,0.00641%,0.0513%,0%,91.9%
2024-03-05 16:19:15,1.76%,3.69%,0.00660%,0.0429%,0.00330%,94.5%
2024-03-05 16:19:30,0.965%,0.539%,0.0103%,0.0137%,0.0103%,98.5%
2024-03-05 16:19:45,0.827%,0.405%,0.0136%,0.0136%,0%,98.7%
2024-03-05 16:20:00,0.0413%,0.155%,0.00344%,0%,0.00344%,99.8%
2024-03-05 16:20:15,0.185%,0.503%,0.0137%,0.0137%,0.00342%,99.3%
2024-03-05 16:20:30,1.75%,3.85%,0.00973%,0.269%,0.00324%,94.1%
2024-03-05 16:20:45,1.40%,1.27%,0.0134%,0%,0.00670%,97.3%
2024-03-05 16:21:00,0.328%,0.550%,0.00683%,0.0102%,0.00342%,99.1%
2024-03-05 16:21:15,0.305%,0.219%,0.0103%,0.0103%,0%,99.5%
2024-03-05 16:21:30,0.893%,0.482%,0.0102%,0.0204%,0%,98.6%
2024-03-05 16:21:45,1.35%,0.611%,0.0101%,0.0135%,0%,98.0%
2024-03-05 16:22:00,2.27%,4.27%,0.00322%,0.0676%,0.00322%,93.4%
2024-03-05 16:22:15,2.27%,1.08%,0.00665%,0.136%,0.00332%,96.5%
2024-03-05 16:22:30,1.43%,1.06%,0.0202%,0.0607%,0.00337%,97.4%
2024-03-05 16:22:45,1.00%,1.09%,0.0101%,0.0337%,0.00337%,97.9%
2024-03-05 16:23:00,1.19%,1.02%,0.0101%,0.0370%,0.0101%,97.7%
2024-03-05 16:23:15,0.621%,0.191%,0.0137%,0.0376%,0.00341%,99.1%
2024-03-05 16:23:30,2.49%,4.14%,0.0129%,0.0386%,0.00322%,93.3%
2024-03-05 16:23:45,2.01%,1.70%,0.00662%,0.152%,0.00331%,96.1%
2024-03-05 16:24:00,0.460%,0.579%,0.0136%,0.0409%,0.00341%,98.9%
2024-03-05 16:24:15,1.65%,1.36%,0.00668%,0.0234%,0%,97.0%
2024-03-05 16:24:30,1.33%,1.13%,0.0168%,0%,0.00336%,97.5%
2024-03-05 16:24:45,1.74%,0.795%,0.00671%,0.0939%,0.00335%,97.4%
2024-03-05 16:25:00,1.77%,3.76%,0.00976%,0.00976%,0%,94.4%
2024-03-05 16:25:15,3.14%,2.03%,0.00979%,0.0424%,0.00653%,94.8%
2024-03-05 16:25:30,0.109%,0.608%,0.0171%,0.0444%,0.00684%,99.2%
2024-03-05 16:25:45,0.822%,0.544%,0.0102%,0.0272%,0.00340%,98.6%
2024-03-05 16:26:00,1.06%,0.562%,0.0102%,0.0576%,0.00339%,98.3%
2024-03-05 16:26:15,1.34%,0.896%,0.00673%,0.0135%,0.00337%,97.7%
2024-03-05 16:26:30,1.55%,2.45%,0.00660%,0.175%,0.00330%,95.8%
2024-03-05 16:26:45,2.59%,2.85%,0.00649%,0.298%,0.00324%,94.3%
2024-03-05 16:27:00,2.08%,0.758%,0.0100%,0.0501%,0.00334%,97.1%
2024-03-05 16:27:15,1.39%,1.17%,0.0101%,0.0235%,0.00335%,97.4%
2024-03-05 16:27:30,0.536%,0.297%,0.0205%,0.0171%,0%,99.1%
2024-03-05 16:27:45,1.06%,0.194%,0.00679%,0.0204%,0%,98.7%
2024-03-05 16:28:00,1.37%,2.17%,0.00994%,0.123%,0%,96.3%
2024-03-05 16:28:15,3.21%,2.67%,0.00647%,0.152%,0.00323%,94.0%
2024-03-05 16:28:30,1.03%,0.837%,0.0135%,0.0135%,0.00338%,98.1%
2024-03-05 16:28:45,1.04%,0.343%,0.0102%,0.0102%,0.00339%,98.6%
2024-03-05 16:29:00,1.83%,0.986%,0.0100%,0.0100%,0.00334%,97.2%
2024-03-05 16:29:15,1.16%,0.504%,0.00338%,0.0101%,0.00676%,98.3%
2024-03-05 16:29:30,1.25%,2.08%,0.0232%,0.123%,0.00332%,96.5%
2024-03-05 16:29:45,3.62%,3.81%,0.00317%,0.396%,0.00634%,92.2%
2024-03-05 16:30:00,1.38%,1.11%,0.0134%,0.0905%,0.00335%,97.4%
2024-03-05 16:30:15,1.10%,0.766%,0.00675%,0.0405%,0.00337%,98.1%
2024-03-05 16:30:30,0.379%,0.617%,0.0171%,0.0273%,0%,99.0%
2024-03-05 16:30:45,0.614%,0.807%,0.0102%,0.0441%,0%,98.5%
2024-03-05 16:31:00,0.775%,0.910%,0.00677%,0.0237%,0%,98.3%
2024-03-05 16:31:15,2.89%,3.82%,0.00642%,0.0192%,0%,93.3%
2024-03-05 16:31:30,2.20%,0.989%,0.0133%,0.0400%,0.00333%,96.8%
2024-03-05 16:31:45,0.942%,0.664%,0.0136%,0.00339%,0.00339%,98.4%
2024-03-05 16:32:00,1.22%,0.602%,0.00676%,0.0237%,0.0101%,98.1%
2024-03-05 16:32:15,1.15%,1.11%,0.00673%,0.0101%,0.00337%,97.7%
2024-03-05 16:32:30,1.04%,0.394%,0.0170%,0.0373%,0.00339%,98.5%
2024-03-05 16:32:45,2.53%,4.25%,0.00961%,0.173%,0.00320%,93.0%
2024-03-05 16:33:00,2.20%,2.02%,0.00989%,0.0824%,0.00330%,95.7%
2024-03-05 16:33:15,1.51%,0.827%,0.00336%,0.0605%,0.00672%,97.6%
2024-03-05 16:33:30,1.25%,0.743%,0.0135%,0.0169%,0%,98.0%
2024-03-05 16:33:45,1.25%,0.743%,0.0135%,0.0169%,0%,98.0%
2024-03-05 16:34:00,1.25%,0.743%,0.0135%,0.0169%,0%,98.0%
