"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 17:58:00,0.795%,0.890%,0.0102%,0.0171%,0%,98.3%
2024-03-04 17:58:15,0.915%,1.84%,0.0101%,0.0101%,0%,97.2%
2024-03-04 17:58:30,2.35%,3.85%,0.00326%,0.0163%,0%,93.8%
2024-03-04 17:58:45,0.929%,0.987%,0.00681%,0.0136%,0%,98.1%
2024-03-04 17:59:00,0.912%,1.13%,0.0204%,0.0136%,0%,97.9%
2024-03-04 17:59:15,0.237%,0.264%,0.0368%,0%,0%,99.5%
2024-03-04 17:59:30,0.107%,0.153%,0.0167%,0%,0%,99.7%
2024-03-04 17:59:45,0.0867%,0.153%,0.0167%,0%,0%,99.7%
2024-03-04 18:00:00,0.103%,0.213%,0.0133%,0.00333%,0%,99.7%
2024-03-04 18:00:15,0.0733%,0.197%,0.0167%,0%,0%,99.7%
2024-03-04 18:00:30,0.127%,0.167%,0.01000%,0%,0%,99.7%
2024-03-04 18:00:45,0.120%,0.173%,0.00666%,0%,0%,99.7%
2024-03-04 18:01:00,0.110%,0.217%,0.0367%,0.00333%,0%,99.6%
2024-03-04 18:01:15,0.130%,0.173%,0.00666%,0%,0%,99.7%
2024-03-04 18:01:30,1.01%,0.361%,0.0135%,0.00337%,0%,98.6%
2024-03-04 18:01:45,0.955%,0.904%,0.0136%,0.0136%,0%,98.1%
2024-03-04 18:02:00,1.06%,1.36%,0.00679%,0.0136%,0%,97.6%
2024-03-04 18:02:15,2.45%,5.72%,0.0129%,0.0388%,0%,91.8%
2024-03-04 18:02:30,2.37%,7.86%,0.0225%,0.122%,0%,89.6%
2024-03-04 18:02:45,1.05%,3.28%,0.0445%,0.0342%,0%,95.6%
2024-03-04 18:03:00,0.934%,1.37%,0.0420%,0.0315%,0%,97.6%
2024-03-04 18:03:15,1.34%,1.66%,0.0660%,0.0243%,0%,96.9%
2024-03-04 18:03:30,0.730%,1.19%,0.0140%,0.0281%,0%,98.0%
2024-03-04 18:03:45,1.23%,2.16%,0.0967%,0.0311%,0%,96.5%
2024-03-04 18:04:00,2.05%,7.36%,0.0163%,0.0652%,0%,90.5%
2024-03-04 18:04:15,2.91%,9.44%,0.0782%,0.119%,0%,87.5%
2024-03-04 18:04:30,1.05%,3.90%,0.00679%,0.0475%,0%,95.0%
2024-03-04 18:04:45,1.12%,1.51%,0.122%,0.0209%,0%,97.2%
2024-03-04 18:05:00,1.21%,1.41%,0.0174%,0.0313%,0%,97.3%
2024-03-04 18:05:15,0.992%,1.14%,0.122%,0.0280%,0%,97.7%
2024-03-04 18:05:30,1.20%,1.48%,0.0243%,0.0208%,0%,97.3%
2024-03-04 18:05:45,1.81%,5.38%,0.126%,0.0729%,0%,92.6%
2024-03-04 18:06:00,2.77%,8.29%,0.0190%,0.105%,0%,88.8%
2024-03-04 18:06:15,0.923%,3.31%,0.130%,0.0479%,0%,95.6%
2024-03-04 18:06:30,1.08%,1.41%,0.0139%,0.0209%,0%,97.5%
2024-03-04 18:06:45,1.09%,1.36%,0.122%,0.0279%,0%,97.4%
2024-03-04 18:07:00,0.964%,1.18%,0.0140%,0.0279%,0%,97.8%
2024-03-04 18:07:15,1.26%,1.77%,0.0935%,0.0242%,0%,96.9%
2024-03-04 18:07:30,1.23%,5.54%,0.00667%,0.0667%,0%,93.2%
2024-03-04 18:07:45,2.54%,8.83%,0.0285%,0.0792%,0%,88.5%
2024-03-04 18:08:00,1.81%,6.93%,0.0686%,0.0392%,0%,91.2%
2024-03-04 18:08:15,1.20%,2.21%,0.0346%,0.0311%,0%,96.5%
2024-03-04 18:08:30,1.02%,1.35%,0.108%,0.0350%,0%,97.5%
2024-03-04 18:08:45,1.16%,1.62%,0.0140%,0.0314%,0%,97.2%
2024-03-04 18:09:00,0.907%,1.38%,0.0560%,0.0245%,0%,97.6%
2024-03-04 18:09:15,1.43%,5.48%,0.0634%,0.0567%,0%,93.0%
2024-03-04 18:09:30,2.61%,8.61%,0.00635%,0.124%,0%,88.6%
2024-03-04 18:09:45,1.47%,4.35%,0.0876%,0.0371%,0%,94.1%
2024-03-04 18:10:00,1.15%,1.82%,0.0139%,0.0278%,0%,97.0%
2024-03-04 18:10:15,1.03%,1.24%,0.0980%,0.0210%,0%,97.6%
2024-03-04 18:10:30,1.06%,1.31%,0.0105%,0.0244%,0%,97.6%
2024-03-04 18:10:45,1.08%,1.60%,0.0766%,0.0279%,0%,97.2%
2024-03-04 18:11:00,1.27%,5.87%,0.0266%,0.0598%,0%,92.8%
2024-03-04 18:11:15,2.91%,8.91%,0.0315%,0.0789%,0%,88.1%
2024-03-04 18:11:30,1.56%,6.28%,0.0561%,0.0363%,0%,92.1%
2024-03-04 18:11:45,1.21%,2.08%,0.0450%,0.0243%,0%,96.6%
2024-03-04 18:12:00,1.02%,1.34%,0.0664%,0.0280%,0%,97.5%
2024-03-04 18:12:15,1.07%,1.13%,0.0381%,0.0208%,0%,97.7%
2024-03-04 18:12:30,1.07%,1.13%,0.0381%,0.0208%,0%,97.7%
2024-03-04 18:12:45,1.07%,1.13%,0.0381%,0.0208%,0%,97.7%
