"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 17:58:45,38.9 GiB,928 MiB,3.28 GiB,34.7 GiB,0 B
2024-03-04 17:59:00,38.9 GiB,928 MiB,3.28 GiB,34.7 GiB,0 B
2024-03-04 17:59:15,38.9 GiB,928 MiB,3.28 GiB,34.7 GiB,0 B
2024-03-04 17:59:30,38.9 GiB,927 MiB,3.28 GiB,34.7 GiB,0 B
2024-03-04 17:59:45,38.9 GiB,1.14 GiB,3.64 GiB,34.1 GiB,0 B
2024-03-04 18:00:00,38.9 GiB,1.14 GiB,3.64 GiB,34.1 GiB,0 B
2024-03-04 18:00:15,38.9 GiB,1.14 GiB,3.64 GiB,34.1 GiB,0 B
2024-03-04 18:00:30,38.9 GiB,1.14 GiB,3.64 GiB,34.1 GiB,0 B
2024-03-04 18:00:45,38.9 GiB,1.14 GiB,3.64 GiB,34.1 GiB,0 B
2024-03-04 18:01:00,38.9 GiB,1.14 GiB,3.64 GiB,34.1 GiB,0 B
2024-03-04 18:01:15,38.9 GiB,1.14 GiB,3.64 GiB,34.1 GiB,0 B
2024-03-04 18:01:30,38.9 GiB,1.14 GiB,3.64 GiB,34.1 GiB,0 B
2024-03-04 18:01:45,38.9 GiB,1.14 GiB,3.64 GiB,34.1 GiB,0 B
2024-03-04 18:02:00,38.9 GiB,1.14 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:02:15,38.9 GiB,1.14 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:02:30,38.9 GiB,1.14 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:02:45,38.9 GiB,1.14 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:03:00,38.9 GiB,1.14 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:03:15,38.9 GiB,1.14 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:03:30,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:03:45,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:04:00,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:04:15,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:04:30,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:04:45,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:05:00,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:05:15,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:05:30,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:05:45,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:06:00,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:06:15,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
2024-03-04 18:06:30,38.9 GiB,1.15 GiB,3.65 GiB,34.1 GiB,0 B
