"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-04 17:58:15,0 b/s,0 b/s,0 b/s,0 b/s,18.9 kb/s,0 b/s,20.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.21 kb/s,0 b/s,2.47 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:58:30,0 b/s,0 b/s,0 b/s,0 b/s,26.0 kb/s,0 b/s,29.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.20 kb/s,0 b/s,2.46 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:58:45,0 b/s,0 b/s,0 b/s,0 b/s,19.3 kb/s,0 b/s,20.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.19 kb/s,0 b/s,2.43 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:59:00,0 b/s,0 b/s,0 b/s,0 b/s,61.6 kb/s,0 b/s,65.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,113 kb/s,0 b/s,113 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:59:15,0 b/s,0 b/s,0 b/s,0 b/s,72.6 kb/s,0 b/s,76.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,159 kb/s,0 b/s,159 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:59:30,0 b/s,0 b/s,0 b/s,0 b/s,77.5 kb/s,0 b/s,82.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,158 kb/s,0 b/s,158 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:59:45,0 b/s,0 b/s,0 b/s,0 b/s,73.7 kb/s,0 b/s,77.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,157 kb/s,0 b/s,158 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:00:00,0 b/s,0 b/s,0 b/s,0 b/s,99.6 kb/s,0 b/s,106 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,188 kb/s,0 b/s,189 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:00:15,0 b/s,0 b/s,0 b/s,0 b/s,76.9 kb/s,0 b/s,80.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:00:30,0 b/s,0 b/s,0 b/s,0 b/s,82.1 kb/s,0 b/s,87.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:00:45,0 b/s,0 b/s,0 b/s,0 b/s,71.1 kb/s,0 b/s,74.4 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:01:00,0 b/s,0 b/s,0 b/s,0 b/s,78.6 kb/s,0 b/s,83.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:01:15,0 b/s,0 b/s,0 b/s,0 b/s,72.8 kb/s,0 b/s,76.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:01:30,0 b/s,0 b/s,0 b/s,0 b/s,79.6 kb/s,0 b/s,84.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:01:45,0 b/s,0 b/s,0 b/s,0 b/s,70.5 kb/s,0 b/s,73.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,139 kb/s,0 b/s,139 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:02:00,0 b/s,0 b/s,0 b/s,0 b/s,242 kb/s,0 b/s,251 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,209 kb/s,0 b/s,209 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:02:15,0 b/s,0 b/s,0 b/s,0 b/s,39.9 Mb/s,0 b/s,40.3 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,258 kb/s,0 b/s,258 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:02:30,0 b/s,0 b/s,0 b/s,0 b/s,99.7 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,322 kb/s,0 b/s,322 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:02:45,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.9 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,308 kb/s,0 b/s,309 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:03:00,0 b/s,0 b/s,0 b/s,0 b/s,99.8 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,357 kb/s,0 b/s,358 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:03:15,0 b/s,0 b/s,0 b/s,0 b/s,99.0 Mb/s,0 b/s,100.0 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,326 kb/s,0 b/s,327 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:03:30,0 b/s,0 b/s,0 b/s,0 b/s,99.7 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,289 kb/s,0 b/s,289 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:03:45,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.9 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,287 kb/s,0 b/s,288 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:04:00,0 b/s,0 b/s,0 b/s,0 b/s,99.7 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,289 kb/s,0 b/s,289 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:04:15,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,150 kb/s,0 b/s,151 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:04:30,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,149 kb/s,0 b/s,150 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:04:45,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,150 kb/s,0 b/s,150 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:05:00,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,164 kb/s,0 b/s,164 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:05:15,0 b/s,0 b/s,0 b/s,0 b/s,99.7 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,162 kb/s,0 b/s,162 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:05:30,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.9 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,152 kb/s,0 b/s,152 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:05:45,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,150 kb/s,0 b/s,151 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:06:00,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.9 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,174 kb/s,0 b/s,174 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:06:15,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,153 kb/s,0 b/s,153 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:06:30,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.9 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,149 kb/s,0 b/s,149 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:06:45,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,151 kb/s,0 b/s,152 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:07:00,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.9 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,151 kb/s,0 b/s,151 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:07:15,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,150 kb/s,0 b/s,151 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:07:30,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,149 kb/s,0 b/s,149 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:07:45,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,149 kb/s,0 b/s,149 kb/s,0 b/s,0 b/s,0 b/s
