"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv ip_vti0","recv veth12dd5df","recv veth1c3c36b","recv veth3a1e070","recv veth5040e0e","recv veth56531bb","recv veth7a6539b","recv veth846a426","recv veth9202ca9","recv vetha7cb358","recv vethb5e236d","recv vethc2d84b4","recv vethf152619","recv vethfead0d0","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans ip_vti0 ","trans veth12dd5df ","trans veth1c3c36b ","trans veth3a1e070 ","trans veth5040e0e ","trans veth56531bb ","trans veth7a6539b ","trans veth846a426 ","trans veth9202ca9 ","trans vetha7cb358 ","trans vethb5e236d ","trans vethc2d84b4 ","trans vethf152619 ","trans vethfead0d0 ","trans wlp0s20f3 "
2024-03-04 17:58:45,0 b/s,0 b/s,8.97 kb/s,,,,,,,,,,,,,,,709 b/s,0 b/s,0 b/s,15.7 kb/s,,,,,,,,,,,,,,,0 b/s
2024-03-04 17:59:00,0 b/s,0 b/s,11.9 kb/s,,,,,,,,,,,,,,,223 b/s,0 b/s,0 b/s,18.3 kb/s,,,,,,,,,,,,,,,0 b/s
2024-03-04 17:59:15,0 b/s,0 b/s,9.83 kb/s,,,,,,,,,,,,,,,709 b/s,0 b/s,0 b/s,18.1 kb/s,,,,,,,,,,,,,,,0 b/s
2024-03-04 17:59:30,0 b/s,0 b/s,12.0 kb/s,,,,,,,,,,,,,,,43.7 b/s,0 b/s,0 b/s,17.5 kb/s,,,,,,,,,,,,,,,0 b/s
2024-03-04 17:59:45,582 b/s,0 b/s,12.6 kb/s,,,,,,,,,,,,,,,1.03 kb/s,303 b/s,0 b/s,66.2 kb/s,,,,,,,,,,,,,,,89.1 b/s
2024-03-04 18:00:00,491 b/s,0 b/s,9.57 kb/s,0 b/s,0 b/s,139 b/s,565 b/s,420 b/s,0 b/s,0 b/s,0 b/s,209 b/s,0 b/s,0 b/s,139 b/s,1.98 kb/s,0 b/s,99.2 b/s,0 b/s,0 b/s,17.6 kb/s,0 b/s,37.3 b/s,452 b/s,37.3 b/s,734 b/s,37.3 b/s,37.3 b/s,37.3 b/s,487 b/s,37.3 b/s,37.3 b/s,452 b/s,944 b/s,37.3 b/s,0 b/s
2024-03-04 18:00:15,604 b/s,0 b/s,13.4 kb/s,0 b/s,0 b/s,277 b/s,836 b/s,559 b/s,135 b/s,0 b/s,0 b/s,313 b/s,0 b/s,0 b/s,277 b/s,3.64 kb/s,0 b/s,930 b/s,22.4 b/s,0 b/s,21.3 kb/s,0 b/s,37.3 b/s,867 b/s,195 b/s,1.15 kb/s,173 b/s,37.3 b/s,37.3 b/s,902 b/s,37.3 b/s,37.3 b/s,867 b/s,1.46 kb/s,37.3 b/s,0 b/s
2024-03-04 18:00:30,393 b/s,0 b/s,10.4 kb/s,0 b/s,0 b/s,139 b/s,452 b/s,420 b/s,0 b/s,0 b/s,0 b/s,174 b/s,0 b/s,0 b/s,139 b/s,1.98 kb/s,0 b/s,131 b/s,0 b/s,0 b/s,18.6 kb/s,0 b/s,0 b/s,415 b/s,0 b/s,697 b/s,0 b/s,0 b/s,0 b/s,450 b/s,0 b/s,0 b/s,415 b/s,871 b/s,0 b/s,0 b/s
2024-03-04 18:00:45,457 b/s,0 b/s,6.32 kb/s,0 b/s,0 b/s,277 b/s,644 b/s,559 b/s,113 b/s,0 b/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,3.43 kb/s,0 b/s,755 b/s,22.4 b/s,0 b/s,17.4 kb/s,0 b/s,37.3 b/s,867 b/s,135 b/s,1.15 kb/s,150 b/s,37.3 b/s,37.3 b/s,695 b/s,37.3 b/s,37.3 b/s,867 b/s,1.43 kb/s,0 b/s,0 b/s
2024-03-04 18:01:00,393 b/s,0 b/s,8.04 kb/s,0 b/s,0 b/s,139 b/s,452 b/s,420 b/s,0 b/s,0 b/s,0 b/s,209 b/s,0 b/s,0 b/s,139 b/s,2.18 kb/s,0 b/s,483 b/s,0 b/s,0 b/s,18.0 kb/s,0 b/s,0 b/s,415 b/s,37.3 b/s,697 b/s,0 b/s,0 b/s,0 b/s,658 b/s,0 b/s,0 b/s,415 b/s,907 b/s,37.3 b/s,0 b/s
