"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 18:11:00,1.27%,5.87%,0.0266%,0.0598%,0%,92.8%
2024-03-04 18:11:15,2.91%,8.91%,0.0315%,0.0789%,0%,88.1%
2024-03-04 18:11:30,1.56%,6.28%,0.0561%,0.0363%,0%,92.1%
2024-03-04 18:11:45,1.21%,2.08%,0.0450%,0.0243%,0%,96.6%
2024-03-04 18:12:00,1.02%,1.34%,0.0664%,0.0280%,0%,97.5%
2024-03-04 18:12:15,1.07%,1.13%,0.0381%,0.0208%,0%,97.7%
2024-03-04 18:12:30,0.927%,1.20%,0.0477%,0.0102%,0%,97.8%
2024-03-04 18:12:45,1.94%,3.47%,0.00659%,0.0362%,0%,94.5%
2024-03-04 18:13:00,1.75%,1.85%,0.0168%,0.0168%,0%,96.4%
2024-03-04 18:13:15,1.01%,0.905%,0.0102%,0.0171%,0%,98.1%
2024-03-04 18:13:30,0.845%,0.920%,0.0240%,0.0137%,0%,98.2%
2024-03-04 18:13:45,1.02%,1.06%,0.0171%,0.0136%,0%,97.9%
2024-03-04 18:14:00,0.785%,0.833%,0.0274%,0.0103%,0%,98.3%
2024-03-04 18:14:15,1.01%,1.63%,0.0305%,0.0102%,0%,97.3%
2024-03-04 18:14:30,1.87%,4.09%,0.0262%,0.0131%,0%,94.0%
2024-03-04 18:14:45,1.72%,2.20%,0.0201%,0.0201%,0%,96.0%
2024-03-04 18:15:00,0.943%,0.967%,0.0308%,0.0137%,0%,98.0%
2024-03-04 18:15:15,0.859%,0.859%,0.0103%,0.0171%,0%,98.3%
2024-03-04 18:15:30,0.950%,0.919%,0.0103%,0.0103%,0%,98.1%
2024-03-04 18:15:45,0.744%,0.867%,0.0103%,0.0137%,0%,98.4%
2024-03-04 18:16:00,0.954%,1.27%,0.0170%,0.0170%,0%,97.7%
2024-03-04 18:16:15,2.08%,3.53%,0.00657%,0.0296%,0%,94.4%
2024-03-04 18:16:30,1.57%,1.78%,0.0101%,0.0135%,0%,96.6%
2024-03-04 18:16:45,0.953%,0.987%,0.0205%,0.0205%,0%,98.0%
2024-03-04 18:17:00,0.862%,0.896%,0.0239%,0.0137%,0%,98.2%
2024-03-04 18:17:15,1.02%,1.06%,0.0102%,0.00682%,0%,97.9%
2024-03-04 18:17:30,0.812%,0.758%,0.00343%,0.0206%,0%,98.4%
2024-03-04 18:17:45,0.884%,1.52%,0.0102%,0.0102%,0%,97.6%
2024-03-04 18:18:00,1.74%,4.07%,0.0164%,0.0230%,0%,94.1%
2024-03-04 18:18:15,1.80%,2.54%,0.00667%,0.0200%,0%,95.6%
2024-03-04 18:18:30,0.946%,1.00%,0.00683%,0.0239%,0%,98.0%
2024-03-04 18:18:45,0.836%,0.846%,0.00685%,0.0171%,0%,98.3%
2024-03-04 18:19:00,1.07%,1.33%,0.0136%,0.0136%,0%,97.6%
2024-03-04 18:19:15,0.768%,0.888%,0.0171%,0.0103%,0%,98.3%
2024-03-04 18:19:30,0.958%,1.13%,0.00682%,0.0136%,0%,97.9%
2024-03-04 18:19:45,1.73%,3.29%,0.0165%,0.0232%,0%,94.9%
2024-03-04 18:20:00,1.87%,2.08%,0.0201%,0.0167%,0%,96.0%
2024-03-04 18:20:15,0.970%,0.916%,0.0137%,0.0171%,0%,98.1%
2024-03-04 18:20:30,0.784%,0.832%,0.00685%,0.0206%,0%,98.4%
2024-03-04 18:20:45,0.975%,1.08%,0.00682%,0.0205%,0%,97.9%
2024-03-04 18:21:00,0.805%,0.860%,0.0205%,0.0103%,0%,98.3%
2024-03-04 18:21:15,0.931%,1.32%,0.00680%,0.0204%,0%,97.7%
2024-03-04 18:21:30,1.49%,3.55%,0.00661%,0.0132%,0%,94.9%
2024-03-04 18:21:45,1.92%,2.72%,0.00995%,0.0166%,0%,95.3%
2024-03-04 18:22:00,1.01%,0.934%,0.0102%,0.0136%,0%,98.0%
2024-03-04 18:22:15,0.909%,0.831%,0.0103%,0.0103%,0%,98.2%
2024-03-04 18:22:30,0.959%,1.02%,0.0102%,0.0102%,0%,98.0%
2024-03-04 18:22:45,0.889%,0.896%,0.00684%,0.0103%,0%,98.2%
2024-03-04 18:23:00,0.959%,1.07%,0.0171%,0.0102%,0%,97.9%
2024-03-04 18:23:15,1.36%,2.85%,0.00667%,0.0267%,0%,95.8%
2024-03-04 18:23:30,2.22%,2.69%,0.0132%,0.0232%,0%,95.1%
2024-03-04 18:23:45,0.993%,1.05%,0.00682%,0.0102%,0%,97.9%
2024-03-04 18:24:00,0.872%,0.903%,0.0137%,0.0103%,0%,98.2%
2024-03-04 18:24:15,0.910%,0.955%,0.00684%,0.0171%,0%,98.1%
2024-03-04 18:24:30,0.839%,0.917%,0.0103%,0.0103%,0%,98.2%
2024-03-04 18:24:45,1.04%,1.25%,0.00681%,0.0170%,0%,97.7%
2024-03-04 18:25:00,1.18%,2.94%,0.0167%,0.0100%,0%,95.9%
2024-03-04 18:25:15,2.17%,3.93%,0.0131%,0.00654%,0%,93.9%
2024-03-04 18:25:30,2.17%,3.93%,0.0131%,0.00654%,0%,93.9%
2024-03-04 18:25:45,2.17%,3.93%,0.0131%,0.00654%,0%,93.9%
