"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 18:11:00,15.4 GiB,7.38 GiB,7.67 GiB,311 MiB,167 MiB
2024-03-04 18:11:15,15.4 GiB,7.37 GiB,7.70 GiB,301 MiB,167 MiB
2024-03-04 18:11:30,15.4 GiB,7.37 GiB,7.70 GiB,301 MiB,167 MiB
2024-03-04 18:11:45,15.4 GiB,7.37 GiB,7.69 GiB,301 MiB,167 MiB
2024-03-04 18:12:00,15.4 GiB,7.37 GiB,7.69 GiB,301 MiB,167 MiB
2024-03-04 18:12:15,15.4 GiB,7.37 GiB,7.69 GiB,306 MiB,167 MiB
2024-03-04 18:12:30,15.4 GiB,7.39 GiB,7.67 GiB,307 MiB,167 MiB
2024-03-04 18:12:45,15.4 GiB,7.40 GiB,7.67 GiB,297 MiB,167 MiB
2024-03-04 18:13:00,15.4 GiB,7.41 GiB,7.64 GiB,308 MiB,167 MiB
2024-03-04 18:13:15,15.4 GiB,7.41 GiB,7.65 GiB,316 MiB,167 MiB
2024-03-04 18:13:30,15.4 GiB,7.41 GiB,7.65 GiB,314 MiB,167 MiB
2024-03-04 18:13:45,15.4 GiB,7.41 GiB,7.65 GiB,314 MiB,167 MiB
2024-03-04 18:14:00,15.4 GiB,7.41 GiB,7.65 GiB,308 MiB,167 MiB
2024-03-04 18:14:15,15.4 GiB,7.41 GiB,7.65 GiB,310 MiB,167 MiB
2024-03-04 18:14:30,15.4 GiB,7.41 GiB,7.65 GiB,311 MiB,167 MiB
2024-03-04 18:14:45,15.4 GiB,7.42 GiB,7.65 GiB,303 MiB,167 MiB
2024-03-04 18:15:00,15.4 GiB,7.41 GiB,7.65 GiB,308 MiB,167 MiB
2024-03-04 18:15:15,15.4 GiB,7.42 GiB,7.65 GiB,299 MiB,166 MiB
2024-03-04 18:15:30,15.4 GiB,7.42 GiB,7.65 GiB,301 MiB,166 MiB
2024-03-04 18:15:45,15.4 GiB,7.42 GiB,7.65 GiB,298 MiB,166 MiB
2024-03-04 18:16:00,15.4 GiB,7.42 GiB,7.65 GiB,301 MiB,166 MiB
2024-03-04 18:16:15,15.4 GiB,7.42 GiB,7.65 GiB,297 MiB,166 MiB
2024-03-04 18:16:30,15.4 GiB,7.42 GiB,7.65 GiB,298 MiB,166 MiB
2024-03-04 18:16:45,15.4 GiB,7.42 GiB,7.65 GiB,293 MiB,166 MiB
2024-03-04 18:17:00,15.4 GiB,7.40 GiB,7.63 GiB,331 MiB,166 MiB
2024-03-04 18:17:15,15.4 GiB,7.41 GiB,7.63 GiB,323 MiB,166 MiB
2024-03-04 18:17:30,15.4 GiB,7.41 GiB,7.64 GiB,319 MiB,166 MiB
2024-03-04 18:17:45,15.4 GiB,7.41 GiB,7.64 GiB,322 MiB,166 MiB
