"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 17:28:45,15.4 GiB,1.05 GiB,1.76 GiB,12.5 GiB,153 MiB
2024-03-04 17:29:00,15.4 GiB,7.35 GiB,1.77 GiB,6.24 GiB,153 MiB
2024-03-04 17:29:15,15.4 GiB,7.36 GiB,1.77 GiB,6.24 GiB,153 MiB
2024-03-04 17:29:30,15.4 GiB,7.35 GiB,1.77 GiB,6.24 GiB,153 MiB
2024-03-04 17:29:45,15.4 GiB,7.35 GiB,1.77 GiB,6.24 GiB,153 MiB
2024-03-04 17:30:00,15.4 GiB,7.35 GiB,1.77 GiB,6.24 GiB,153 MiB
2024-03-04 17:30:15,15.4 GiB,7.35 GiB,1.77 GiB,6.24 GiB,153 MiB
2024-03-04 17:30:30,15.4 GiB,7.35 GiB,1.77 GiB,6.24 GiB,151 MiB
2024-03-04 17:30:45,15.4 GiB,7.37 GiB,1.81 GiB,6.18 GiB,151 MiB
2024-03-04 17:31:00,15.4 GiB,7.38 GiB,2.05 GiB,5.93 GiB,151 MiB
2024-03-04 17:31:15,15.4 GiB,7.38 GiB,2.30 GiB,5.68 GiB,151 MiB
2024-03-04 17:31:30,15.4 GiB,7.38 GiB,2.55 GiB,5.43 GiB,151 MiB
2024-03-04 17:31:45,15.4 GiB,7.37 GiB,2.80 GiB,5.18 GiB,151 MiB
2024-03-04 17:32:00,15.4 GiB,7.37 GiB,3.05 GiB,4.94 GiB,151 MiB
2024-03-04 17:32:15,15.4 GiB,7.37 GiB,3.30 GiB,4.69 GiB,151 MiB
2024-03-04 17:32:30,15.4 GiB,7.37 GiB,3.55 GiB,4.44 GiB,151 MiB
2024-03-04 17:32:45,15.4 GiB,7.38 GiB,3.79 GiB,4.18 GiB,151 MiB
2024-03-04 17:33:00,15.4 GiB,7.38 GiB,4.04 GiB,3.93 GiB,151 MiB
2024-03-04 17:33:15,15.4 GiB,7.39 GiB,4.29 GiB,3.68 GiB,151 MiB
2024-03-04 17:33:30,15.4 GiB,7.39 GiB,4.54 GiB,3.43 GiB,151 MiB
2024-03-04 17:33:45,15.4 GiB,7.39 GiB,4.79 GiB,3.18 GiB,151 MiB
2024-03-04 17:34:00,15.4 GiB,7.40 GiB,5.04 GiB,2.92 GiB,151 MiB
2024-03-04 17:34:15,15.4 GiB,7.40 GiB,5.29 GiB,2.67 GiB,151 MiB
2024-03-04 17:34:30,15.4 GiB,7.40 GiB,5.54 GiB,2.42 GiB,151 MiB
2024-03-04 17:34:45,15.4 GiB,7.41 GiB,5.79 GiB,2.16 GiB,151 MiB
2024-03-04 17:35:00,15.4 GiB,7.39 GiB,6.04 GiB,1.93 GiB,151 MiB
2024-03-04 17:35:15,15.4 GiB,7.38 GiB,6.29 GiB,1.70 GiB,151 MiB
2024-03-04 17:35:30,15.4 GiB,7.38 GiB,6.53 GiB,1.44 GiB,151 MiB
2024-03-04 17:35:45,15.4 GiB,7.38 GiB,6.78 GiB,1.19 GiB,151 MiB
2024-03-04 17:36:00,15.4 GiB,7.38 GiB,7.03 GiB,964 MiB,151 MiB
2024-03-04 17:36:15,15.4 GiB,7.39 GiB,7.28 GiB,709 MiB,151 MiB
2024-03-04 17:36:30,15.4 GiB,7.39 GiB,7.53 GiB,453 MiB,151 MiB
2024-03-04 17:36:45,15.4 GiB,7.39 GiB,7.76 GiB,217 MiB,151 MiB
2024-03-04 17:37:00,15.4 GiB,7.38 GiB,7.75 GiB,232 MiB,151 MiB
2024-03-04 17:37:15,15.4 GiB,7.38 GiB,7.77 GiB,220 MiB,151 MiB
2024-03-04 17:37:30,15.4 GiB,7.38 GiB,7.76 GiB,230 MiB,151 MiB
2024-03-04 17:37:45,15.4 GiB,7.38 GiB,7.75 GiB,237 MiB,151 MiB
2024-03-04 17:38:00,15.4 GiB,7.38 GiB,7.75 GiB,236 MiB,151 MiB
2024-03-04 17:38:15,15.4 GiB,7.40 GiB,7.72 GiB,241 MiB,151 MiB
2024-03-04 17:38:30,15.4 GiB,7.41 GiB,7.71 GiB,242 MiB,151 MiB
2024-03-04 17:38:45,15.4 GiB,7.41 GiB,7.71 GiB,243 MiB,151 MiB
2024-03-04 17:39:00,15.4 GiB,7.41 GiB,7.70 GiB,253 MiB,151 MiB
2024-03-04 17:39:15,15.4 GiB,7.42 GiB,7.70 GiB,254 MiB,151 MiB
2024-03-04 17:39:30,15.4 GiB,7.41 GiB,7.71 GiB,245 MiB,151 MiB
2024-03-04 17:39:45,15.4 GiB,7.41 GiB,7.71 GiB,245 MiB,151 MiB
2024-03-04 17:40:00,15.4 GiB,7.42 GiB,7.69 GiB,250 MiB,152 MiB
2024-03-04 17:40:15,15.4 GiB,7.41 GiB,7.71 GiB,246 MiB,152 MiB
2024-03-04 17:40:30,15.4 GiB,7.40 GiB,7.70 GiB,264 MiB,160 MiB
2024-03-04 17:40:45,15.4 GiB,7.41 GiB,7.69 GiB,268 MiB,160 MiB
2024-03-04 17:41:00,15.4 GiB,7.41 GiB,7.69 GiB,265 MiB,160 MiB
2024-03-04 17:41:15,15.4 GiB,7.41 GiB,7.69 GiB,261 MiB,160 MiB
2024-03-04 17:41:30,15.4 GiB,7.41 GiB,7.69 GiB,261 MiB,160 MiB
2024-03-04 17:41:45,15.4 GiB,7.41 GiB,7.69 GiB,263 MiB,160 MiB
2024-03-04 17:42:00,15.4 GiB,7.41 GiB,7.69 GiB,263 MiB,160 MiB
2024-03-04 17:42:15,15.4 GiB,7.42 GiB,7.69 GiB,254 MiB,160 MiB
2024-03-04 17:42:30,15.4 GiB,7.42 GiB,7.69 GiB,256 MiB,160 MiB
2024-03-04 17:42:45,15.4 GiB,7.42 GiB,7.69 GiB,256 MiB,160 MiB
2024-03-04 17:43:00,15.4 GiB,7.42 GiB,7.69 GiB,254 MiB,160 MiB
2024-03-04 17:43:15,15.4 GiB,7.42 GiB,7.69 GiB,254 MiB,160 MiB
2024-03-04 17:43:30,15.4 GiB,7.42 GiB,7.69 GiB,254 MiB,160 MiB
