"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-04 17:29:00,0 b/s,0 b/s,0 b/s,0 b/s,26.9 kb/s,0 b/s,29.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,1.68 kb/s,0 b/s,2.13 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:29:15,0 b/s,0 b/s,0 b/s,0 b/s,77.1 kb/s,0 b/s,82.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,525 kb/s,0 b/s,526 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:29:30,0 b/s,0 b/s,0 b/s,0 b/s,61.7 kb/s,0 b/s,66.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,60.5 kb/s,0 b/s,60.7 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:29:45,0 b/s,0 b/s,0 b/s,0 b/s,94.3 kb/s,0 b/s,112 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,110 kb/s,0 b/s,111 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:30:00,0 b/s,0 b/s,0 b/s,0 b/s,77.4 kb/s,0 b/s,85.4 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,91.6 kb/s,0 b/s,91.9 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:30:15,0 b/s,0 b/s,0 b/s,0 b/s,70.8 kb/s,0 b/s,74.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,91.1 kb/s,0 b/s,91.6 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:30:30,0 b/s,0 b/s,0 b/s,0 b/s,76.7 kb/s,0 b/s,83.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,92.1 kb/s,0 b/s,92.4 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:30:45,0 b/s,0 b/s,0 b/s,0 b/s,15.0 Mb/s,0 b/s,15.5 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,195 kb/s,0 b/s,195 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:31:00,0 b/s,0 b/s,0 b/s,0 b/s,99.8 Mb/s,0 b/s,103 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,251 kb/s,0 b/s,251 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:31:15,0 b/s,0 b/s,0 b/s,0 b/s,98.7 Mb/s,0 b/s,102 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,249 kb/s,0 b/s,250 kb/s,0 b/s,0 b/s,0 b/s
