"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 17:29:30,0.433%,0.530%,0.0626%,0.00569%,0%,99.0%
2024-03-04 17:29:45,0.279%,0.432%,0.0512%,0.0114%,0%,99.2%
2024-03-04 17:30:00,0.393%,0.558%,0.0626%,0.00569%,0%,99.0%
2024-03-04 17:30:15,0.301%,0.472%,0.0569%,0%,0%,99.2%
2024-03-04 17:30:30,0.450%,0.689%,0.0512%,0.0398%,0%,98.8%
2024-03-04 17:30:45,0.415%,0.495%,0.0682%,0.0171%,0%,99.0%
2024-03-04 17:31:00,0.824%,0.996%,0.0515%,0.549%,0%,97.6%
2024-03-04 17:31:15,0.772%,0.966%,0.0515%,0.669%,0%,97.5%
2024-03-04 17:31:30,0.880%,1.11%,0.0800%,0.617%,0%,97.3%
2024-03-04 17:31:45,1.06%,0.964%,0.0459%,0.941%,0%,97.0%
2024-03-04 17:32:00,1.04%,1.17%,0.0515%,0.732%,0%,97.0%
2024-03-04 17:32:15,1.19%,1.12%,0.0514%,1.04%,0%,96.6%
2024-03-04 17:32:30,1.07%,1.11%,0.0631%,0.757%,0%,97.0%
2024-03-04 17:32:45,1.19%,1.01%,0.0458%,0.882%,0%,96.9%
2024-03-04 17:33:00,1.17%,1.21%,0.0400%,0.949%,0%,96.6%
2024-03-04 17:33:15,1.11%,1.18%,0.0514%,0.902%,0%,96.8%
2024-03-04 17:33:30,1.02%,1.17%,0.0514%,0.708%,0%,97.1%
2024-03-04 17:33:45,0.773%,0.945%,0.0401%,0.555%,0%,97.7%
2024-03-04 17:34:00,1.16%,1.11%,0.0632%,0.838%,0%,96.8%
2024-03-04 17:34:15,0.750%,0.951%,0.0630%,0.515%,0%,97.7%
2024-03-04 17:34:30,0.956%,1.07%,0.0343%,0.698%,0%,97.2%
2024-03-04 17:34:45,0.883%,0.946%,0.0401%,0.688%,0%,97.4%
2024-03-04 17:35:00,1.09%,1.09%,0.0575%,0.684%,0%,97.1%
2024-03-04 17:35:15,1.00%,1.02%,0.0575%,0.783%,0%,97.1%
2024-03-04 17:35:30,1.04%,1.11%,0.0402%,0.746%,0%,97.1%
2024-03-04 17:35:45,0.822%,1.02%,0.0517%,0.736%,0%,97.4%
2024-03-04 17:36:00,0.813%,1.00%,0.0401%,0.573%,0%,97.6%
2024-03-04 17:36:15,0.641%,0.910%,0.0515%,0.475%,0%,97.9%
2024-03-04 17:36:30,0.860%,1.38%,0.0573%,0.487%,0%,97.2%
2024-03-04 17:36:45,0.728%,1.11%,0.0516%,0.539%,0%,97.6%
2024-03-04 17:37:00,1.01%,1.16%,0.0346%,0.715%,0%,97.1%
2024-03-04 17:37:15,0.769%,0.924%,0.0402%,0.470%,0%,97.8%
2024-03-04 17:37:30,1.06%,1.08%,0.0634%,0.657%,0%,97.1%
2024-03-04 17:37:45,0.739%,0.894%,0.0516%,0.458%,0%,97.9%
2024-03-04 17:38:00,0.802%,1.01%,0.0458%,0.464%,0%,97.7%
2024-03-04 17:38:15,0.746%,0.890%,0.0287%,0.385%,0%,98.0%
2024-03-04 17:38:30,0.965%,1.03%,0.0578%,0.635%,0%,97.3%
2024-03-04 17:38:45,0.911%,0.969%,0.0346%,0.629%,0%,97.5%
2024-03-04 17:39:00,0.903%,1.08%,0.0633%,0.575%,0%,97.4%
2024-03-04 17:39:15,0.855%,1.01%,0.0520%,0.624%,0%,97.5%
2024-03-04 17:39:30,0.890%,1.09%,0.0402%,0.431%,0%,97.5%
2024-03-04 17:39:45,0.728%,0.855%,0.0516%,0.499%,0%,97.9%
2024-03-04 17:40:00,1.09%,1.12%,0.0575%,0.799%,0%,96.9%
2024-03-04 17:40:15,0.780%,0.900%,0.0516%,0.705%,0%,97.6%
2024-03-04 17:40:30,0.913%,1.02%,0.0631%,0.723%,0%,97.3%
2024-03-04 17:40:45,0.989%,0.920%,0.0403%,0.840%,0%,97.2%
2024-03-04 17:41:00,0.627%,0.718%,0.0456%,0.222%,0%,98.4%
2024-03-04 17:41:15,0.352%,0.529%,0.0284%,0%,0%,99.1%
2024-03-04 17:41:30,0.341%,0.483%,0.0455%,0.0114%,0%,99.1%
2024-03-04 17:41:45,0.392%,0.636%,0.0511%,0.00568%,0%,98.9%
2024-03-04 17:42:00,0.341%,0.512%,0.0512%,0.0171%,0%,99.1%
2024-03-04 17:42:15,0.444%,0.609%,0.0342%,0%,0%,98.9%
2024-03-04 17:42:30,0.392%,0.455%,0.0398%,0.0227%,0%,99.1%
2024-03-04 17:42:45,0.432%,0.603%,0.0398%,0.00569%,0%,98.9%
2024-03-04 17:43:00,0.284%,0.432%,0.0569%,0.0114%,0%,99.2%
2024-03-04 17:43:15,0.512%,0.717%,0.0398%,0%,0%,98.7%
2024-03-04 17:43:30,0.364%,0.642%,0.0455%,0.0171%,0%,98.9%
2024-03-04 17:43:45,0.421%,0.501%,0.0512%,0.00569%,0%,99.0%
2024-03-04 17:44:00,0.341%,0.484%,0.0626%,0.0114%,0%,99.1%
2024-03-04 17:44:15,0.341%,0.484%,0.0626%,0.0114%,0%,99.1%
2024-03-04 17:44:30,0.341%,0.484%,0.0626%,0.0114%,0%,99.1%
