"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 17:29:45,38.9 GiB,1.30 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:30:00,38.9 GiB,1.30 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:30:15,38.9 GiB,1.30 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:30:30,38.9 GiB,1.30 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:30:45,38.9 GiB,1.31 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:31:00,38.9 GiB,1.31 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:31:15,38.9 GiB,1.32 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:31:30,38.9 GiB,1.32 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:31:45,38.9 GiB,1.32 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:32:00,38.9 GiB,1.32 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:32:15,38.9 GiB,1.32 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:32:30,38.9 GiB,1.31 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:32:45,38.9 GiB,1.31 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:33:00,38.9 GiB,1.31 GiB,3.25 GiB,34.3 GiB,0 B
2024-03-04 17:33:15,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:33:30,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:33:45,38.9 GiB,1.32 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:34:00,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:34:15,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:34:30,38.9 GiB,1.32 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:34:45,38.9 GiB,1.32 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:35:00,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:35:15,38.9 GiB,1.32 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:35:30,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:35:45,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:36:00,38.9 GiB,1.32 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:36:15,38.9 GiB,1.32 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:36:30,38.9 GiB,1.34 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:36:45,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:37:00,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:37:15,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
