"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth002f3a0","recv veth26bb1ac","recv veth87a6e6e","recv veth9b70a02","recv vethafd5ab8","recv vethb92efdb","recv vethc74234b","recv vethc9ef2b2","recv vethef092b8","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth002f3a0 ","trans veth26bb1ac ","trans veth87a6e6e ","trans veth9b70a02 ","trans vethafd5ab8 ","trans vethb92efdb ","trans vethc74234b ","trans vethc9ef2b2 ","trans vethef092b8 ","trans wlp0s20f3 "
2024-03-04 17:29:45,0 b/s,0 b/s,13.8 kb/s,78.9 b/s,0 b/s,101 b/s,0 b/s,336 b/s,336 b/s,389 b/s,984 b/s,336 b/s,405 b/s,354 b/s,0 b/s,0 b/s,15.7 kb/s,101 b/s,0 b/s,101 b/s,0 b/s,197 b/s,197 b/s,250 b/s,1.70 kb/s,234 b/s,250 b/s,0 b/s
2024-03-04 17:30:00,0 b/s,0 b/s,8.89 kb/s,76.8 b/s,0 b/s,91.7 b/s,0 b/s,672 b/s,672 b/s,734 b/s,1.97 kb/s,672 b/s,766 b/s,201 b/s,0 b/s,0 b/s,15.7 kb/s,229 b/s,0 b/s,229 b/s,0 b/s,394 b/s,394 b/s,455 b/s,3.39 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:30:15,0 b/s,0 b/s,8.46 kb/s,107 b/s,0 b/s,137 b/s,0 b/s,336 b/s,336 b/s,389 b/s,984 b/s,336 b/s,405 b/s,175 b/s,0 b/s,0 b/s,16.7 kb/s,274 b/s,0 b/s,274 b/s,37.3 b/s,197 b/s,197 b/s,250 b/s,1.70 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:30:30,0 b/s,0 b/s,32.7 kb/s,76.8 b/s,0 b/s,91.7 b/s,0 b/s,672 b/s,672 b/s,734 b/s,1.97 kb/s,672 b/s,766 b/s,175 b/s,0 b/s,0 b/s,879 kb/s,229 b/s,0 b/s,229 b/s,0 b/s,394 b/s,394 b/s,455 b/s,3.39 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:30:45,0 b/s,0 b/s,57.7 kb/s,20.0 kb/s,3.55 kb/s,3.66 kb/s,0 b/s,2.47 kb/s,1.74 kb/s,20.3 kb/s,984 b/s,2.50 kb/s,1.85 kb/s,45.9 b/s,0 b/s,0 b/s,1.03 Mb/s,21.6 kb/s,1.00 kb/s,2.82 kb/s,112 b/s,5.31 kb/s,1.70 kb/s,21.3 kb/s,1.81 kb/s,2.34 kb/s,1.75 kb/s,0 b/s
2024-03-04 17:31:00,0 b/s,0 b/s,68.9 Mb/s,70.0 Mb/s,56.5 b/s,56.5 b/s,0 b/s,761 b/s,672 b/s,72.2 Mb/s,1.97 kb/s,672 b/s,826 b/s,596 b/s,0 b/s,0 b/s,72.6 Mb/s,66.4 Mb/s,88.5 b/s,56.5 b/s,0 b/s,450 b/s,431 b/s,66.4 Mb/s,3.45 kb/s,394 b/s,493 b/s,0 b/s
2024-03-04 17:31:15,0 b/s,0 b/s,97.4 Mb/s,98.8 Mb/s,22.4 b/s,78.9 b/s,0 b/s,358 b/s,336 b/s,102 Mb/s,984 b/s,336 b/s,435 b/s,837 b/s,0 b/s,0 b/s,102 Mb/s,93.7 Mb/s,22.4 b/s,78.9 b/s,0 b/s,219 b/s,197 b/s,93.7 Mb/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:31:30,0 b/s,0 b/s,96.6 Mb/s,98.2 Mb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,101 Mb/s,1.97 kb/s,672 b/s,826 b/s,221 b/s,0 b/s,0 b/s,102 Mb/s,92.9 Mb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,92.9 Mb/s,3.45 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:31:45,0 b/s,0 b/s,97.6 Mb/s,99.2 Mb/s,0 b/s,101 b/s,0 b/s,336 b/s,336 b/s,102 Mb/s,984 b/s,336 b/s,435 b/s,0 b/s,0 b/s,0 b/s,103 Mb/s,93.9 Mb/s,0 b/s,101 b/s,0 b/s,197 b/s,197 b/s,93.9 Mb/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:32:00,0 b/s,0 b/s,97.6 Mb/s,99.1 Mb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,102 Mb/s,1.97 kb/s,672 b/s,848 b/s,221 b/s,0 b/s,0 b/s,103 Mb/s,93.9 Mb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,93.9 Mb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
