"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 17:28:45,0.157%,0.0633%,0.01000%,0%,0%,99.8%
2024-03-04 17:29:00,0.991%,0.553%,0.00674%,0.0101%,0%,98.4%
2024-03-04 17:29:15,0.931%,0.983%,0.0102%,0.0171%,0%,98.1%
2024-03-04 17:29:30,0.787%,0.838%,0.00684%,0.0205%,0%,98.3%
2024-03-04 17:29:45,0.898%,0.976%,0.0102%,0.0205%,0%,98.1%
2024-03-04 17:30:00,0.810%,0.896%,0.00684%,0.0239%,0%,98.3%
2024-03-04 17:30:15,1.01%,1.56%,0.0136%,0.0169%,0%,97.4%
2024-03-04 17:30:30,2.12%,3.75%,0.0164%,0.0295%,0%,94.1%
2024-03-04 17:30:45,1.52%,2.73%,0.0100%,0.0469%,0%,95.7%
2024-03-04 17:31:00,1.16%,3.84%,0.0509%,0.214%,0%,94.7%
2024-03-04 17:31:15,1.02%,1.64%,0.0104%,0.202%,0%,97.1%
2024-03-04 17:31:30,1.17%,1.90%,0.0832%,0.198%,0%,96.6%
2024-03-04 17:31:45,0.885%,1.28%,0.0140%,0.203%,0%,97.6%
2024-03-04 17:32:00,1.18%,2.06%,0.0970%,0.170%,0%,96.5%
2024-03-04 17:32:15,1.78%,5.46%,0.00995%,0.189%,0%,92.6%
2024-03-04 17:32:30,2.65%,8.71%,0.0127%,0.206%,0%,88.4%
2024-03-04 17:32:45,1.04%,3.78%,0.0852%,0.184%,0%,94.9%
2024-03-04 17:33:00,1.06%,2.04%,0.0104%,0.170%,0%,96.7%
2024-03-04 17:33:15,1.16%,1.70%,0.0903%,0.201%,0%,96.8%
2024-03-04 17:33:30,0.951%,1.60%,0.0209%,0.171%,0%,97.3%
2024-03-04 17:33:45,1.24%,2.33%,0.0862%,0.172%,0%,96.2%
2024-03-04 17:34:00,1.64%,5.65%,0.0200%,0.177%,0%,92.5%
2024-03-04 17:34:15,2.95%,9.49%,0.0812%,0.209%,0%,87.3%
2024-03-04 17:34:30,1.19%,4.79%,0.0101%,0.218%,0%,93.8%
2024-03-04 17:34:45,1.18%,1.91%,0.135%,0.228%,0%,96.5%
2024-03-04 17:35:00,1.05%,1.64%,0.0209%,0.198%,0%,97.1%
2024-03-04 17:35:15,0.962%,1.54%,0.119%,0.178%,0%,97.2%
2024-03-04 17:35:30,1.22%,1.98%,0.0104%,0.190%,0%,96.6%
2024-03-04 17:35:45,1.67%,5.00%,0.144%,0.204%,0%,93.0%
2024-03-04 17:36:00,2.65%,8.61%,0.0254%,0.219%,0%,88.5%
2024-03-04 17:36:15,1.05%,3.75%,0.129%,0.201%,0%,94.9%
2024-03-04 17:36:30,1.04%,1.88%,0.0139%,0.177%,0%,96.9%
2024-03-04 17:36:45,1.01%,1.59%,0.0451%,0.198%,0%,97.2%
2024-03-04 17:37:00,0.836%,1.26%,0.101%,0.171%,0%,97.6%
2024-03-04 17:37:15,1.05%,2.10%,0.0448%,0.169%,0%,96.6%
2024-03-04 17:37:30,1.68%,5.84%,0.0791%,0.181%,0%,92.2%
2024-03-04 17:37:45,2.64%,9.33%,0.0251%,0.210%,0%,87.8%
2024-03-04 17:38:00,1.07%,3.86%,0.0643%,0.207%,0%,94.8%
2024-03-04 17:38:15,0.907%,1.65%,0.0382%,0.184%,0%,97.2%
2024-03-04 17:38:30,1.10%,1.86%,0.0658%,0.190%,0%,96.8%
2024-03-04 17:38:45,0.727%,1.41%,0.0105%,0.178%,0%,97.7%
2024-03-04 17:39:00,1.06%,2.00%,0.0934%,0.190%,0%,96.7%
2024-03-04 17:39:15,2.01%,6.45%,0.0131%,0.186%,0%,91.3%
2024-03-04 17:39:30,2.22%,7.89%,0.0770%,0.225%,0%,89.6%
2024-03-04 17:39:45,0.982%,2.74%,0.00687%,0.199%,0%,96.1%
2024-03-04 17:40:00,0.850%,1.63%,0.0975%,0.181%,0%,97.2%
2024-03-04 17:40:15,1.07%,1.93%,0.0138%,0.177%,0%,96.8%
2024-03-04 17:40:30,0.804%,1.32%,0.0804%,0.175%,0%,97.6%
2024-03-04 17:40:45,1.10%,2.38%,0.00686%,0.137%,0%,96.4%
2024-03-04 17:41:00,2.17%,3.82%,0.0621%,0.0196%,0%,93.9%
2024-03-04 17:41:15,1.14%,1.33%,0.0136%,0.0102%,0%,97.5%
2024-03-04 17:41:30,0.839%,1.04%,0.00682%,0.0136%,0%,98.1%
2024-03-04 17:41:45,0.683%,1.09%,0.0171%,0.0171%,0%,98.2%
2024-03-04 17:42:00,0.728%,0.940%,0.0308%,0.0137%,0%,98.3%
2024-03-04 17:42:15,0.768%,1.02%,0.0239%,0.0273%,0%,98.2%
2024-03-04 17:42:30,0.963%,1.48%,0.0203%,0.0102%,0%,97.5%
2024-03-04 17:42:45,2.40%,3.81%,0.0261%,0.0196%,0%,93.8%
2024-03-04 17:43:00,0.860%,1.00%,0.0307%,0.0205%,0%,98.1%
2024-03-04 17:43:15,0.860%,1.00%,0.0307%,0.0205%,0%,98.1%
2024-03-04 17:43:30,0.860%,1.00%,0.0307%,0.0205%,0%,98.1%
