"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 17:40:45,1.10%,2.38%,0.00686%,0.137%,0%,96.4%
2024-03-04 17:41:00,2.17%,3.82%,0.0621%,0.0196%,0%,93.9%
2024-03-04 17:41:15,1.14%,1.33%,0.0136%,0.0102%,0%,97.5%
2024-03-04 17:41:30,0.839%,1.04%,0.00682%,0.0136%,0%,98.1%
2024-03-04 17:41:45,0.683%,1.09%,0.0171%,0.0171%,0%,98.2%
2024-03-04 17:42:00,0.728%,0.940%,0.0308%,0.0137%,0%,98.3%
2024-03-04 17:42:15,0.768%,1.02%,0.0239%,0.0273%,0%,98.2%
2024-03-04 17:42:30,0.963%,1.48%,0.0203%,0.0102%,0%,97.5%
2024-03-04 17:42:45,2.40%,3.81%,0.0261%,0.0196%,0%,93.8%
2024-03-04 17:43:00,0.860%,1.00%,0.0307%,0.0205%,0%,98.1%
2024-03-04 17:43:15,0.838%,1.11%,0.0273%,0.0102%,0%,98.0%
2024-03-04 17:43:30,0.691%,0.920%,0.0239%,0.0137%,0%,98.4%
2024-03-04 17:43:45,0.660%,0.890%,0.0205%,0.0137%,0%,98.4%
2024-03-04 17:44:00,0.852%,1.13%,0.0102%,0.0136%,0%,98.0%
2024-03-04 17:44:15,1.02%,2.07%,0.00674%,0.0135%,0%,96.9%
2024-03-04 17:44:30,2.34%,3.84%,0.00978%,0.0130%,0%,93.8%
2024-03-04 17:44:45,0.947%,1.10%,0.00341%,0.0170%,0%,97.9%
2024-03-04 17:45:00,0.819%,1.05%,0.0102%,0.0136%,0%,98.1%
2024-03-04 17:45:15,0.751%,0.997%,0.0137%,0.0137%,0%,98.2%
2024-03-04 17:45:30,0.670%,0.883%,0.00684%,0.0171%,0%,98.4%
2024-03-04 17:45:45,0.841%,1.16%,0.0102%,0.0170%,0%,98.0%
2024-03-04 17:46:00,1.08%,1.82%,0.0135%,0.0169%,0%,97.1%
2024-03-04 17:46:15,2.25%,3.55%,0.0131%,0.0164%,0%,94.2%
2024-03-04 17:46:30,0.853%,0.962%,0.0102%,0.0102%,0%,98.2%
2024-03-04 17:46:45,0.772%,0.963%,0.0102%,0.0137%,0%,98.2%
2024-03-04 17:47:00,0.732%,0.889%,0.0103%,0.0103%,0%,98.4%
2024-03-04 17:47:15,0.654%,0.791%,0.0205%,0.0171%,0%,98.5%
2024-03-04 17:47:30,0.841%,1.21%,0.00681%,0.0170%,0%,97.9%
2024-03-04 17:47:45,1.07%,2.46%,0.00335%,0.0168%,0%,96.4%
2024-03-04 17:48:00,2.32%,3.87%,0.0130%,0.0130%,0%,93.8%
2024-03-04 17:48:15,0.926%,1.01%,0.0170%,0.0102%,0%,98.0%
2024-03-04 17:48:30,0.772%,0.830%,0%,0.0103%,0%,98.4%
2024-03-04 17:48:45,0.809%,0.904%,0.0205%,0.0136%,0%,98.3%
2024-03-04 17:49:00,0.817%,1.20%,0.0171%,0.0171%,0%,97.9%
2024-03-04 17:49:15,0.888%,1.07%,0.00681%,0.0102%,0%,98.0%
2024-03-04 17:49:30,1.08%,1.84%,0.0135%,0.0135%,0%,97.1%
2024-03-04 17:49:45,2.23%,3.28%,0.0164%,0.00984%,0%,94.5%
2024-03-04 17:50:00,0.785%,0.871%,0.0239%,0.0102%,0%,98.3%
2024-03-04 17:50:15,0.782%,0.827%,0.0171%,0.0102%,0%,98.4%
2024-03-04 17:50:30,0.721%,0.820%,0.0103%,0.0137%,0%,98.4%
2024-03-04 17:50:45,0.663%,0.810%,0.00342%,0.0137%,0%,98.5%
2024-03-04 17:51:00,0.909%,1.10%,0.0170%,0.0204%,0%,98.0%
2024-03-04 17:51:15,1.14%,2.36%,0.0101%,0.0101%,0%,96.5%
2024-03-04 17:51:30,2.16%,3.55%,0.00982%,0.0131%,0%,94.3%
2024-03-04 17:51:45,0.876%,1.11%,0.0205%,0.0170%,0%,98.0%
2024-03-04 17:52:00,0.772%,0.830%,0.0102%,0.0102%,0%,98.4%
2024-03-04 17:52:15,0.775%,0.857%,0.0137%,0.0137%,0%,98.3%
2024-03-04 17:52:30,0.673%,0.827%,0.0103%,0.0103%,0%,98.5%
2024-03-04 17:52:45,0.838%,1.06%,0.0102%,0.0136%,0%,98.1%
2024-03-04 17:53:00,1.10%,1.77%,0.0169%,0.0135%,0%,97.1%
2024-03-04 17:53:15,2.24%,3.31%,0.00984%,0.0131%,0%,94.4%
2024-03-04 17:53:30,0.825%,0.883%,0.0102%,0.0205%,0%,98.3%
2024-03-04 17:53:45,0.806%,0.860%,0.00341%,0.0171%,0%,98.3%
2024-03-04 17:54:00,0.758%,0.857%,0.0137%,0.00683%,0%,98.4%
2024-03-04 17:54:15,0.691%,0.753%,0.0103%,0.0171%,0%,98.5%
2024-03-04 17:54:30,0.824%,1.02%,0.00681%,0.0170%,0%,98.1%
2024-03-04 17:54:45,1.06%,2.19%,0.0101%,0.0101%,0%,96.7%
2024-03-04 17:55:00,2.32%,3.67%,0.00979%,0.0131%,0%,94.0%
2024-03-04 17:55:15,0.886%,1.04%,0.0170%,0.0170%,0%,98.0%
2024-03-04 17:55:30,0.886%,1.04%,0.0170%,0.0170%,0%,98.0%
2024-03-04 17:55:45,0.886%,1.04%,0.0170%,0.0170%,0%,98.0%
