"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 17:41:30,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:41:45,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:42:00,38.9 GiB,1.30 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:42:15,38.9 GiB,1.31 GiB,3.26 GiB,34.3 GiB,0 B
2024-03-04 17:42:30,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:42:45,38.9 GiB,1.30 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:43:00,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:43:15,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:43:30,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:43:45,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:44:00,38.9 GiB,1.30 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:44:15,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:44:30,38.9 GiB,1.30 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:44:45,38.9 GiB,1.30 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:45:00,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:45:15,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:45:30,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:45:45,38.9 GiB,1.32 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:46:00,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:46:15,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:46:30,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:46:45,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:47:00,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:47:15,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:47:30,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:47:45,38.9 GiB,1.32 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:48:00,38.9 GiB,1.32 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:48:15,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:48:30,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:48:45,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:49:00,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:49:15,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:49:30,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:49:45,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:50:00,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:50:15,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:50:30,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:50:45,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:51:00,38.9 GiB,1.32 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:51:15,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:51:30,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:51:45,38.9 GiB,1.32 GiB,3.27 GiB,34.3 GiB,0 B
