"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth002f3a0","recv veth26bb1ac","recv veth87a6e6e","recv veth9b70a02","recv vethafd5ab8","recv vethb92efdb","recv vethc74234b","recv vethc9ef2b2","recv vethef092b8","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth002f3a0 ","trans veth26bb1ac ","trans veth87a6e6e ","trans veth9b70a02 ","trans vethafd5ab8 ","trans vethb92efdb ","trans vethc74234b ","trans vethc9ef2b2 ","trans vethef092b8 ","trans wlp0s20f3 "
2024-03-04 17:41:30,0 b/s,0 b/s,7.64 kb/s,64 b/s,0 b/s,78.9 b/s,0 b/s,672 b/s,672 b/s,756 b/s,1.97 kb/s,672 b/s,848 b/s,847 b/s,0 b/s,0 b/s,15.7 kb/s,78.9 b/s,0 b/s,78.9 b/s,0 b/s,394 b/s,394 b/s,478 b/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:41:45,0 b/s,0 b/s,18.2 kb/s,13.0 kb/s,0 b/s,78.9 b/s,0 b/s,336 b/s,336 b/s,13.6 kb/s,984 b/s,336 b/s,435 b/s,221 b/s,0 b/s,0 b/s,29.1 kb/s,13.3 kb/s,0 b/s,78.9 b/s,0 b/s,197 b/s,197 b/s,13.4 kb/s,1.73 kb/s,234 b/s,250 b/s,0 b/s
2024-03-04 17:42:00,0 b/s,0 b/s,26.4 kb/s,17.1 kb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,18.6 kb/s,1.97 kb/s,672 b/s,826 b/s,1.76 kb/s,0 b/s,0 b/s,33.8 kb/s,18.1 kb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,18.5 kb/s,3.45 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:42:15,0 b/s,0 b/s,5.29 kb/s,49.1 b/s,0 b/s,56.5 b/s,0 b/s,336 b/s,336 b/s,389 b/s,984 b/s,336 b/s,435 b/s,939 b/s,0 b/s,0 b/s,15.7 kb/s,56.5 b/s,0 b/s,56.5 b/s,0 b/s,197 b/s,197 b/s,250 b/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:42:30,0 b/s,0 b/s,6.90 kb/s,233 b/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,970 b/s,1.97 kb/s,672 b/s,848 b/s,1.22 kb/s,0 b/s,0 b/s,16.0 kb/s,270 b/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,691 b/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:42:45,0 b/s,0 b/s,15.4 kb/s,9.40 kb/s,0 b/s,78.9 b/s,0 b/s,336 b/s,336 b/s,10.1 kb/s,984 b/s,336 b/s,413 b/s,87.5 b/s,0 b/s,0 b/s,25.5 kb/s,9.87 kb/s,0 b/s,78.9 b/s,0 b/s,197 b/s,197 b/s,10.0 kb/s,1.73 kb/s,197 b/s,228 b/s,0 b/s
2024-03-04 17:43:00,0 b/s,0 b/s,17.3 kb/s,8.06 kb/s,0 b/s,0 b/s,0 b/s,672 b/s,672 b/s,9.15 kb/s,1.97 kb/s,672 b/s,826 b/s,942 b/s,0 b/s,0 b/s,24.2 kb/s,8.51 kb/s,0 b/s,0 b/s,0 b/s,394 b/s,394 b/s,8.97 kb/s,3.45 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:43:15,0 b/s,0 b/s,8.93 kb/s,1.48 kb/s,0 b/s,113 b/s,0 b/s,336 b/s,336 b/s,1.81 kb/s,984 b/s,336 b/s,458 b/s,603 b/s,0 b/s,0 b/s,17.2 kb/s,1.56 kb/s,0 b/s,150 b/s,0 b/s,197 b/s,197 b/s,1.72 kb/s,1.73 kb/s,197 b/s,273 b/s,0 b/s
2024-03-04 17:43:30,0 b/s,0 b/s,8.31 kb/s,698 b/s,0 b/s,0 b/s,0 b/s,672 b/s,672 b/s,1.45 kb/s,1.97 kb/s,672 b/s,826 b/s,843 b/s,0 b/s,0 b/s,16.4 kb/s,736 b/s,0 b/s,0 b/s,37.3 b/s,394 b/s,394 b/s,1.19 kb/s,3.45 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:43:45,0 b/s,0 b/s,4.89 kb/s,128 b/s,0 b/s,158 b/s,0 b/s,336 b/s,336 b/s,367 b/s,984 b/s,336 b/s,413 b/s,459 b/s,0 b/s,0 b/s,15.8 kb/s,158 b/s,0 b/s,158 b/s,0 b/s,234 b/s,197 b/s,228 b/s,1.73 kb/s,197 b/s,228 b/s,0 b/s
