"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 16:26:45,0.401%,0.513%,0.0335%,0%,0%,99.1%
2024-03-04 16:27:00,0.402%,0.525%,0.0391%,0.00558%,0%,99.0%
2024-03-04 16:27:15,0.385%,0.463%,0.0390%,0.00558%,0%,99.1%
2024-03-04 16:27:30,0.374%,0.452%,0.0391%,0.00558%,0%,99.1%
2024-03-04 16:27:45,0.341%,0.436%,0.0279%,0.00559%,0%,99.2%
2024-03-04 16:28:00,0.374%,0.424%,0.0279%,0.0112%,0%,99.2%
2024-03-04 16:28:15,0.324%,0.430%,0.0335%,0.00559%,0%,99.2%
2024-03-04 16:28:30,0.391%,0.463%,0.0335%,0.00558%,0%,99.1%
2024-03-04 16:28:45,0.363%,0.368%,0.0335%,0.00558%,0%,99.2%
2024-03-04 16:29:00,0.430%,0.503%,0.0391%,0.0447%,0%,99.0%
2024-03-04 16:29:15,0.424%,0.424%,0.0279%,0.0167%,0%,99.1%
2024-03-04 16:29:30,0.380%,0.530%,0.0447%,0.00558%,0%,99.0%
2024-03-04 16:29:45,0.391%,0.408%,0.0335%,0.00559%,0%,99.2%
2024-03-04 16:30:00,0.404%,0.481%,0.0355%,0.0112%,0%,99.1%
2024-03-04 16:30:15,0.496%,0.552%,0.0335%,0.00558%,0%,98.9%
2024-03-04 16:30:30,0.379%,0.452%,0.0446%,0%,0%,99.1%
2024-03-04 16:30:45,0.408%,0.486%,0.0391%,0.0168%,0%,99.1%
2024-03-04 16:31:00,0.430%,0.419%,0.0335%,0.0112%,0%,99.1%
2024-03-04 16:31:15,0.352%,0.491%,0.0223%,0%,0%,99.1%
2024-03-04 16:31:30,0.357%,0.490%,0.0390%,0.00557%,0%,99.1%
2024-03-04 16:31:45,0.407%,0.491%,0.0447%,0.0112%,0%,99.0%
2024-03-04 16:32:00,0.368%,0.357%,0.0279%,0.00558%,0%,99.2%
2024-03-04 16:32:15,0.474%,0.469%,0.0335%,0.00558%,0%,99.0%
2024-03-04 16:32:30,0.374%,0.458%,0.0335%,0.00558%,0%,99.1%
2024-03-04 16:32:45,0.424%,0.608%,0.0390%,0.0112%,0%,98.9%
2024-03-04 16:33:00,0.401%,0.474%,0.0279%,0.0111%,0%,99.1%
2024-03-04 16:33:15,0.368%,0.525%,0.0335%,0.00558%,0%,99.1%
2024-03-04 16:33:30,0.363%,0.435%,0.0390%,0.0167%,0%,99.1%
2024-03-04 16:33:45,0.452%,0.513%,0.0279%,0.0112%,0%,99.0%
2024-03-04 16:34:00,0.402%,0.474%,0.0335%,0.0279%,0%,99.1%
2024-03-04 16:34:15,0.374%,0.447%,0.0335%,0.0168%,0%,99.1%
2024-03-04 16:34:30,0.396%,0.385%,0.0446%,0.00558%,0%,99.2%
2024-03-04 16:34:45,0.351%,0.547%,0.0390%,0.00558%,0%,99.1%
2024-03-04 16:35:00,0.391%,0.391%,0.0391%,0.00558%,0%,99.2%
2024-03-04 16:35:15,0.485%,0.524%,0.0335%,0.00558%,0%,99.0%
2024-03-04 16:35:30,0.402%,0.469%,0.0335%,0%,0%,99.1%
2024-03-04 16:35:45,0.559%,0.542%,0.0671%,0.0112%,0%,98.8%
2024-03-04 16:36:00,0.335%,0.407%,0.0502%,0.00558%,0%,99.2%
2024-03-04 16:36:15,0.424%,0.541%,0.0725%,0.00558%,0%,99.0%
