"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 16:27:00,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:27:15,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:27:30,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:27:45,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:28:00,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:28:15,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:28:30,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:28:45,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:29:00,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:29:15,38.9 GiB,1.33 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:29:30,38.9 GiB,1.33 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:29:45,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:30:00,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:30:15,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:30:30,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:30:45,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:31:00,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:31:15,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:31:30,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:31:45,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:32:00,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:32:15,38.9 GiB,1.33 GiB,2.89 GiB,34.6 GiB,0 B
2024-03-04 16:32:30,38.9 GiB,1.34 GiB,2.89 GiB,34.6 GiB,0 B
