"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-20 17:07:45,0.111%,0.156%,0.0278%,0%,0%,99.7%
2024-03-20 17:08:00,0.117%,0.145%,0.0334%,0.00557%,0%,99.7%
2024-03-20 17:08:15,0.111%,0.173%,0.0501%,0%,0%,99.7%
2024-03-20 17:08:30,0.100%,0.195%,0.0278%,0%,0%,99.7%
2024-03-20 17:08:45,1.52%,1.83%,0.330%,0.00560%,0%,96.3%
2024-03-20 17:09:00,0.859%,2.08%,0.262%,0.0112%,0%,96.8%
2024-03-20 17:09:15,0.424%,0.659%,0.0447%,0.00558%,0%,98.9%
2024-03-20 17:09:30,0.307%,0.474%,0.0279%,0.0167%,0%,99.2%
2024-03-20 17:09:45,0.396%,0.541%,0.0502%,0.0167%,0%,99.0%
2024-03-20 17:10:00,0.273%,0.424%,0.0279%,0.00558%,0%,99.3%
2024-03-20 17:10:15,0.346%,0.435%,0.0446%,0.0112%,0%,99.2%
2024-03-20 17:10:30,0.425%,0.525%,0.0335%,0.0782%,0%,98.9%
2024-03-20 17:10:45,0.413%,0.564%,0.0335%,0.0670%,0%,98.9%
2024-03-20 17:11:00,0.458%,0.502%,0.0447%,0.223%,0%,98.8%
2024-03-20 17:11:15,0.734%,0.790%,0.0336%,0.717%,0%,97.7%
2024-03-20 17:11:30,0.850%,0.722%,0.0392%,0.957%,0%,97.4%
2024-03-20 17:11:45,0.794%,0.889%,0.0335%,0.850%,0%,97.4%
2024-03-20 17:12:00,0.894%,0.900%,0.0391%,0.922%,0%,97.2%
2024-03-20 17:12:15,0.743%,1.02%,0.0224%,0.877%,0%,97.3%
2024-03-20 17:12:30,0.860%,0.950%,0.0335%,0.888%,0%,97.3%
2024-03-20 17:12:45,0.676%,0.928%,0.0391%,0.559%,0%,97.8%
2024-03-20 17:13:00,0.721%,0.783%,0.0335%,0.676%,0%,97.8%
2024-03-20 17:13:15,0.699%,0.883%,0.0224%,0.648%,0%,97.7%
2024-03-20 17:13:30,0.795%,0.857%,0.0504%,0.818%,0%,97.5%
2024-03-20 17:13:45,0.813%,0.796%,0.0392%,0.735%,0%,97.6%
2024-03-20 17:14:00,0.694%,0.616%,0.0336%,0.566%,0%,98.1%
2024-03-20 17:14:15,0.784%,0.638%,0.0280%,0.661%,0%,97.9%
2024-03-20 17:14:30,0.901%,0.767%,0.0280%,0.935%,0%,97.4%
2024-03-20 17:14:45,0.907%,0.840%,0.0448%,0.969%,0%,97.2%
2024-03-20 17:15:00,0.683%,0.599%,0.0336%,0.717%,0%,98.0%
2024-03-20 17:15:15,0.811%,0.828%,0.0280%,0.923%,0%,97.4%
2024-03-20 17:15:30,0.755%,0.632%,0.0448%,0.767%,0%,97.8%
2024-03-20 17:15:45,0.879%,0.806%,0.0280%,0.812%,0%,97.5%
2024-03-20 17:16:00,0.828%,0.649%,0.0280%,0.605%,0%,97.9%
2024-03-20 17:16:15,0.806%,0.728%,0.0392%,0.784%,0%,97.6%
2024-03-20 17:16:30,0.834%,0.840%,0.0336%,0.728%,0%,97.6%
2024-03-20 17:16:45,0.829%,0.891%,0.0224%,0.756%,0%,97.5%
2024-03-20 17:17:00,0.757%,0.706%,0.0504%,0.740%,0%,97.7%
2024-03-20 17:17:15,0.712%,0.812%,0.0224%,0.684%,0%,97.8%
2024-03-20 17:17:30,0.785%,0.741%,0.0337%,0.656%,0%,97.8%
2024-03-20 17:17:45,0.684%,0.757%,0.0392%,0.678%,0%,97.8%
2024-03-20 17:18:00,0.651%,0.645%,0.0168%,0.684%,0%,98.0%
2024-03-20 17:18:15,0.744%,0.772%,0.0336%,1.13%,0%,97.3%
2024-03-20 17:18:30,0.637%,0.682%,0.0335%,1.01%,0%,97.6%
2024-03-20 17:18:45,0.704%,0.693%,0.0168%,1.02%,0%,97.6%
2024-03-20 17:19:00,0.869%,0.841%,0.0390%,1.19%,0%,97.1%
2024-03-20 17:19:15,0.998%,0.809%,0.0335%,0.926%,0%,97.2%
2024-03-20 17:19:30,0.916%,0.860%,0.0335%,0.855%,0%,97.3%
2024-03-20 17:19:45,1.05%,0.933%,0.0391%,0.726%,0%,97.3%
2024-03-20 17:20:00,1.06%,0.831%,0.0167%,0.825%,0%,97.3%
2024-03-20 17:20:15,1.09%,0.859%,0.0335%,0.731%,0%,97.3%
2024-03-20 17:20:30,0.960%,0.820%,0.0335%,0.803%,0%,97.4%
2024-03-20 17:20:45,0.794%,0.805%,0.0559%,0.861%,0%,97.5%
2024-03-20 17:21:00,0.831%,0.698%,0.0279%,0.703%,0%,97.7%
2024-03-20 17:21:15,0.380%,1.00%,0.0167%,0.0112%,0%,98.6%
2024-03-20 17:21:30,0.346%,0.418%,0.0335%,0.0112%,0%,99.2%
2024-03-20 17:21:45,0.357%,0.485%,0.0335%,0.0223%,0%,99.1%
2024-03-20 17:22:00,0.351%,0.413%,0.0279%,0.0112%,0%,99.2%
2024-03-20 17:22:15,0.351%,0.413%,0.0279%,0.0112%,0%,99.2%
2024-03-20 17:22:30,0.351%,0.413%,0.0279%,0.0112%,0%,99.2%
