"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 16:43:15,15.4 GiB,7.38 GiB,2.47 GiB,5.51 GiB,155 MiB
2024-03-04 16:43:30,15.4 GiB,7.38 GiB,2.47 GiB,5.51 GiB,155 MiB
2024-03-04 16:43:45,15.4 GiB,7.38 GiB,2.47 GiB,5.51 GiB,155 MiB
2024-03-04 16:44:00,15.4 GiB,7.38 GiB,2.47 GiB,5.51 GiB,155 MiB
2024-03-04 16:44:15,15.4 GiB,7.38 GiB,2.47 GiB,5.51 GiB,155 MiB
2024-03-04 16:44:30,15.4 GiB,7.38 GiB,2.48 GiB,5.51 GiB,155 MiB
2024-03-04 16:44:45,15.4 GiB,7.38 GiB,2.48 GiB,5.50 GiB,155 MiB
2024-03-04 16:45:00,15.4 GiB,7.38 GiB,2.48 GiB,5.50 GiB,155 MiB
2024-03-04 16:45:15,15.4 GiB,7.38 GiB,2.48 GiB,5.50 GiB,155 MiB
2024-03-04 16:45:30,15.4 GiB,7.38 GiB,2.53 GiB,5.44 GiB,155 MiB
2024-03-04 16:45:45,15.4 GiB,7.37 GiB,2.58 GiB,5.41 GiB,155 MiB
2024-03-04 16:46:00,15.4 GiB,7.38 GiB,2.76 GiB,5.22 GiB,155 MiB
2024-03-04 16:46:15,15.4 GiB,7.38 GiB,2.95 GiB,5.04 GiB,155 MiB
2024-03-04 16:46:30,15.4 GiB,7.37 GiB,3.13 GiB,4.86 GiB,155 MiB
2024-03-04 16:46:45,15.4 GiB,7.37 GiB,3.31 GiB,4.68 GiB,155 MiB
2024-03-04 16:47:00,15.4 GiB,7.38 GiB,3.50 GiB,4.49 GiB,155 MiB
2024-03-04 16:47:15,15.4 GiB,7.38 GiB,3.69 GiB,4.30 GiB,155 MiB
2024-03-04 16:47:30,15.4 GiB,7.38 GiB,3.87 GiB,4.11 GiB,155 MiB
2024-03-04 16:47:45,15.4 GiB,7.39 GiB,4.05 GiB,3.92 GiB,155 MiB
2024-03-04 16:48:00,15.4 GiB,7.38 GiB,4.24 GiB,3.74 GiB,155 MiB
2024-03-04 16:48:15,15.4 GiB,7.39 GiB,4.42 GiB,3.55 GiB,155 MiB
2024-03-04 16:48:30,15.4 GiB,7.38 GiB,4.60 GiB,3.37 GiB,155 MiB
2024-03-04 16:48:45,15.4 GiB,7.39 GiB,4.79 GiB,3.19 GiB,155 MiB
2024-03-04 16:49:00,15.4 GiB,7.39 GiB,4.97 GiB,2.99 GiB,155 MiB
2024-03-04 16:49:15,15.4 GiB,7.40 GiB,5.16 GiB,2.81 GiB,155 MiB
2024-03-04 16:49:30,15.4 GiB,7.39 GiB,5.34 GiB,2.63 GiB,155 MiB
2024-03-04 16:49:45,15.4 GiB,7.40 GiB,5.52 GiB,2.44 GiB,155 MiB
2024-03-04 16:50:00,15.4 GiB,7.39 GiB,5.71 GiB,2.26 GiB,155 MiB
2024-03-04 16:50:15,15.4 GiB,7.39 GiB,5.90 GiB,2.07 GiB,155 MiB
2024-03-04 16:50:30,15.4 GiB,7.39 GiB,6.08 GiB,1.89 GiB,155 MiB
2024-03-04 16:50:45,15.4 GiB,7.39 GiB,6.27 GiB,1.70 GiB,155 MiB
2024-03-04 16:51:00,15.4 GiB,7.40 GiB,6.45 GiB,1.51 GiB,155 MiB
2024-03-04 16:51:15,15.4 GiB,7.39 GiB,6.64 GiB,1.33 GiB,155 MiB
2024-03-04 16:51:30,15.4 GiB,7.39 GiB,6.83 GiB,1.14 GiB,155 MiB
2024-03-04 16:51:45,15.4 GiB,7.40 GiB,7.02 GiB,971 MiB,155 MiB
2024-03-04 16:52:00,15.4 GiB,7.40 GiB,7.20 GiB,776 MiB,155 MiB
2024-03-04 16:52:15,15.4 GiB,7.40 GiB,7.39 GiB,578 MiB,155 MiB
2024-03-04 16:52:30,15.4 GiB,7.40 GiB,7.58 GiB,392 MiB,155 MiB
2024-03-04 16:52:45,15.4 GiB,7.41 GiB,7.76 GiB,196 MiB,155 MiB
2024-03-04 16:53:00,15.4 GiB,7.37 GiB,7.80 GiB,195 MiB,155 MiB
2024-03-04 16:53:15,15.4 GiB,7.38 GiB,7.81 GiB,174 MiB,155 MiB
2024-03-04 16:53:30,15.4 GiB,7.38 GiB,7.82 GiB,165 MiB,155 MiB
2024-03-04 16:53:45,15.4 GiB,7.38 GiB,7.80 GiB,181 MiB,155 MiB
2024-03-04 16:54:00,15.4 GiB,7.39 GiB,7.80 GiB,171 MiB,155 MiB
2024-03-04 16:54:15,15.4 GiB,7.39 GiB,7.80 GiB,171 MiB,155 MiB
2024-03-04 16:54:30,15.4 GiB,7.39 GiB,7.80 GiB,172 MiB,155 MiB
2024-03-04 16:54:45,15.4 GiB,7.39 GiB,7.78 GiB,199 MiB,155 MiB
2024-03-04 16:55:00,15.4 GiB,7.39 GiB,7.78 GiB,194 MiB,155 MiB
2024-03-04 16:55:15,15.4 GiB,7.39 GiB,7.77 GiB,205 MiB,155 MiB
2024-03-04 16:55:30,15.4 GiB,7.39 GiB,7.77 GiB,205 MiB,155 MiB
2024-03-04 16:55:45,15.4 GiB,7.40 GiB,7.77 GiB,194 MiB,155 MiB
2024-03-04 16:56:00,15.4 GiB,7.40 GiB,7.73 GiB,239 MiB,155 MiB
2024-03-04 16:56:15,15.4 GiB,7.41 GiB,7.73 GiB,234 MiB,155 MiB
2024-03-04 16:56:30,15.4 GiB,7.41 GiB,7.73 GiB,230 MiB,155 MiB
2024-03-04 16:56:45,15.4 GiB,7.41 GiB,7.73 GiB,230 MiB,155 MiB
2024-03-04 16:57:00,15.4 GiB,7.41 GiB,7.73 GiB,228 MiB,155 MiB
2024-03-04 16:57:15,15.4 GiB,7.41 GiB,7.73 GiB,224 MiB,155 MiB
2024-03-04 16:57:30,15.4 GiB,7.41 GiB,7.73 GiB,224 MiB,155 MiB
2024-03-04 16:57:45,15.4 GiB,7.41 GiB,7.73 GiB,224 MiB,155 MiB
2024-03-04 16:58:00,15.4 GiB,7.41 GiB,7.73 GiB,224 MiB,155 MiB
2024-03-04 16:58:15,15.4 GiB,7.41 GiB,7.73 GiB,224 MiB,155 MiB
