"Time","recv br-8cb9266c6180","recv br-free5gc","recv docker0","recv enp0s31f6","recv veth0dfedbc","recv veth1b8088c","recv veth2cd0f68","recv veth31c7187","recv veth37a63b1","recv veth3986898","recv veth5a45575","recv veth648e8df","recv veth7bc4468","recv veth8427b23","recv vetha018ad9","recv vethdd45395","recv vethe3adaec","recv vethe5c9066","recv vethe915203","recv vethefaeb1a","recv wlp0s20f3","trans br-8cb9266c6180 ","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans veth0dfedbc ","trans veth1b8088c ","trans veth2cd0f68 ","trans veth31c7187 ","trans veth37a63b1 ","trans veth3986898 ","trans veth5a45575 ","trans veth648e8df ","trans veth7bc4468 ","trans veth8427b23 ","trans vetha018ad9 ","trans vethdd45395 ","trans vethe3adaec ","trans vethe5c9066 ","trans vethe915203 ","trans vethefaeb1a ","trans wlp0s20f3 "
2024-03-20 17:07:30,0 b/s,0 b/s,0 b/s,7.05 kb/s,,,,,,,,,,,,,,,,,1.86 kb/s,0 b/s,0 b/s,0 b/s,12.2 kb/s,,,,,,,,,,,,,,,,,366 b/s
2024-03-20 17:07:45,0 b/s,0 b/s,0 b/s,3.82 kb/s,,,,,,,,,,,,,,,,,926 b/s,0 b/s,0 b/s,0 b/s,10.8 kb/s,,,,,,,,,,,,,,,,,0 b/s
2024-03-20 17:08:00,0 b/s,0 b/s,0 b/s,10.2 kb/s,,,,,,,,,,,,,,,,,720 b/s,0 b/s,0 b/s,0 b/s,16.0 kb/s,,,,,,,,,,,,,,,,,0 b/s
2024-03-20 17:08:15,0 b/s,0 b/s,0 b/s,10.4 kb/s,,,,,,,,,,,,,,,,,1.07 kb/s,0 b/s,0 b/s,0 b/s,13.3 kb/s,,,,,,,,,,,,,,,,,48 b/s
2024-03-20 17:08:30,0 b/s,0 b/s,0 b/s,8.48 kb/s,,,,,,,,,,,,,,,,,771 b/s,0 b/s,0 b/s,0 b/s,12.1 kb/s,,,,,,,,,,,,,,,,,0 b/s
2024-03-20 17:08:45,179 b/s,0 b/s,0 b/s,8.15 kb/s,,,,,,,,,,,,,,,,,1.20 kb/s,398 b/s,0 b/s,0 b/s,43.4 kb/s,,,,,,,,,,,,,,,,,145 b/s
2024-03-20 17:09:00,3.61 kb/s,0 b/s,0 b/s,166 kb/s,983 b/s,0 b/s,3.42 kb/s,1.48 kb/s,4.97 kb/s,605 b/s,246 b/s,0 b/s,6.63 kb/s,5.09 kb/s,3.09 kb/s,245 b/s,11.8 kb/s,8.98 kb/s,7.55 kb/s,5.82 kb/s,141 b/s,161 kb/s,0 b/s,0 b/s,16.8 kb/s,1.27 kb/s,724 b/s,21.0 kb/s,1.62 kb/s,1.77 kb/s,1.80 kb/s,813 b/s,724 b/s,164 kb/s,4.58 kb/s,4.29 kb/s,813 b/s,14.7 kb/s,2.65 kb/s,5.37 kb/s,2.06 kb/s,58.1 b/s
2024-03-20 17:09:15,625 b/s,0 b/s,0 b/s,5.30 kb/s,476 b/s,0 b/s,3.50 kb/s,476 b/s,4.91 kb/s,462 b/s,462 b/s,0 b/s,1.51 kb/s,3.55 kb/s,1.78 kb/s,461 b/s,5.42 kb/s,8.64 kb/s,1.43 kb/s,8.54 kb/s,720 b/s,550 b/s,0 b/s,0 b/s,13.1 kb/s,507 b/s,329 b/s,24.0 kb/s,507 b/s,1.34 kb/s,507 b/s,507 b/s,329 b/s,2.66 kb/s,1.28 kb/s,1.29 kb/s,507 b/s,5.50 kb/s,1.40 kb/s,4.32 kb/s,1.28 kb/s,0 b/s
2024-03-20 17:09:30,715 b/s,0 b/s,0 b/s,11.7 kb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,4.89 kb/s,231 b/s,231 b/s,0 b/s,798 b/s,3.30 kb/s,804 b/s,230 b/s,2.74 kb/s,8.53 kb/s,716 b/s,8.31 kb/s,0 b/s,528 b/s,0 b/s,0 b/s,13.1 kb/s,537 b/s,448 b/s,24.1 kb/s,537 b/s,1.45 kb/s,537 b/s,537 b/s,448 b/s,1.78 kb/s,1.31 kb/s,718 b/s,537 b/s,3.01 kb/s,1.28 kb/s,2.48 kb/s,1.31 kb/s,0 b/s
2024-03-20 17:09:45,883 b/s,0 b/s,0 b/s,13.0 kb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,4.85 kb/s,462 b/s,462 b/s,0 b/s,1.08 kb/s,3.53 kb/s,1.61 kb/s,461 b/s,5.51 kb/s,8.58 kb/s,1.43 kb/s,8.85 kb/s,135 b/s,848 b/s,0 b/s,0 b/s,13.3 kb/s,529 b/s,314 b/s,24.0 kb/s,529 b/s,1.27 kb/s,529 b/s,492 b/s,351 b/s,2.50 kb/s,1.27 kb/s,853 b/s,492 b/s,5.47 kb/s,1.36 kb/s,4.44 kb/s,1.55 kb/s,0 b/s
