"Time","recv br-6a9d1a178dea","recv br-9c758857c168","recv br01","recv demo-oai","recv docker0","recv enp3s0","recv ogstun","recv virbr1","trans br-6a9d1a178dea ","trans br-9c758857c168 ","trans br01 ","trans demo-oai ","trans docker0 ","trans enp3s0 ","trans ogstun ","trans virbr1 "
2024-03-20 17:08:00,0 b/s,0 b/s,18.3 kb/s,0 b/s,0 b/s,19.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,6.33 kb/s,0 b/s,0 b/s,6.58 kb/s,0 b/s,0 b/s
2024-03-20 17:08:15,0 b/s,0 b/s,18.5 kb/s,0 b/s,0 b/s,20.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,3.64 kb/s,0 b/s,0 b/s,3.86 kb/s,0 b/s,0 b/s
2024-03-20 17:08:30,0 b/s,0 b/s,19.1 kb/s,0 b/s,0 b/s,20.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,2.84 kb/s,0 b/s,0 b/s,3.12 kb/s,0 b/s,0 b/s
2024-03-20 17:08:45,0 b/s,0 b/s,43.4 kb/s,0 b/s,0 b/s,45.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,5.60 kb/s,0 b/s,0 b/s,6.00 kb/s,0 b/s,0 b/s
2024-03-20 17:09:00,0 b/s,0 b/s,16.3 kb/s,0 b/s,0 b/s,17.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,949 b/s,0 b/s,0 b/s,1.24 kb/s,0 b/s,0 b/s
2024-03-20 17:09:15,0 b/s,0 b/s,54.8 kb/s,0 b/s,0 b/s,56.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,27.2 kb/s,0 b/s,0 b/s,27.6 kb/s,0 b/s,0 b/s
2024-03-20 17:09:30,0 b/s,0 b/s,22.9 kb/s,0 b/s,0 b/s,25.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,617 b/s,0 b/s,0 b/s,873 b/s,0 b/s,0 b/s
2024-03-20 17:09:45,0 b/s,0 b/s,23.8 kb/s,0 b/s,0 b/s,25.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,1.41 kb/s,0 b/s,0 b/s,1.84 kb/s,0 b/s,0 b/s
2024-03-20 17:10:00,0 b/s,0 b/s,98.0 kb/s,0 b/s,0 b/s,100 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,52.5 kb/s,0 b/s,0 b/s,53.0 kb/s,0 b/s,0 b/s
2024-03-20 17:10:15,0 b/s,0 b/s,18.7 kb/s,0 b/s,0 b/s,19.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,1.14 kb/s,0 b/s,0 b/s,1.39 kb/s,0 b/s,0 b/s
2024-03-20 17:10:30,0 b/s,0 b/s,387 kb/s,0 b/s,0 b/s,403 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,239 kb/s,0 b/s,0 b/s,240 kb/s,0 b/s,0 b/s
2024-03-20 17:10:45,0 b/s,0 b/s,215 kb/s,0 b/s,0 b/s,222 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,146 kb/s,0 b/s,0 b/s,146 kb/s,0 b/s,0 b/s
2024-03-20 17:11:00,0 b/s,0 b/s,13.5 Mb/s,0 b/s,0 b/s,13.6 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,142 kb/s,0 b/s,0 b/s,143 kb/s,0 b/s,0 b/s
2024-03-20 17:11:15,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,226 kb/s,0 b/s,0 b/s,226 kb/s,0 b/s,0 b/s
2024-03-20 17:11:30,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,165 kb/s,0 b/s,0 b/s,165 kb/s,0 b/s,0 b/s
2024-03-20 17:11:45,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,6.08 Mb/s,0 b/s,0 b/s,6.08 Mb/s,0 b/s,0 b/s
2024-03-20 17:12:00,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,761 kb/s,0 b/s,0 b/s,762 kb/s,0 b/s,0 b/s
2024-03-20 17:12:15,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,297 kb/s,0 b/s,0 b/s,297 kb/s,0 b/s,0 b/s
2024-03-20 17:12:30,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,310 kb/s,0 b/s,0 b/s,310 kb/s,0 b/s,0 b/s
2024-03-20 17:12:45,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,272 kb/s,0 b/s,0 b/s,272 kb/s,0 b/s,0 b/s
2024-03-20 17:13:00,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,193 kb/s,0 b/s,0 b/s,193 kb/s,0 b/s,0 b/s
2024-03-20 17:13:15,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,352 kb/s,0 b/s,0 b/s,353 kb/s,0 b/s,0 b/s
2024-03-20 17:13:30,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,314 kb/s,0 b/s,0 b/s,314 kb/s,0 b/s,0 b/s
2024-03-20 17:13:45,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,308 kb/s,0 b/s,0 b/s,308 kb/s,0 b/s,0 b/s
2024-03-20 17:14:00,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,308 kb/s,0 b/s,0 b/s,309 kb/s,0 b/s,0 b/s
