"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-20 17:08:00,0.0600%,0.197%,0.367%,0%,0%,99.4%
2024-03-20 17:08:15,0.0467%,0.177%,0.363%,0%,0%,99.4%
2024-03-20 17:08:30,0.0500%,0.167%,0.324%,0%,0%,99.5%
2024-03-20 17:08:45,0.0834%,0.210%,0.414%,0%,0%,99.3%
2024-03-20 17:09:00,0.0634%,0.183%,0.417%,0%,0%,99.3%
2024-03-20 17:09:15,0.0567%,0.150%,0.364%,0%,0%,99.4%
2024-03-20 17:09:30,0.0500%,0.193%,0.370%,0%,0%,99.4%
2024-03-20 17:09:45,0.0701%,0.140%,0.400%,0.00334%,0.0100%,99.4%
2024-03-20 17:10:00,0.217%,0.173%,0.370%,0%,0.00667%,99.2%
2024-03-20 17:10:15,1.13%,0.706%,0.389%,0.0676%,0.00338%,97.7%
2024-03-20 17:10:30,0.821%,0.400%,0.383%,0.0205%,0.00342%,98.4%
2024-03-20 17:10:45,0.617%,0.295%,0.377%,0.0309%,0.00343%,98.7%
2024-03-20 17:11:00,1.44%,0.541%,0.337%,0.0136%,0.00680%,97.7%
2024-03-20 17:11:15,1.27%,1.14%,0.397%,0.0171%,0.00342%,97.2%
2024-03-20 17:11:30,1.25%,1.11%,0.377%,0.00685%,0%,97.3%
2024-03-20 17:11:45,1.98%,5.34%,0.328%,0.0260%,0.00325%,92.3%
2024-03-20 17:12:00,2.13%,6.24%,0.360%,0.0257%,0.00322%,91.2%
2024-03-20 17:12:15,2.14%,3.08%,0.369%,0.0333%,0.00333%,94.4%
2024-03-20 17:12:30,1.46%,1.34%,0.341%,0.0375%,0.0102%,96.8%
2024-03-20 17:12:45,0.604%,0.489%,0.378%,0.0243%,0%,98.5%
2024-03-20 17:13:00,1.45%,0.515%,0.374%,0.0378%,0%,97.6%
2024-03-20 17:13:15,0.692%,0.761%,0.315%,0.0519%,0%,98.2%
2024-03-20 17:13:30,1.06%,3.33%,0.383%,0.0369%,0.00672%,95.2%
2024-03-20 17:13:45,2.28%,6.47%,0.339%,0.0128%,0%,90.9%
2024-03-20 17:14:00,2.41%,4.69%,0.316%,0.0228%,0.00326%,92.6%
2024-03-20 17:14:15,1.90%,1.57%,0.362%,0.0135%,0.00339%,96.1%
2024-03-20 17:14:30,0.824%,0.585%,0.384%,0.0346%,0.00346%,98.2%
2024-03-20 17:14:45,1.07%,0.846%,0.337%,0.0516%,0.00688%,97.7%
2024-03-20 17:15:00,1.39%,0.980%,0.380%,0.0274%,0.00343%,97.2%
2024-03-20 17:15:15,1.53%,2.41%,0.367%,0.0337%,0.00337%,95.7%
2024-03-20 17:15:30,2.41%,6.66%,0.313%,0.0160%,0.00319%,90.6%
2024-03-20 17:15:45,2.11%,3.79%,0.396%,0.0165%,0.00660%,93.7%
2024-03-20 17:16:00,1.51%,1.30%,0.338%,0.0273%,0.00341%,96.8%
2024-03-20 17:16:15,1.11%,1.18%,0.357%,0.0240%,0%,97.3%
2024-03-20 17:16:30,0.717%,0.613%,0.367%,0.0173%,0%,98.3%
2024-03-20 17:16:45,1.42%,0.554%,0.375%,0.0206%,0%,97.6%
2024-03-20 17:17:00,1.19%,4.06%,0.362%,0.0465%,0.00332%,94.3%
2024-03-20 17:17:15,2.65%,5.87%,0.311%,0.0128%,0%,91.2%
2024-03-20 17:17:30,2.49%,4.02%,0.364%,0.0394%,0.00656%,93.1%
2024-03-20 17:17:45,1.84%,0.921%,0.365%,0.0273%,0.00682%,96.8%
2024-03-20 17:18:00,0.990%,0.343%,0.336%,0.0346%,0.00692%,98.3%
2024-03-20 17:18:15,1.13%,0.949%,0.368%,0.0241%,0.00344%,97.5%
2024-03-20 17:18:30,1.01%,1.42%,0.391%,0.0275%,0%,97.2%
2024-03-20 17:18:45,1.47%,5.52%,0.323%,0.0294%,0.00653%,92.6%
2024-03-20 17:19:00,2.38%,5.46%,0.385%,0.0323%,0.00323%,91.7%
2024-03-20 17:19:15,1.85%,1.95%,0.365%,0.0405%,0.00338%,95.8%
2024-03-20 17:19:30,1.20%,1.26%,0.390%,0.0376%,0.00342%,97.1%
2024-03-20 17:19:45,1.08%,0.816%,0.368%,0.0585%,0.00344%,97.7%
2024-03-20 17:20:00,1.51%,0.836%,0.363%,0.0240%,0%,97.3%
2024-03-20 17:20:15,1.22%,2.74%,0.340%,0.0236%,0%,95.7%
2024-03-20 17:20:30,2.38%,6.47%,0.352%,0.0224%,0.00320%,90.8%
2024-03-20 17:20:45,2.38%,4.29%,0.357%,0.0393%,0%,92.9%
2024-03-20 17:21:00,2.06%,1.11%,0.329%,0.0203%,0.00339%,96.5%
2024-03-20 17:21:15,0.481%,0.347%,0.385%,0.0172%,0.00344%,98.8%
2024-03-20 17:21:30,1.08%,0.488%,0.382%,0.0171%,0.00341%,98.0%
2024-03-20 17:21:45,0.0723%,0.599%,0.334%,0.0138%,0.00689%,99.0%
2024-03-20 17:22:00,1.28%,5.48%,0.356%,0.00970%,0.00323%,92.9%
2024-03-20 17:22:15,2.71%,3.11%,0.356%,0.0163%,0.00327%,93.8%
2024-03-20 17:22:30,0.857%,0.656%,0.396%,0.0239%,0.00342%,98.1%
2024-03-20 17:22:45,0.857%,0.656%,0.396%,0.0239%,0.00342%,98.1%
2024-03-20 17:23:00,0.857%,0.656%,0.396%,0.0239%,0.00342%,98.1%
