"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 16:42:45,0.868%,1.07%,0.0103%,0.0171%,0%,98.0%
2024-03-04 16:43:00,0.679%,0.881%,0.00686%,0.0206%,0%,98.4%
2024-03-04 16:43:15,0.928%,1.09%,0.00682%,0.0307%,0%,97.9%
2024-03-04 16:43:30,0.740%,0.904%,0.0103%,0.0205%,0%,98.3%
2024-03-04 16:43:45,0.840%,1.45%,0.0170%,0.0238%,0%,97.7%
2024-03-04 16:44:00,1.67%,3.68%,0.00986%,0.214%,0%,94.4%
2024-03-04 16:44:15,1.71%,2.28%,0.0133%,0.243%,0%,95.8%
2024-03-04 16:44:30,0.847%,1.01%,0.0137%,0.0205%,0%,98.1%
2024-03-04 16:44:45,0.686%,0.850%,0.00686%,0.0171%,0%,98.4%
2024-03-04 16:45:00,0.873%,1.13%,0.00682%,0.0170%,0%,98.0%
2024-03-04 16:45:15,0.661%,0.774%,0.0137%,0.0171%,0%,98.5%
2024-03-04 16:45:30,0.975%,1.44%,0.0171%,0.0616%,0%,97.5%
2024-03-04 16:45:45,2.01%,4.93%,0.0130%,0.241%,0%,92.8%
2024-03-04 16:46:00,2.09%,6.88%,0.0291%,0.230%,0%,90.8%
2024-03-04 16:46:15,1.04%,2.48%,0.0103%,0.0481%,0%,96.4%
2024-03-04 16:46:30,0.812%,1.37%,0.0697%,0.0383%,0%,97.7%
2024-03-04 16:46:45,0.954%,1.55%,0.0139%,0.0347%,0%,97.4%
2024-03-04 16:47:00,0.710%,1.12%,0.0734%,0.0315%,0%,98.1%
2024-03-04 16:47:15,1.11%,2.96%,0.0137%,0.0649%,0%,95.8%
2024-03-04 16:47:30,2.44%,8.18%,0.0603%,0.245%,0%,89.1%
2024-03-04 16:47:45,1.79%,6.99%,0.00649%,0.172%,0%,91.0%
2024-03-04 16:48:00,1.11%,2.60%,0.0754%,0.0411%,0%,96.2%
2024-03-04 16:48:15,0.723%,1.14%,0.00699%,0.0314%,0%,98.1%
2024-03-04 16:48:30,0.946%,1.29%,0.00696%,0.0383%,0%,97.7%
2024-03-04 16:48:45,0.940%,1.18%,0.0696%,0.0279%,0%,97.8%
2024-03-04 16:49:00,1.35%,3.75%,0.0238%,0.0781%,0%,94.8%
2024-03-04 16:49:15,2.60%,8.13%,0.0571%,0.339%,0%,88.9%
2024-03-04 16:49:30,1.19%,4.70%,0.0101%,0.0637%,0%,94.0%
2024-03-04 16:49:45,1.03%,1.84%,0.0968%,0.0484%,0%,97.0%
2024-03-04 16:50:00,0.716%,1.22%,0.0175%,0.0279%,0%,98.0%
2024-03-04 16:50:15,0.853%,1.33%,0.0975%,0.0348%,0%,97.7%
2024-03-04 16:50:30,0.983%,1.80%,0.0104%,0.0381%,0%,97.2%
2024-03-04 16:50:45,1.45%,5.19%,0.0697%,0.126%,0%,93.2%
2024-03-04 16:51:00,2.86%,8.98%,0.00939%,0.276%,0%,87.9%
2024-03-04 16:51:15,0.892%,4.21%,0.0642%,0.0372%,0%,94.8%
2024-03-04 16:51:30,0.930%,1.60%,0.0139%,0.0382%,0%,97.4%
2024-03-04 16:51:45,0.993%,1.54%,0.0694%,0.0382%,0%,97.4%
2024-03-04 16:52:00,0.731%,1.11%,0.0175%,0.0350%,0%,98.1%
2024-03-04 16:52:15,1.04%,1.75%,0.0727%,0.0381%,0%,97.1%
2024-03-04 16:52:30,1.91%,6.28%,0.00652%,0.264%,0%,91.5%
2024-03-04 16:52:45,2.23%,7.16%,0.0612%,0.222%,0%,90.3%
2024-03-04 16:53:00,1.01%,2.41%,0.0103%,0.0378%,0%,96.5%
2024-03-04 16:53:15,0.887%,1.43%,0.0731%,0.0313%,0%,97.6%
2024-03-04 16:53:30,1.01%,1.58%,0.00693%,0.0312%,0%,97.4%
2024-03-04 16:53:45,0.695%,1.17%,0.0594%,0.0210%,0%,98.1%
2024-03-04 16:54:00,1.14%,2.86%,0.0239%,0.0444%,0%,95.9%
2024-03-04 16:54:15,2.40%,8.28%,0.0635%,0.226%,0%,89.0%
2024-03-04 16:54:30,1.88%,7.04%,0.00972%,0.159%,0%,90.9%
2024-03-04 16:54:45,1.16%,2.60%,0.0309%,0.0309%,0%,96.2%
2024-03-04 16:55:00,0.719%,1.25%,0.0384%,0.0279%,0%,98.0%
2024-03-04 16:55:15,0.943%,1.37%,0.0557%,0.0313%,0%,97.6%
2024-03-04 16:55:30,0.943%,1.32%,0.0244%,0.0348%,0%,97.7%
2024-03-04 16:55:45,1.32%,2.94%,0.0509%,0.0814%,0%,95.6%
2024-03-04 16:56:00,2.29%,3.45%,0.0327%,0.412%,0%,93.8%
2024-03-04 16:56:15,0.803%,1.04%,0.0171%,0.0307%,0%,98.1%
2024-03-04 16:56:30,0.716%,0.901%,0.00685%,0.0205%,0%,98.4%
2024-03-04 16:56:45,0.756%,0.849%,0.0137%,0.0205%,0%,98.4%
2024-03-04 16:57:00,0.760%,0.839%,0.0274%,0.0171%,0%,98.4%
2024-03-04 16:57:15,0.760%,0.839%,0.0274%,0.0171%,0%,98.4%
2024-03-04 16:57:30,0.760%,0.839%,0.0274%,0.0171%,0%,98.4%
