"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-04 16:43:15,0 b/s,0 b/s,0 b/s,0 b/s,197 kb/s,0 b/s,203 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,123 kb/s,0 b/s,123 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:43:30,0 b/s,0 b/s,0 b/s,0 b/s,151 kb/s,0 b/s,157 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,125 kb/s,0 b/s,125 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:43:45,0 b/s,0 b/s,0 b/s,0 b/s,70.8 kb/s,0 b/s,73.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,84.0 kb/s,0 b/s,84.2 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:44:00,0 b/s,0 b/s,0 b/s,0 b/s,102 kb/s,0 b/s,108 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,96.7 kb/s,0 b/s,97.0 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:44:15,0 b/s,0 b/s,0 b/s,0 b/s,70.7 kb/s,0 b/s,73.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,83.2 kb/s,0 b/s,83.5 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:44:30,0 b/s,0 b/s,0 b/s,0 b/s,77.2 kb/s,0 b/s,81.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,83.4 kb/s,0 b/s,83.9 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:44:45,0 b/s,0 b/s,0 b/s,0 b/s,76.3 kb/s,0 b/s,79.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,91.0 kb/s,0 b/s,91.3 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:45:00,0 b/s,0 b/s,0 b/s,0 b/s,63.2 kb/s,0 b/s,67.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,55.4 kb/s,0 b/s,55.7 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:45:15,0 b/s,0 b/s,0 b/s,0 b/s,28.8 kb/s,0 b/s,30.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,8.42 kb/s,0 b/s,8.66 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:45:30,0 b/s,0 b/s,0 b/s,0 b/s,20.6 Mb/s,0 b/s,20.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,256 kb/s,0 b/s,257 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:45:45,0 b/s,0 b/s,0 b/s,0 b/s,17.0 Mb/s,0 b/s,17.2 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,233 kb/s,0 b/s,233 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:46:00,0 b/s,0 b/s,0 b/s,0 b/s,72.0 Mb/s,0 b/s,72.7 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,260 kb/s,0 b/s,260 kb/s,0 b/s,0 b/s,0 b/s
