"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-03-04 16:58:00,0.907%,1.09%,0.0136%,0.0205%,0%,98.0%
2024-03-04 16:58:15,0.753%,0.890%,0.0137%,0.0137%,0%,98.3%
2024-03-04 16:58:30,0.877%,1.11%,0.0102%,0.0171%,0%,98.0%
2024-03-04 16:58:45,0.756%,1.02%,0.00684%,0.0205%,0%,98.2%
2024-03-04 16:59:00,0.801%,1.22%,0.0136%,0.0171%,0%,98.0%
2024-03-04 16:59:15,1.62%,3.06%,0.00662%,0.215%,0%,95.1%
2024-03-04 16:59:30,1.87%,2.29%,0.00998%,0.273%,0%,95.6%
2024-03-04 16:59:45,0.885%,0.988%,0.0103%,0.0137%,0%,98.1%
2024-03-04 17:00:00,0.665%,0.819%,0.0137%,0.0240%,0%,98.5%
2024-03-04 17:00:15,0.860%,1.08%,0.0137%,0.0239%,0%,98.0%
2024-03-04 17:00:30,0.668%,0.891%,0.00685%,0.0171%,0%,98.4%
2024-03-04 17:00:45,0.833%,1.49%,0.0136%,0.0170%,0%,97.6%
2024-03-04 17:01:00,1.68%,3.80%,0.0131%,0.259%,0%,94.2%
2024-03-04 17:01:15,1.88%,2.80%,0.00663%,0.252%,0%,95.1%
2024-03-04 17:01:30,0.925%,1.19%,0.0102%,0.0171%,0%,97.9%
2024-03-04 17:01:45,0.750%,0.864%,0.00685%,0.0240%,0%,98.4%
2024-03-04 17:02:00,0.886%,1.20%,0.0136%,0.0170%,0%,97.9%
2024-03-04 17:02:15,0.662%,0.785%,0.0103%,0.0206%,0%,98.5%
2024-03-04 17:02:30,0.859%,1.20%,0.00681%,0.0341%,0%,97.9%
2024-03-04 17:02:45,1.88%,3.58%,0.00328%,0.305%,0%,94.2%
2024-03-04 17:03:00,1.43%,1.71%,0.0135%,0.219%,0%,96.6%
2024-03-04 17:03:15,0.830%,1.02%,0.0171%,0.0171%,0%,98.1%
2024-03-04 17:03:30,0.719%,0.880%,0.0103%,0.0137%,0%,98.4%
2024-03-04 17:03:45,0.849%,1.14%,0.0102%,0.0171%,0%,98.0%
2024-03-04 17:04:00,0.802%,1.23%,0.0171%,0.0171%,0%,97.9%
2024-03-04 17:04:15,0.864%,1.72%,0.0136%,0.0610%,0%,97.3%
2024-03-04 17:04:30,2.05%,3.98%,0.00652%,0.231%,0%,93.7%
2024-03-04 17:04:45,1.47%,1.72%,0.0101%,0.191%,0%,96.6%
2024-03-04 17:05:00,0.894%,0.922%,0.0307%,0.0171%,0%,98.1%
2024-03-04 17:05:15,0.786%,0.957%,0.0137%,0.0171%,0%,98.2%
2024-03-04 17:05:30,0.792%,1.07%,0.0171%,0.0205%,0%,98.1%
2024-03-04 17:05:45,0.709%,0.901%,0.0240%,0.0206%,0%,98.3%
2024-03-04 17:06:00,0.934%,1.43%,0.0170%,0.0611%,0%,97.6%
2024-03-04 17:06:15,2.21%,3.91%,0.00977%,0.303%,0%,93.6%
2024-03-04 17:06:30,1.20%,1.41%,0.0102%,0.146%,0%,97.2%
2024-03-04 17:06:45,0.796%,0.991%,0.00342%,0.0205%,0%,98.2%
2024-03-04 17:07:00,0.762%,1.03%,0.0137%,0.0171%,0%,98.2%
2024-03-04 17:07:15,0.752%,0.992%,0.0137%,0.0205%,0%,98.2%
2024-03-04 17:07:30,0.715%,0.931%,0.0103%,0.0137%,0%,98.3%
2024-03-04 17:07:45,0.944%,1.80%,0.00677%,0.0643%,0%,97.2%
2024-03-04 17:08:00,2.10%,4.25%,0.0130%,0.318%,0%,93.3%
2024-03-04 17:08:15,1.26%,1.46%,0.0135%,0.176%,0%,97.1%
2024-03-04 17:08:30,0.877%,0.979%,0.0102%,0.0205%,0%,98.1%
2024-03-04 17:08:45,0.684%,0.964%,0.0137%,0.0137%,0%,98.3%
2024-03-04 17:09:00,0.718%,0.855%,0.0137%,0.0171%,0%,98.4%
2024-03-04 17:09:15,0.746%,0.865%,0.0103%,0.0171%,0%,98.4%
2024-03-04 17:09:30,0.961%,1.45%,0.00679%,0.0475%,0%,97.5%
2024-03-04 17:09:45,2.33%,3.88%,0.00976%,0.335%,0%,93.4%
2024-03-04 17:10:00,1.05%,1.23%,0.0204%,0.105%,0%,97.6%
2024-03-04 17:10:15,1.02%,1.21%,0.0239%,0.0239%,0%,97.7%
2024-03-04 17:10:30,0.782%,0.909%,0.00686%,0.0171%,0%,98.3%
2024-03-04 17:10:45,0.985%,0.992%,0.0103%,0.0239%,0%,98.0%
2024-03-04 17:11:00,0.775%,0.929%,0.0137%,0.0206%,0%,98.3%
2024-03-04 17:11:15,0.999%,1.66%,0.0102%,0.0170%,0%,97.3%
2024-03-04 17:11:30,1.90%,3.73%,0.00657%,0.194%,0%,94.2%
2024-03-04 17:11:45,1.89%,2.88%,0.00994%,0.278%,0%,94.9%
2024-03-04 17:12:00,1.02%,1.30%,0.0136%,0.0239%,0%,97.6%
2024-03-04 17:12:15,0.823%,0.912%,0.0137%,0.0206%,0%,98.2%
2024-03-04 17:12:30,0.943%,1.12%,0.0103%,0.0137%,0%,97.9%
2024-03-04 17:12:45,0.943%,1.12%,0.0103%,0.0137%,0%,97.9%
2024-03-04 17:13:00,0.943%,1.12%,0.0103%,0.0137%,0%,97.9%
