"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 16:58:45,15.4 GiB,7.41 GiB,7.72 GiB,235 MiB,155 MiB
2024-03-04 16:59:00,15.4 GiB,7.42 GiB,7.72 GiB,231 MiB,155 MiB
2024-03-04 16:59:15,15.4 GiB,7.42 GiB,7.72 GiB,233 MiB,155 MiB
2024-03-04 16:59:30,15.4 GiB,7.42 GiB,7.72 GiB,228 MiB,155 MiB
2024-03-04 16:59:45,15.4 GiB,7.42 GiB,7.72 GiB,224 MiB,155 MiB
2024-03-04 17:00:00,15.4 GiB,7.42 GiB,7.72 GiB,224 MiB,155 MiB
2024-03-04 17:00:15,15.4 GiB,7.42 GiB,7.72 GiB,227 MiB,154 MiB
2024-03-04 17:00:30,15.4 GiB,7.38 GiB,7.72 GiB,272 MiB,154 MiB
2024-03-04 17:00:45,15.4 GiB,7.39 GiB,7.72 GiB,262 MiB,154 MiB
2024-03-04 17:01:00,15.4 GiB,7.38 GiB,7.72 GiB,263 MiB,154 MiB
2024-03-04 17:01:15,15.4 GiB,7.39 GiB,7.72 GiB,253 MiB,154 MiB
2024-03-04 17:01:30,15.4 GiB,7.39 GiB,7.73 GiB,247 MiB,154 MiB
2024-03-04 17:01:45,15.4 GiB,7.39 GiB,7.73 GiB,242 MiB,154 MiB
2024-03-04 17:02:00,15.4 GiB,7.39 GiB,7.73 GiB,244 MiB,154 MiB
2024-03-04 17:02:15,15.4 GiB,7.39 GiB,7.73 GiB,240 MiB,154 MiB
2024-03-04 17:02:30,15.4 GiB,7.40 GiB,7.73 GiB,236 MiB,154 MiB
2024-03-04 17:02:45,15.4 GiB,7.40 GiB,7.73 GiB,233 MiB,154 MiB
2024-03-04 17:03:00,15.4 GiB,7.40 GiB,7.73 GiB,233 MiB,154 MiB
2024-03-04 17:03:15,15.4 GiB,7.40 GiB,7.73 GiB,235 MiB,154 MiB
2024-03-04 17:03:30,15.4 GiB,7.40 GiB,7.73 GiB,232 MiB,154 MiB
2024-03-04 17:03:45,15.4 GiB,7.40 GiB,7.73 GiB,230 MiB,154 MiB
2024-03-04 17:04:00,15.4 GiB,7.40 GiB,7.68 GiB,280 MiB,154 MiB
2024-03-04 17:04:15,15.4 GiB,7.41 GiB,7.68 GiB,273 MiB,154 MiB
2024-03-04 17:04:30,15.4 GiB,7.41 GiB,7.68 GiB,271 MiB,154 MiB
2024-03-04 17:04:45,15.4 GiB,7.41 GiB,7.68 GiB,272 MiB,154 MiB
2024-03-04 17:05:00,15.4 GiB,7.41 GiB,7.68 GiB,272 MiB,154 MiB
2024-03-04 17:05:15,15.4 GiB,7.41 GiB,7.68 GiB,268 MiB,154 MiB
2024-03-04 17:05:30,15.4 GiB,7.41 GiB,7.69 GiB,272 MiB,154 MiB
2024-03-04 17:05:45,15.4 GiB,7.40 GiB,7.69 GiB,277 MiB,154 MiB
2024-03-04 17:06:00,15.4 GiB,7.41 GiB,7.69 GiB,275 MiB,154 MiB
2024-03-04 17:06:15,15.4 GiB,7.41 GiB,7.69 GiB,269 MiB,154 MiB
2024-03-04 17:06:30,15.4 GiB,7.41 GiB,7.69 GiB,269 MiB,154 MiB
2024-03-04 17:06:45,15.4 GiB,7.41 GiB,7.69 GiB,267 MiB,154 MiB
2024-03-04 17:07:00,15.4 GiB,7.41 GiB,7.69 GiB,270 MiB,154 MiB
2024-03-04 17:07:15,15.4 GiB,7.41 GiB,7.69 GiB,267 MiB,154 MiB
2024-03-04 17:07:30,15.4 GiB,7.41 GiB,7.69 GiB,266 MiB,154 MiB
2024-03-04 17:07:45,15.4 GiB,7.41 GiB,7.69 GiB,270 MiB,154 MiB
2024-03-04 17:08:00,15.4 GiB,7.41 GiB,7.69 GiB,266 MiB,154 MiB
2024-03-04 17:08:15,15.4 GiB,7.41 GiB,7.69 GiB,265 MiB,154 MiB
2024-03-04 17:08:30,15.4 GiB,7.41 GiB,7.69 GiB,265 MiB,154 MiB
2024-03-04 17:08:45,15.4 GiB,7.41 GiB,7.69 GiB,266 MiB,154 MiB
2024-03-04 17:09:00,15.4 GiB,7.41 GiB,7.69 GiB,263 MiB,154 MiB
2024-03-04 17:09:15,15.4 GiB,7.41 GiB,7.69 GiB,263 MiB,154 MiB
2024-03-04 17:09:30,15.4 GiB,7.41 GiB,7.69 GiB,266 MiB,154 MiB
2024-03-04 17:09:45,15.4 GiB,7.41 GiB,7.69 GiB,264 MiB,154 MiB
2024-03-04 17:10:00,15.4 GiB,7.41 GiB,7.70 GiB,257 MiB,154 MiB
2024-03-04 17:10:15,15.4 GiB,7.41 GiB,7.70 GiB,254 MiB,153 MiB
2024-03-04 17:10:30,15.4 GiB,7.41 GiB,7.70 GiB,254 MiB,153 MiB
2024-03-04 17:10:45,15.4 GiB,7.42 GiB,7.70 GiB,251 MiB,153 MiB
2024-03-04 17:11:00,15.4 GiB,7.42 GiB,7.70 GiB,251 MiB,153 MiB
2024-03-04 17:11:15,15.4 GiB,7.41 GiB,7.70 GiB,256 MiB,153 MiB
2024-03-04 17:11:30,15.4 GiB,7.41 GiB,7.70 GiB,253 MiB,153 MiB
2024-03-04 17:11:45,15.4 GiB,7.41 GiB,7.70 GiB,256 MiB,153 MiB
2024-03-04 17:12:00,15.4 GiB,7.41 GiB,7.70 GiB,251 MiB,153 MiB
2024-03-04 17:12:15,15.4 GiB,7.41 GiB,7.70 GiB,252 MiB,153 MiB
2024-03-04 17:12:30,15.4 GiB,7.41 GiB,7.70 GiB,251 MiB,153 MiB
2024-03-04 17:12:45,15.4 GiB,7.41 GiB,7.70 GiB,252 MiB,153 MiB
2024-03-04 17:13:00,15.4 GiB,7.41 GiB,7.70 GiB,248 MiB,153 MiB
2024-03-04 17:13:15,15.4 GiB,7.41 GiB,7.70 GiB,248 MiB,153 MiB
2024-03-04 17:13:30,15.4 GiB,7.41 GiB,7.70 GiB,248 MiB,153 MiB
2024-03-04 17:13:45,15.4 GiB,7.41 GiB,7.70 GiB,248 MiB,153 MiB
