"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-04 16:58:15,0 b/s,0 b/s,0 b/s,0 b/s,72.3 kb/s,0 b/s,75.4 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,135 kb/s,0 b/s,136 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:58:30,0 b/s,0 b/s,0 b/s,0 b/s,84.4 kb/s,0 b/s,89.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,139 kb/s,0 b/s,139 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:58:45,0 b/s,0 b/s,0 b/s,0 b/s,132 kb/s,0 b/s,143 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,226 kb/s,0 b/s,226 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:59:00,0 b/s,0 b/s,0 b/s,0 b/s,78.5 kb/s,0 b/s,83.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,139 kb/s,0 b/s,139 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:59:15,0 b/s,0 b/s,0 b/s,0 b/s,75.4 kb/s,0 b/s,79.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:59:30,0 b/s,0 b/s,0 b/s,0 b/s,77.4 kb/s,0 b/s,82.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,135 kb/s,0 b/s,135 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 16:59:45,0 b/s,0 b/s,0 b/s,0 b/s,101 kb/s,0 b/s,104 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,147 kb/s,0 b/s,147 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:00:00,0 b/s,0 b/s,0 b/s,0 b/s,81.5 kb/s,0 b/s,87.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,135 kb/s,0 b/s,136 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:00:15,0 b/s,0 b/s,0 b/s,0 b/s,74.8 kb/s,0 b/s,78.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:00:30,0 b/s,0 b/s,0 b/s,0 b/s,77.6 kb/s,0 b/s,81.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,142 kb/s,0 b/s,142 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:00:45,0 b/s,0 b/s,0 b/s,0 b/s,191 kb/s,0 b/s,197 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,162 kb/s,0 b/s,162 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:01:00,0 b/s,0 b/s,0 b/s,0 b/s,236 kb/s,0 b/s,245 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,196 kb/s,0 b/s,196 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:01:15,0 b/s,0 b/s,0 b/s,0 b/s,374 kb/s,0 b/s,384 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,330 kb/s,0 b/s,331 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:01:30,0 b/s,0 b/s,0 b/s,0 b/s,348 kb/s,0 b/s,368 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,364 kb/s,0 b/s,364 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:01:45,0 b/s,0 b/s,0 b/s,0 b/s,165 kb/s,0 b/s,171 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,171 kb/s,0 b/s,171 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:02:00,0 b/s,0 b/s,0 b/s,0 b/s,84.5 kb/s,0 b/s,90.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,140 kb/s,0 b/s,140 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:02:15,0 b/s,0 b/s,0 b/s,0 b/s,156 kb/s,0 b/s,160 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,84.5 kb/s,0 b/s,84.8 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:02:30,0 b/s,0 b/s,0 b/s,0 b/s,67.4 kb/s,0 b/s,72.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,96.7 kb/s,0 b/s,97.2 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:02:45,0 b/s,0 b/s,0 b/s,0 b/s,62.6 kb/s,0 b/s,65.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,96.9 kb/s,0 b/s,97.2 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:03:00,0 b/s,0 b/s,0 b/s,0 b/s,79.5 kb/s,0 b/s,84.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:03:15,0 b/s,0 b/s,0 b/s,0 b/s,79.6 kb/s,0 b/s,83.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,140 kb/s,0 b/s,140 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:03:30,0 b/s,0 b/s,0 b/s,0 b/s,91.6 kb/s,0 b/s,97.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,139 kb/s,0 b/s,139 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:03:45,0 b/s,0 b/s,0 b/s,0 b/s,97.9 kb/s,0 b/s,102 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,147 kb/s,0 b/s,148 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:04:00,0 b/s,0 b/s,0 b/s,0 b/s,83.1 kb/s,0 b/s,89.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,136 kb/s,0 b/s,136 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:04:15,0 b/s,0 b/s,0 b/s,0 b/s,77.7 kb/s,0 b/s,81.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,139 kb/s,0 b/s,140 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:04:30,0 b/s,0 b/s,0 b/s,0 b/s,27.3 kb/s,0 b/s,30.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,3.05 kb/s,0 b/s,3.32 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:04:45,0 b/s,0 b/s,0 b/s,0 b/s,23.4 kb/s,0 b/s,24.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,5.98 kb/s,0 b/s,6.39 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:05:00,0 b/s,0 b/s,0 b/s,0 b/s,30.0 kb/s,0 b/s,33.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,4.69 kb/s,0 b/s,4.96 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 17:05:15,0 b/s,0 b/s,0 b/s,0 b/s,28.3 kb/s,0 b/s,30.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,7.42 kb/s,0 b/s,7.66 kb/s,0 b/s,0 b/s,0 b/s
